Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Acadia,W20230929ACAWAT,team-totals,1,0,200,4,19,18,50,21,31,12,27,39,19,7,20,1,16,69
2023-24,WBB,Acadia,W20230930ACASSK,Lisa Bolander,1,1,26,5,9,1,3,0,0,0,2,2,1,2,2,0,0,17
2023-24,WBB,Acadia,W20230930ACASSK,Ashley Davis,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Acadia,W20230930ACASSK,Taya Dixon,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
2023-24,WBB,Acadia,W20230930ACASSK,Ryan George,1,0,18,0,0,0,0,0,2,1,4,5,2,0,0,0,0,0
2023-24,WBB,Acadia,W20230930ACASSK,Bianca Helmig,1,1,30,1,3,3,6,0,0,0,2,2,2,4,4,0,2,9
2023-24,WBB,Acadia,W20230930ACASSK,Sheleese Hoilett,1,0,12,1,1,2,2,0,0,0,0,0,0,0,0,0,0,7
2023-24,WBB,Acadia,W20230930ACASSK,Elizabeth Iseyemi,1,1,32,1,2,4,9,4,4,3,4,7,4,1,2,0,1,15
2023-24,WBB,Acadia,W20230930ACASSK,Iris Leuschner,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Acadia,W20230930ACASSK,Samantha Russell,1,1,31,0,1,7,11,2,6,1,5,6,2,1,4,0,0,16
2023-24,WBB,Acadia,W20230930ACASSK,Julia Sylvester,1,1,30,1,2,3,4,1,2,1,3,4,1,0,2,1,0,10
2023-24,WBB,Acadia,W20230930ACASSK,team-acadia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
2023-24,WBB,Acadia,W20230930ACASSK,Jewel Woolfitt,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
2023-24,WBB,Acadia,W20230930ACASSK,Rio Yamazaki,1,0,12,0,1,0,1,0,0,0,0,0,1,3,1,0,1,0
2023-24,WBB,Acadia,W20231006ALBACA,Sarah Delorey,1,1,18,0,0,1,3,1,2,2,2,4,5,2,3,1,1,3
2023-24,WBB,Acadia,W20231006ALBACA,Taya Dixon,1,0,5,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0
2023-24,WBB,Acadia,W20231006ALBACA,Madyson Eisnor,1,0,12,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
2023-24,WBB,Acadia,W20231006ALBACA,Ryan George,1,0,16,2,2,1,2,0,0,0,1,1,2,0,1,0,0,8
2023-24,WBB,Acadia,W20231006ALBACA,Bianca Helmig,1,1,32,0,1,4,9,1,2,1,2,3,3,1,5,0,0,9
2023-24,WBB,Acadia,W20231006ALBACA,Sheleese Hoilett,1,1,12,0,1,1,2,0,1,1,4,5,3,1,0,0,0,2
2023-24,WBB,Acadia,W20231006ALBACA,Elizabeth Iseyemi,1,1,27,0,1,3,11,6,8,2,5,7,3,2,3,0,5,12
2023-24,WBB,Acadia,W20231006ALBACA,Iris Leuschner,1,0,3,0,0,0,1,4,5,0,0,0,0,0,1,0,0,4
2023-24,WBB,Acadia,W20231006ALBACA,Samantha Russell,1,1,28,0,1,5,12,6,9,0,5,5,3,1,2,0,3,16
2023-24,WBB,Acadia,W20231006ALBACA,Julia Sylvester,1,0,21,0,0,1,7,2,2,2,3,5,3,0,4,1,0,4
2023-24,WBB,Acadia,W20231006ALBACA,team-acadia,1,0,0,0,0,0,0,0,0,3,4,7,0,0,1,0,0,0
2023-24,WBB,Acadia,W20231006ALBACA,Jewel Woolfitt,1,0,7,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
2023-24,WBB,Acadia,W20231006ALBACA,Rio Yamazaki,1,0,17,1,2,0,1,0,0,1,1,2,3,2,1,0,0,3
2023-24,WBB,Acadia,W20231007UFVACA,Sarah Delorey,1,1,37,0,0,7,8,3,4,3,4,7,4,1,3,1,1,17
2023-24,WBB,Acadia,W20231007UFVACA,Taya Dixon,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
