Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Alberta,W20231006ALBACA,Kiah Easton-Ihediohanma,1,0,12,1,3,1,2,0,0,1,0,1,3,2,1,0,0,5
2023-24,WBB,Alberta,W20231006ALBACA,Reece Hall,1,0,22,1,3,1,3,2,4,4,1,5,1,2,2,1,1,7
2023-24,WBB,Alberta,W20231006ALBACA,Jenna Harpe,1,1,30,3,6,2,9,6,8,1,1,2,1,1,1,2,1,19
2023-24,WBB,Alberta,W20231006ALBACA,Morgan Harris,1,1,23,1,2,4,6,0,0,2,2,4,1,5,3,0,2,11
2023-24,WBB,Alberta,W20231006ALBACA,Jenna Karach,1,0,5,0,0,0,0,0,2,0,1,1,4,0,1,0,0,0
2023-24,WBB,Alberta,W20231006ALBACA,Sarah Kleib,1,0,4,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1
2023-24,WBB,Alberta,W20231006ALBACA,Shae McCusker,1,1,19,0,0,2,4,1,2,4,1,5,2,0,2,1,0,5
2023-24,WBB,Alberta,W20231006ALBACA,Brigitte Olson,1,0,8,0,1,0,0,0,0,0,2,2,0,1,1,0,0,0
2023-24,WBB,Alberta,W20231006ALBACA,Ella Rees,1,0,8,2,2,0,1,0,0,0,1,1,3,0,0,0,0,6
2023-24,WBB,Alberta,W20231006ALBACA,Rylee Semeniuk,1,1,17,0,3,2,3,0,0,0,2,2,2,5,0,1,1,4
2023-24,WBB,Alberta,W20231006ALBACA,Claire Signatovich,1,1,24,0,1,3,7,3,6,0,9,9,4,3,4,2,4,9
2023-24,WBB,Alberta,W20231006ALBACA,Jayden Tanner,1,0,21,0,1,3,7,6,6,1,5,6,4,1,1,1,3,12
2023-24,WBB,Alberta,W20231006ALBACA,team-alberta,1,0,0,0,0,0,0,0,0,2,3,5,0,0,1,0,0,0
2023-24,WBB,Alberta,W20231006ALBACA,Elise Toogood,1,0,5,0,0,1,1,0,0,0,1,1,1,0,0,0,0,2
2023-24,WBB,Alberta,W20231007ALBTMU,Kiah Easton-Ihediohanma,1,1,20,0,2,5,6,0,2,2,1,3,1,2,0,1,2,10
2023-24,WBB,Alberta,W20231007ALBTMU,Reece Hall,1,0,19,1,3,1,5,0,2,1,2,3,1,2,1,1,6,5
2023-24,WBB,Alberta,W20231007ALBTMU,Jenna Harpe,1,1,24,3,6,0,5,2,2,1,2,3,0,0,0,1,0,11
2023-24,WBB,Alberta,W20231007ALBTMU,Morgan Harris,1,1,24,1,3,2,5,2,2,1,6,7,0,0,2,0,1,9
2023-24,WBB,Alberta,W20231007ALBTMU,Jenna Karach,1,0,16,1,2,3,3,1,3,0,2,2,2,0,1,0,1,10
2023-24,WBB,Alberta,W20231007ALBTMU,Sarah Kleib,1,0,5,0,0,0,2,0,0,1,0,1,1,0,1,0,0,0
2023-24,WBB,Alberta,W20231007ALBTMU,Shae McCusker,1,1,16,0,0,1,4,0,0,2,1,3,1,1,1,1,0,2
2023-24,WBB,Alberta,W20231007ALBTMU,Brigitte Olson,1,0,11,0,2,0,1,1,2,0,0,0,2,2,1,0,1,1
2023-24,WBB,Alberta,W20231007ALBTMU,Ella Rees,1,0,14,0,1,2,2,2,2,0,0,0,3,2,3,0,0,6
2023-24,WBB,Alberta,W20231007ALBTMU,Rylee Semeniuk,1,0,14,0,0,0,1,1,2,1,0,1,3,1,2,0,1,1
2023-24,WBB,Alberta,W20231007ALBTMU,Claire Signatovich,1,1,24,0,0,3,9,3,4,4,6,10,4,1,4,0,2,9
2023-24,WBB,Alberta,W20231007ALBTMU,Jayden Tanner,1,0,8,2,2,0,1,0,0,2,4,6,0,0,0,0,1,6
2023-24,WBB,Alberta,W20231007ALBTMU,team-alberta,1,0,0,0,0,0,0,0,0,3,3,6,0,0,1,0,0,0
2023-24,WBB,Alberta,W20231007ALBTMU,Elise Toogood,1,0,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2023-24,WBB,Alberta,W20231013OKNALB,Kiah Easton-Ihediohanma,1,0,21,0,1,1,3,0,0,1,2,3,1,0,2,0,3,2
2023-24,WBB,Alberta,W20231013OKNALB,Jenna Harpe,1,1,32,2,6,4,8,4,9,0,1,1,2,2,3,0,0,18
2023-24,WBB,Alberta,W20231013OKNALB,Morgan Harris,1,1,20,0,1,3,9,0,0,0,1,1,3,4,3,0,2,6
2023-24,WBB,Alberta,W20231013OKNALB,Jenna Karach,1,0,18,0,2,1,2,0,0,0,3,3,2,0,2,0,0,2
2023-24,WBB,Alberta,W20231013OKNALB,Sarah Kleib,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,Alberta,W20231013OKNALB,Shae McCusker,1,1,14,0,0,2,2,2,2,3,4,7,3,0,1,2,0,6
2023-24,WBB,Alberta,W20231013OKNALB,Brigitte Olson,1,0,8,1,1,1,1,0,0,1,0,1,0,2,1,0,0,5
2023-24,WBB,Alberta,W20231013OKNALB,Ella Rees,1,0,12,0,0,1,3,0,0,0,4,4,2,1,2,0,0,2
2023-24,WBB,Alberta,W20231013OKNALB,Rylee Semeniuk,1,1,19,0,2,2,3,1,1,0,5,5,1,1,2,0,0,5
2023-24,WBB,Alberta,W20231013OKNALB,Claire Signatovich,1,1,26,0,0,8,14,1,2,2,10,12,2,0,4,4,2,17
2023-24,WBB,Alberta,W20231013OKNALB,Jayden Tanner,1,0,17,0,2,2,4,0,0,2,3,5,3,1,3,0,3,4
2023-24,WBB,Alberta,W20231013OKNALB,team-alberta,1,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0
2023-24,WBB,Alberta,W20231013OKNALB,Elise Toogood,1,0,11,0,0,1,1,0,1,1,2,3,1,0,1,0,1,2
2023-24,WBB,Alberta,W20231014VICALB,Kiah Easton-Ihediohanma,1,1,23,2,5,4,6,5,5,0,1,1,3,2,0,1,6,19
2023-24,WBB,Alberta,W20231014VICALB,Jenna Harpe,1,1,28,1,6,3,10,2,2,0,0,0,1,4,3,0,0,11
2023-24,WBB,Alberta,W20231014VICALB,Morgan Harris,1,1,26,0,4,2,4,0,0,1,2,3,0,3,4,0,3,4
2023-24,WBB,Alberta,W20231014VICALB,Jenna Karach,1,0,21,0,2,1,4,1,2,2,4,6,3,1,1,4,1,3
2023-24,WBB,Alberta,W20231014VICALB,Sarah Kleib,1,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3
