Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Bishop's,W20231005BISOTT,Kalina Alexander-Renaud,1,1,24,4,7,0,1,2,2,0,8,8,0,2,2,0,3,14
2023-24,WBB,Bishop's,W20231005BISOTT,Eve Atchampone,1,1,27,0,4,3,7,0,0,1,2,3,1,3,0,0,1,6
2023-24,WBB,Bishop's,W20231005BISOTT,Marianne Boithias,1,1,28,1,2,1,6,0,0,4,5,9,1,1,4,0,3,5
2023-24,WBB,Bishop's,W20231005BISOTT,Victoria Gauna,1,1,27,0,5,6,11,2,5,2,4,6,2,3,4,0,1,14
2023-24,WBB,Bishop's,W20231005BISOTT,Laurie Lafleur,1,0,22,0,2,0,3,0,0,1,2,3,4,5,3,0,0,0
2023-24,WBB,Bishop's,W20231005BISOTT,Emily MacNeil,1,0,12,0,0,1,1,0,0,0,2,2,1,0,2,0,0,2
2023-24,WBB,Bishop's,W20231005BISOTT,Jasmine Martel,1,1,15,1,2,2,4,0,0,1,2,3,2,0,1,0,0,7
2023-24,WBB,Bishop's,W20231005BISOTT,Sandra Mbekou,1,0,32,0,2,1,4,2,4,2,1,3,2,1,4,0,1,4
2023-24,WBB,Bishop's,W20231005BISOTT,Kyla Perkins,1,0,7,1,1,1,1,0,0,3,3,6,1,0,0,0,0,5
2023-24,WBB,Bishop's,W20231005BISOTT,team-bishops,1,0,0,0,0,0,0,0,0,3,5,8,0,0,2,0,0,0
2023-24,WBB,Bishop's,W20231005BISOTT,Jessica Vidovic,1,0,6,0,1,1,2,0,0,0,3,3,0,0,0,0,0,2
2023-24,WBB,Bishop's,W20231006BISQUE,Kalina Alexander-Renaud,1,1,22,3,7,2,3,0,1,2,9,11,0,3,3,0,2,13
2023-24,WBB,Bishop's,W20231006BISQUE,Eve Atchampone,1,0,22,0,1,3,4,0,0,1,0,1,2,0,2,0,1,6
2023-24,WBB,Bishop's,W20231006BISQUE,Marianne Boithias,1,1,33,0,2,1,5,0,0,0,1,1,3,3,1,0,1,2
2023-24,WBB,Bishop's,W20231006BISQUE,Victoria Gauna,1,1,31,0,3,3,13,2,3,2,3,5,1,2,4,1,0,8
2023-24,WBB,Bishop's,W20231006BISQUE,Laurie Lafleur,1,0,21,0,2,2,7,0,1,0,0,0,3,1,0,0,3,4
2023-24,WBB,Bishop's,W20231006BISQUE,Emily MacNeil,1,0,16,1,2,0,3,0,0,2,2,4,2,0,2,0,0,3
2023-24,WBB,Bishop's,W20231006BISQUE,Jasmine Martel,1,1,16,0,2,0,2,0,0,1,1,2,1,1,4,0,0,0
2023-24,WBB,Bishop's,W20231006BISQUE,Sandra Mbekou,1,1,25,0,1,2,4,3,4,2,3,5,0,0,3,0,0,7
2023-24,WBB,Bishop's,W20231006BISQUE,Kyla Perkins,1,0,10,0,1,1,1,0,0,0,2,2,0,2,1,1,0,2
2023-24,WBB,Bishop's,W20231006BISQUE,team-bishops,1,0,0,0,0,0,0,0,0,3,3,6,0,0,1,0,0,0
2023-24,WBB,Bishop's,W20231006BISQUE,Jessica Vidovic,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
