Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Brandon,W20231006WPGBDN,Emma Cameron,1,0,16,1,4,3,5,0,0,0,6,6,0,1,1,1,1,9
2023-24,WBB,Brandon,W20231006WPGBDN,Mya Cameron,1,0,22,2,7,0,0,2,2,0,3,3,3,3,3,0,2,8
2023-24,WBB,Brandon,W20231006WPGBDN,Faith Clearsky,1,1,20,0,4,1,5,3,6,1,2,3,1,1,2,0,0,5
2023-24,WBB,Brandon,W20231006WPGBDN,Elizabeth Dueck,1,1,16,0,2,1,1,4,6,0,0,0,0,0,0,1,1,6
2023-24,WBB,Brandon,W20231006WPGBDN,Piper Ingalls,1,1,25,0,1,2,4,0,0,1,1,2,0,3,4,0,1,4
2023-24,WBB,Brandon,W20231006WPGBDN,Jayna Maytwayashing,1,1,17,0,0,0,4,0,0,3,3,6,5,0,1,0,1,0
2023-24,WBB,Brandon,W20231006WPGBDN,Elly McFee,1,0,4,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0
2023-24,WBB,Brandon,W20231006WPGBDN,Mahe Rabesa,1,0,11,1,1,0,0,0,0,1,1,2,0,1,1,0,0,3
2023-24,WBB,Brandon,W20231006WPGBDN,Emie Taylor,1,0,10,0,0,1,3,0,0,3,5,8,0,0,1,0,0,2
2023-24,WBB,Brandon,W20231006WPGBDN,team-brandon,1,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0
2023-24,WBB,Brandon,W20231006WPGBDN,Reetta Tulkki,1,1,28,1,5,3,6,1,2,2,5,7,1,2,8,0,0,10
2023-24,WBB,Brandon,W20231006WPGBDN,Katelynn Visser,1,0,8,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2023-24,WBB,Brandon,W20231006WPGBDN,Cali Yates,1,0,22,1,5,4,8,5,5,1,0,1,3,0,4,0,0,16
2023-24,WBB,Brandon,W20231007MANBDN,Emma Cameron,1,0,18,1,2,1,7,0,1,1,0,1,4,0,1,0,3,5
2023-24,WBB,Brandon,W20231007MANBDN,Mya Cameron,1,0,16,1,3,0,0,0,0,0,2,2,4,0,4,0,0,3
2023-24,WBB,Brandon,W20231007MANBDN,Faith Clearsky,1,1,26,1,3,2,4,0,0,1,3,4,0,3,5,0,1,7
2023-24,WBB,Brandon,W20231007MANBDN,Elizabeth Dueck,1,1,24,2,5,1,2,0,0,1,4,5,4,1,1,0,1,8
