Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Brock,W20230929CARBRK,Shailah Adams,1,1,11,0,1,0,2,0,0,0,1,1,0,0,3,0,0,0
2023-24,WBB,Brock,W20230929CARBRK,Jamie Addy,1,0,10,1,2,0,1,0,0,2,0,2,4,0,4,0,0,3
2023-24,WBB,Brock,W20230929CARBRK,Oluwatito Akinnusi,1,1,14,0,0,0,5,2,2,1,0,1,0,0,2,0,0,2
2023-24,WBB,Brock,W20230929CARBRK,Noor Bazzi,1,0,15,0,2,3,3,0,0,0,1,1,3,1,2,0,0,6
2023-24,WBB,Brock,W20230929CARBRK,Angeline Campbell,1,0,27,4,8,1,3,0,0,1,2,3,1,3,2,0,1,14
2023-24,WBB,Brock,W20230929CARBRK,Olivia Fiorucci,1,1,19,0,1,2,4,0,0,0,0,0,0,0,1,0,1,4
2023-24,WBB,Brock,W20230929CARBRK,Brookelyn Keltos,1,0,7,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
2023-24,WBB,Brock,W20230929CARBRK,Madison MacInnis,1,1,24,0,0,0,2,2,2,1,3,4,2,1,2,1,0,2
2023-24,WBB,Brock,W20230929CARBRK,Audrey Ntetani,1,0,15,0,0,1,2,0,0,0,3,3,3,0,0,0,0,2
2023-24,WBB,Brock,W20230929CARBRK,Keren Tshinyama-Kasonga,1,0,12,0,0,1,3,0,0,0,1,1,2,0,4,0,1,2
2023-24,WBB,Brock,W20230929CARBRK,Emilia Vlatkovic,1,0,9,0,0,1,2,0,0,2,3,5,1,1,3,1,0,2
2023-24,WBB,Brock,W20230929CARBRK,Aleksija Vukovic,1,0,4,0,0,1,1,1,1,0,0,0,2,1,0,0,0,3
2023-24,WBB,Brock,W20230929CARBRK,Ilijana Vukovic,1,0,7,0,0,1,2,0,0,1,1,2,0,0,1,0,0,2
2023-24,WBB,Brock,W20230929CARBRK,Madalyn Weinert,1,1,26,0,3,3,12,0,0,2,1,3,5,2,5,0,1,6
2023-24,WBB,Brock,W20230930BRKCON,Shailah Adams,1,0,20,0,1,0,0,2,2,0,0,0,3,0,1,0,0,2
2023-24,WBB,Brock,W20230930BRKCON,Oluwatito Akinnusi,1,1,29,0,0,4,8,0,0,3,7,10,3,2,3,1,1,8
2023-24,WBB,Brock,W20230930BRKCON,Noor Bazzi,1,0,16,0,2,1,4,0,0,2,4,6,2,0,3,0,0,2
