Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Dalhousie,W20231013DALLET,Kaitlyn Ferrier,1,1,25,0,2,11,20,1,2,3,1,4,1,1,4,0,0,23
2023-24,WBB,Dalhousie,W20231013DALLET,Sydney Guker-Wickie,1,1,28,1,3,4,8,3,4,2,4,6,2,1,2,0,1,14
2023-24,WBB,Dalhousie,W20231013DALLET,Simona Matic,1,1,24,0,2,1,3,1,4,3,3,6,5,2,4,0,5,3
2023-24,WBB,Dalhousie,W20231013DALLET,Reilly McMillan,1,0,18,0,0,3,3,1,2,1,5,6,1,1,0,0,3,7
2023-24,WBB,Dalhousie,W20231013DALLET,Mercy Olugu,1,0,16,0,1,1,5,2,8,1,0,1,4,1,2,0,1,4
2023-24,WBB,Dalhousie,W20231013DALLET,Anna Parsons,1,1,14,0,0,1,3,1,2,1,3,4,2,1,0,0,2,3
2023-24,WBB,Dalhousie,W20231013DALLET,team-dalhousie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Dalhousie,W20231013DALLET,Lauren Tetteh-Wayoe,1,0,9,0,0,1,3,0,1,0,2,2,1,0,2,0,1,2
2023-24,WBB,Dalhousie,W20231013DALLET,Sarah Valley,1,1,19,0,4,2,5,0,2,1,1,2,0,1,1,0,0,4
2023-24,WBB,Dalhousie,W20231013DALLET,Emma Ward,1,0,20,0,1,1,1,0,0,0,3,3,2,1,2,0,0,2
2023-24,WBB,Dalhousie,W20231013DALLET,Eva Widmeyer,1,0,19,1,3,0,4,1,2,1,2,3,2,0,0,0,1,4
2023-24,WBB,Dalhousie,W20231013DALLET,Katie Wuotila,1,0,8,0,1,1,1,0,0,0,3,3,0,0,2,2,1,2
2023-24,WBB,Dalhousie,W20231014DALLAU,Kaitlyn Ferrier,1,1,32,1,2,2,11,13,13,1,3,4,4,1,6,0,3,20
2023-24,WBB,Dalhousie,W20231014DALLAU,Sydney Guker-Wickie,1,1,27,1,5,5,7,2,2,3,2,5,2,3,3,0,0,15
2023-24,WBB,Dalhousie,W20231014DALLAU,Simona Matic,1,1,29,1,4,3,7,3,4,1,2,3,5,0,1,0,1,12
2023-24,WBB,Dalhousie,W20231014DALLAU,Reilly McMillan,1,0,7,0,0,1,1,0,1,1,0,1,2,0,0,0,1,2
2023-24,WBB,Dalhousie,W20231014DALLAU,Mercy Olugu,1,0,28,0,4,5,11,5,10,6,4,10,3,0,0,0,2,15
2023-24,WBB,Dalhousie,W20231014DALLAU,Anna Parsons,1,1,18,0,0,2,3,1,2,1,4,5,3,2,0,0,2,5
2023-24,WBB,Dalhousie,W20231014DALLAU,Sarah Valley,1,1,15,0,4,0,1,0,0,0,1,1,0,1,0,0,0,0
2023-24,WBB,Dalhousie,W20231014DALLAU,Emma Ward,1,0,6,0,3,0,0,0,0,1,1,2,0,1,0,0,1,0
2023-24,WBB,Dalhousie,W20231014DALLAU,Eva Widmeyer,1,0,23,0,4,0,3,0,0,0,1,1,3,0,0,0,1,0
2023-24,WBB,Dalhousie,W20231014DALLAU,Katie Wuotila,1,0,9,0,0,0,1,0,0,1,2,3,2,0,0,0,0,0
2023-24,WBB,Dalhousie,W20231015DALMAC,Kaitlyn Ferrier,1,1,28,0,4,3,14,5,8,1,7,8,2,4,3,1,3,11
