Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Lakehead,W20230929LAKALG,Sara Azzolini,1,1,29,0,1,1,1,0,2,1,2,3,3,3,0,0,2,2
2023-24,WBB,Lakehead,W20230929LAKALG,Kirpa Brar,1,0,22,3,6,0,1,4,5,1,1,2,0,1,4,0,1,13
2023-24,WBB,Lakehead,W20230929LAKALG,Ally Burke,1,1,21,1,6,4,5,6,7,1,4,5,0,2,6,1,0,17
2023-24,WBB,Lakehead,W20230929LAKALG,Neela Chanderdat,1,0,11,0,2,0,3,0,4,1,4,5,1,1,1,0,0,0
2023-24,WBB,Lakehead,W20230929LAKALG,Kelly-Ann Coulombe,1,0,21,0,0,2,4,4,9,4,4,8,2,1,0,0,1,8
2023-24,WBB,Lakehead,W20230929LAKALG,Alexia Giroux,1,0,8,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0
2023-24,WBB,Lakehead,W20230929LAKALG,Eva Guilera,1,1,19,0,0,5,7,4,4,3,3,6,0,2,3,0,1,14
2023-24,WBB,Lakehead,W20230929LAKALG,Alyssa Kreiner,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Lakehead,W20230929LAKALG,Paula Lopez,1,1,24,0,1,2,5,6,8,2,1,3,4,0,3,0,0,10
2023-24,WBB,Lakehead,W20230929LAKALG,Emily Pokrant,1,0,8,0,1,1,1,0,0,1,0,1,0,0,0,0,1,2
2023-24,WBB,Lakehead,W20230929LAKALG,team-lakehead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Lakehead,W20230929LAKALG,Hana Whalen,1,1,35,1,4,0,3,0,2,2,3,5,1,4,2,0,2,3
2023-24,WBB,Lakehead,W20230930LAKALG,Sara Azzolini,1,1,16,0,1,1,2,0,0,2,0,2,3,1,0,0,1,2
2023-24,WBB,Lakehead,W20230930LAKALG,Kirpa Brar,1,0,13,1,3,0,2,2,2,0,3,3,0,1,1,0,0,5
2023-24,WBB,Lakehead,W20230930LAKALG,Ally Burke,1,1,21,1,5,4,6,3,5,0,4,4,1,3,0,0,0,14
2023-24,WBB,Lakehead,W20230930LAKALG,Neela Chanderdat,1,0,11,1,1,2,3,3,5,1,0,1,1,0,1,0,0,10
2023-24,WBB,Lakehead,W20230930LAKALG,Kelly-Ann Coulombe,1,0,17,0,0,6,10,0,0,3,5,8,0,3,1,0,1,12
2023-24,WBB,Lakehead,W20230930LAKALG,Alexia Giroux,1,0,17,2,5,2,3,2,2,1,2,3,2,2,1,0,0,12
2023-24,WBB,Lakehead,W20230930LAKALG,Eva Guilera,1,1,20,0,0,2,4,4,5,2,4,6,0,2,2,4,0,8
2023-24,WBB,Lakehead,W20230930LAKALG,Alyssa Kreiner,1,0,13,0,1,1,1,0,0,0,2,2,1,0,1,0,0,2
2023-24,WBB,Lakehead,W20230930LAKALG,Paula Lopez,1,1,29,0,6,0,3,6,6,2,6,8,0,7,4,0,0,6
2023-24,WBB,Lakehead,W20230930LAKALG,Emily Pokrant,1,0,15,1,1,0,0,0,0,0,1,1,1,1,0,0,0,3
2023-24,WBB,Lakehead,W20230930LAKALG,team-lakehead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Lakehead,W20230930LAKALG,Hana Whalen,1,1,29,2,6,0,2,2,2,3,5,8,2,4,0,0,5,8
2023-24,WBB,Lakehead,W20231006MANLAK,Sara Azzolini,1,1,20,0,0,1,1,0,0,0,1,1,1,0,2,0,2,2
2023-24,WBB,Lakehead,W20231006MANLAK,Kirpa Brar,1,0,17,1,3,3,4,0,0,0,0,0,1,2,3,0,1,9
2023-24,WBB,Lakehead,W20231006MANLAK,Ally Burke,1,1,31,2,6,2,9,5,7,1,3,4,3,1,4,0,1,15
2023-24,WBB,Lakehead,W20231006MANLAK,Neela Chanderdat,1,0,5,0,1,0,0,1,4,0,2,2,0,0,1,0,0,1
2023-24,WBB,Lakehead,W20231006MANLAK,Kelly-Ann Coulombe,1,1,23,0,0,2,3,0,2,2,1,3,3,3,0,3,1,4
2023-24,WBB,Lakehead,W20231006MANLAK,Alexia Giroux,1,0,10,0,2,0,3,0,0,2,1,3,2,0,0,0,0,0
2023-24,WBB,Lakehead,W20231006MANLAK,Eva Guilera,1,0,19,0,0,4,8,1,4,1,2,3,4,1,2,1,2,9
2023-24,WBB,Lakehead,W20231006MANLAK,Paula Lopez,1,1,26,0,0,1,3,1,2,0,0,0,1,3,2,0,1,3
2023-24,WBB,Lakehead,W20231006MANLAK,Emily Pokrant,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Lakehead,W20231006MANLAK,team-lakehead,1,0,0,0,0,0,0,0,0,3,6,9,0,0,5,0,0,0
2023-24,WBB,Lakehead,W20231006MANLAK,Hana Whalen,1,1,32,1,7,1,3,0,0,0,3,3,1,0,2,0,1,5
2023-24,WBB,Lakehead,W20231006MANLAK,Claire Wiersema,1,0,11,0,1,0,3,0,0,0,1,1,1,1,0,0,0,0
2023-24,WBB,Lakehead,W20231007WPGLAK,Sara Azzolini,1,1,7,1,1,0,1,1,2,0,2,2,0,0,0,0,0,4
2023-24,WBB,Lakehead,W20231007WPGLAK,Kirpa Brar,1,0,17,3,5,0,3,2,4,1,3,4,1,1,3,0,0,11
2023-24,WBB,Lakehead,W20231007WPGLAK,Ally Burke,1,1,30,2,10,4,7,5,5,1,5,6,2,3,2,0,2,19
2023-24,WBB,Lakehead,W20231007WPGLAK,Neela Chanderdat,1,0,9,1,1,0,2,0,0,0,0,0,0,0,0,0,0,3
2023-24,WBB,Lakehead,W20231007WPGLAK,Kelly-Ann Coulombe,1,0,24,0,0,1,2,0,0,2,7,9,1,1,0,0,0,2
2023-24,WBB,Lakehead,W20231007WPGLAK,Alexia Giroux,1,0,14,1,3,1,1,3,4,2,1,3,1,2,0,0,0,8
2023-24,WBB,Lakehead,W20231007WPGLAK,Eva Guilera,1,1,16,0,0,3,6,0,0,1,5,6,2,3,3,1,2,6
2023-24,WBB,Lakehead,W20231007WPGLAK,Alyssa Kreiner,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Lakehead,W20231007WPGLAK,Paula Lopez,1,1,26,2,4,1,6,0,0,0,0,0,4,2,3,0,0,8
2023-24,WBB,Lakehead,W20231007WPGLAK,Emily Pokrant,1,0,10,0,1,1,1,0,1,1,2,3,0,2,0,0,0,2
2023-24,WBB,Lakehead,W20231007WPGLAK,team-lakehead,1,0,0,0,0,0,0,0,0,3,2,5,0,0,1,0,0,0
