Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Lethbridge,W20230928REGLET,Kyra Collier,1,1,26,0,2,0,8,1,2,1,5,6,2,1,1,0,0,1
2023-24,WBB,Lethbridge,W20230928REGLET,Kamryn Deklerk,1,1,26,1,1,2,4,2,3,0,3,3,0,1,5,0,3,9
2023-24,WBB,Lethbridge,W20230928REGLET,Piper Dobbelsteyn,1,1,26,1,4,1,3,0,0,4,2,6,3,0,0,1,0,5
2023-24,WBB,Lethbridge,W20230928REGLET,Jenessa Doctor,1,0,13,0,4,0,0,0,0,0,0,0,1,0,3,0,0,0
2023-24,WBB,Lethbridge,W20230928REGLET,Vlada Hozalova,1,1,21,0,0,3,5,2,2,1,3,4,1,0,3,0,0,8
2023-24,WBB,Lethbridge,W20230928REGLET,Viktoriia Kovalevska,1,0,20,0,0,0,5,0,0,1,1,2,5,1,3,0,2,0
2023-24,WBB,Lethbridge,W20230928REGLET,Mhari Mattuli,1,0,19,0,2,0,1,0,0,2,1,3,0,0,0,2,0,0
2023-24,WBB,Lethbridge,W20230928REGLET,Courtney McKee,1,0,21,1,4,3,9,1,2,1,5,6,4,0,6,0,1,10
2023-24,WBB,Lethbridge,W20230928REGLET,Ella Newman,1,0,7,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0
2023-24,WBB,Lethbridge,W20230928REGLET,Tobore Okome,1,1,21,0,0,7,8,2,4,4,3,7,3,0,0,0,2,16
2023-24,WBB,Lethbridge,W20230928REGLET,team-lethbridge,1,0,0,0,0,0,0,0,0,1,5,6,0,0,2,0,0,0
2023-24,WBB,Lethbridge,W20230929REGLET,Kyra Collier,1,1,25,0,1,1,4,2,2,0,4,4,0,0,3,0,0,4
2023-24,WBB,Lethbridge,W20230929REGLET,Kamryn Deklerk,1,1,25,0,1,0,4,1,2,0,2,2,0,1,2,1,2,1
2023-24,WBB,Lethbridge,W20230929REGLET,Piper Dobbelsteyn,1,1,25,1,6,2,5,0,0,2,0,2,3,0,4,0,1,7
2023-24,WBB,Lethbridge,W20230929REGLET,Jenessa Doctor,1,0,16,1,5,1,2,0,0,0,1,1,0,0,0,0,1,5
2023-24,WBB,Lethbridge,W20230929REGLET,Vlada Hozalova,1,0,23,0,1,5,11,0,1,1,1,2,3,2,2,0,1,10
2023-24,WBB,Lethbridge,W20230929REGLET,Viktoriia Kovalevska,1,0,18,0,0,2,4,0,0,1,5,6,2,0,4,0,1,4
2023-24,WBB,Lethbridge,W20230929REGLET,Mhari Mattuli,1,0,15,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2
2023-24,WBB,Lethbridge,W20230929REGLET,Courtney McKee,1,1,19,0,5,0,0,4,4,0,1,1,2,1,3,0,0,4
2023-24,WBB,Lethbridge,W20230929REGLET,Ella Newman,1,0,12,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0
2023-24,WBB,Lethbridge,W20230929REGLET,Tobore Okome,1,1,22,0,1,3,4,1,1,1,0,1,2,0,3,0,2,7
2023-24,WBB,Lethbridge,W20230929REGLET,team-lethbridge,1,0,0,0,0,0,0,0,0,4,6,10,0,0,1,0,0,0
2023-24,WBB,Lethbridge,W20231013DALLET,Kennedy Blaskin,1,0,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2023-24,WBB,Lethbridge,W20231013DALLET,Kyra Collier,1,1,28,0,1,0,3,0,0,1,2,3,2,1,3,0,3,0
2023-24,WBB,Lethbridge,W20231013DALLET,Kamryn Deklerk,1,1,26,0,3,2,4,1,2,0,3,3,1,1,5,2,0,5
2023-24,WBB,Lethbridge,W20231013DALLET,Piper Dobbelsteyn,1,1,19,0,2,1,2,4,4,1,2,3,4,2,5,0,2,6
2023-24,WBB,Lethbridge,W20231013DALLET,Jenessa Doctor,1,0,6,1,2,0,0,0,0,0,3,3,0,0,0,0,0,3
2023-24,WBB,Lethbridge,W20231013DALLET,Abby Graves,1,0,17,0,1,2,5,2,2,1,5,6,5,1,3,0,1,6
2023-24,WBB,Lethbridge,W20231013DALLET,Vlada Hozalova,1,1,23,0,0,5,8,0,0,0,2,2,2,1,5,0,2,10
2023-24,WBB,Lethbridge,W20231013DALLET,Viktoriia Kovalevska,1,0,25,0,3,0,0,3,7,0,2,2,1,1,5,1,1,3
2023-24,WBB,Lethbridge,W20231013DALLET,Mhari Mattuli,1,0,11,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0
2023-24,WBB,Lethbridge,W20231013DALLET,Courtney McKee,1,0,17,0,1,1,4,3,7,0,3,3,2,1,1,0,1,5
2023-24,WBB,Lethbridge,W20231013DALLET,Ella Newman,1,0,4,1,2,0,2,0,0,0,1,1,0,0,0,0,0,3
2023-24,WBB,Lethbridge,W20231013DALLET,Tobore Okome,1,1,19,0,0,4,7,4,6,2,5,7,2,0,2,0,0,12
2023-24,WBB,Lethbridge,W20231013DALLET,team-lethbridge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Lethbridge,W20231014UNBLET,Kennedy Blaskin,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Lethbridge,W20231014UNBLET,Kyra Collier,1,1,24,1,3,1,4,0,0,2,7,9,2,1,2,1,1,5
2023-24,WBB,Lethbridge,W20231014UNBLET,Kamryn Deklerk,1,1,27,0,3,2,7,0,0,0,2,2,0,2,2,0,2,4
2023-24,WBB,Lethbridge,W20231014UNBLET,Piper Dobbelsteyn,1,1,26,0,3,5,8,0,0,0,2,2,1,0,3,0,2,10
2023-24,WBB,Lethbridge,W20231014UNBLET,Abby Graves,1,0,22,1,5,3,6,0,0,2,3,5,1,2,5,0,0,9
2023-24,WBB,Lethbridge,W20231014UNBLET,Vlada Hozalova,1,1,27,1,1,1,4,0,0,0,7,7,2,1,6,0,1,5
2023-24,WBB,Lethbridge,W20231014UNBLET,Viktoriia Kovalevska,1,0,17,0,0,0,1,0,0,1,1,2,4,1,2,1,0,0
2023-24,WBB,Lethbridge,W20231014UNBLET,Mhari Mattuli,1,0,13,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,Lethbridge,W20231014UNBLET,Courtney McKee,1,0,17,1,4,2,10,2,2,1,1,2,4,0,4,0,0,9
2023-24,WBB,Lethbridge,W20231014UNBLET,Ella Newman,1,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2023-24,WBB,Lethbridge,W20231014UNBLET,Tobore Okome,1,1,18,0,1,3,6,2,2,3,2,5,3,0,1,0,0,8
2023-24,WBB,Lethbridge,W20231015SMULET,Kennedy Blaskin,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Lethbridge,W20231015SMULET,Kyra Collier,1,1,28,2,5,0,5,0,0,0,5,5,0,0,1,1,0,6
2023-24,WBB,Lethbridge,W20231015SMULET,Kamryn Deklerk,1,1,23,0,2,3,5,1,2,2,3,5,0,3,2,1,4,7
2023-24,WBB,Lethbridge,W20231015SMULET,Piper Dobbelsteyn,1,1,22,0,4,3,5,2,2,0,2,2,2,1,2,0,1,8
2023-24,WBB,Lethbridge,W20231015SMULET,Abby Graves,1,0,17,0,1,2,7,0,0,0,2,2,0,2,3,0,1,4
2023-24,WBB,Lethbridge,W20231015SMULET,Vlada Hozalova,1,1,22,0,1,2,7,3,4,2,4,6,3,2,1,1,2,7
2023-24,WBB,Lethbridge,W20231015SMULET,Viktoriia Kovalevska,1,0,20,0,1,1,3,0,0,0,3,3,2,2,0,1,0,2
2023-24,WBB,Lethbridge,W20231015SMULET,Mhari Mattuli,1,0,19,0,1,2,4,0,0,0,1,1,1,1,3,0,0,4
2023-24,WBB,Lethbridge,W20231015SMULET,Courtney McKee,1,0,23,1,6,0,1,1,4,0,1,1,1,1,3,0,1,4
2023-24,WBB,Lethbridge,W20231015SMULET,Ella Newman,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Lethbridge,W20231015SMULET,Tobore Okome,1,1,21,0,0,2,5,3,4,2,4,6,3,0,2,0,2,7
2023-24,WBB,Lethbridge,W20231015SMULET,team-lethbridge,1,0,0,0,0,0,0,0,0,3,5,8,0,0,1,0,0,0
2023-24,WBB,Lethbridge,W20231028ALBLET,Kennedy Blaskin,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Lethbridge,W20231028ALBLET,Kyra Collier,1,1,22,2,5,3,7,1,2,1,1,2,4,1,2,0,3,13
2023-24,WBB,Lethbridge,W20231028ALBLET,Kamryn Deklerk,1,1,19,0,0,0,1,0,0,1,4,5,2,3,3,2,0,0
2023-24,WBB,Lethbridge,W20231028ALBLET,Piper Dobbelsteyn,1,1,21,1,5,0,6,0,0,0,3,3,0,0,3,0,0,3
2023-24,WBB,Lethbridge,W20231028ALBLET,Jenessa Doctor,1,0,13,1,2,0,1,0,0,0,1,1,0,1,0,0,2,3
2023-24,WBB,Lethbridge,W20231028ALBLET,Abby Graves,1,0,19,1,3,1,6,0,0,3,4,7,1,0,2,0,0,5
2023-24,WBB,Lethbridge,W20231028ALBLET,Vlada Hozalova,1,1,20,0,4,1,5,0,0,0,4,4,1,1,3,0,2,2
2023-24,WBB,Lethbridge,W20231028ALBLET,Viktoriia Kovalevska,1,0,23,0,0,0,1,1,6,0,1,1,1,1,2,0,0,1
2023-24,WBB,Lethbridge,W20231028ALBLET,Mhari Mattuli,1,0,20,0,2,1,3,0,0,2,0,2,1,1,2,0,0,2
2023-24,WBB,Lethbridge,W20231028ALBLET,Courtney McKee,1,0,17,1,1,1,4,1,4,0,3,3,4,0,4,0,2,6
2023-24,WBB,Lethbridge,W20231028ALBLET,Ella Newman,1,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2023-24,WBB,Lethbridge,W20231028ALBLET,Tobore Okome,1,1,19,0,0,4,11,0,2,5,10,15,4,0,3,1,1,8
2023-24,WBB,Lethbridge,W20231028ALBLET,team-lethbridge,1,0,0,0,0,0,0,0,0,7,3,10,0,0,2,0,0,0
2023-24,WBB,Lethbridge,W20231029LETWAT,team-totals,1,0,200,5,25,11,30,9,11,13,15,28,21,9,24,1,12,46
2023-24,WBB,Lethbridge,W20231103UBCLET,Kennedy Blaskin,1,0,11,0,0,0,1,2,2,2,0,2,1,0,2,0,1,2
2023-24,WBB,Lethbridge,W20231103UBCLET,Kyra Collier,1,1,20,1,3,0,4,0,0,3,5,8,3,0,2,1,2,3
2023-24,WBB,Lethbridge,W20231103UBCLET,Piper Dobbelsteyn,1,1,28,0,4,2,6,5,8,1,5,6,4,3,5,0,0,9
2023-24,WBB,Lethbridge,W20231103UBCLET,Jenessa Doctor,1,0,20,1,7,0,1,6,6,0,4,4,0,0,3,0,1,9
2023-24,WBB,Lethbridge,W20231103UBCLET,Abby Graves,1,0,16,1,1,0,1,0,0,1,2,3,2,0,1,0,0,3
2023-24,WBB,Lethbridge,W20231103UBCLET,Vlada Hozalova,1,1,23,0,3,0,4,0,0,0,1,1,3,0,2,0,1,0
