Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,MacEwan,W20231019TRUEWN,Sarah Burnell,1,1,12,0,0,2,6,1,2,2,2,4,0,1,1,0,0,5
2023-24,WBB,MacEwan,W20231019TRUEWN,Julie Dueck,1,1,31,1,4,4,8,2,2,2,3,5,3,0,1,0,1,13
2023-24,WBB,MacEwan,W20231019TRUEWN,Toni Gordon,1,1,21,0,1,1,7,0,0,1,4,5,1,1,2,1,0,2
2023-24,WBB,MacEwan,W20231019TRUEWN,Samantha Hickey,1,0,16,0,1,0,2,0,0,1,7,8,1,2,0,2,0,0
2023-24,WBB,MacEwan,W20231019TRUEWN,Noelle Kilbreath,1,0,14,0,4,2,5,5,5,2,3,5,4,2,2,0,1,9
2023-24,WBB,MacEwan,W20231019TRUEWN,Sofia Makinen,1,0,14,1,1,0,1,0,0,2,1,3,2,0,0,0,1,3
2023-24,WBB,MacEwan,W20231019TRUEWN,Unity Obasuyi,1,0,13,0,3,0,1,1,6,3,0,3,0,0,2,0,0,1
2023-24,WBB,MacEwan,W20231019TRUEWN,Makenzie Reeve,1,1,17,1,4,4,5,0,0,1,4,5,0,2,2,0,0,11
2023-24,WBB,MacEwan,W20231019TRUEWN,Ava Regier,1,0,9,0,3,0,0,0,0,0,2,2,0,0,0,0,1,0
2023-24,WBB,MacEwan,W20231019TRUEWN,Magdalene Smith,1,0,11,0,1,1,4,2,4,0,1,1,1,0,1,0,0,4
2023-24,WBB,MacEwan,W20231019TRUEWN,Alexandra Spenrath,1,0,18,0,2,2,6,1,2,0,3,3,4,0,3,0,1,5
2023-24,WBB,MacEwan,W20231019TRUEWN,team-macewan,1,0,0,0,0,0,0,0,0,3,3,6,0,0,1,0,0,0
2023-24,WBB,MacEwan,W20231019TRUEWN,Toki Tsuzuki,1,1,24,0,0,2,4,0,2,2,1,3,0,1,3,0,3,4
2023-24,WBB,MacEwan,W20231020NBCEWN,Sarah Burnell,1,0,16,0,0,0,4,0,0,1,3,4,2,1,1,0,0,0
2023-24,WBB,MacEwan,W20231020NBCEWN,Julie Dueck,1,1,25,1,2,1,4,0,0,1,2,3,3,0,3,1,0,5
