Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Manitoba,W20231006MANLAK,Autumn Agar,1,1,16,0,1,3,3,5,6,1,3,4,3,2,6,0,0,11
2023-24,WBB,Manitoba,W20231006MANLAK,Lauren Bartlett,1,1,28,0,3,0,7,2,2,0,1,1,0,4,4,1,3,2
2023-24,WBB,Manitoba,W20231006MANLAK,Sydnee Harris,1,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2023-24,WBB,Manitoba,W20231006MANLAK,Emily Johnson,1,1,33,0,0,5,10,2,2,2,8,10,1,1,2,0,2,12
2023-24,WBB,Manitoba,W20231006MANLAK,Ayva Khan,1,0,20,0,3,0,2,1,2,2,2,4,4,1,0,0,0,1
2023-24,WBB,Manitoba,W20231006MANLAK,Emily Mandamin,1,0,15,0,1,1,2,0,0,1,2,3,3,1,0,0,0,2
2023-24,WBB,Manitoba,W20231006MANLAK,Emerson Martin,1,1,23,0,1,3,8,0,0,1,3,4,1,0,4,1,0,6
2023-24,WBB,Manitoba,W20231006MANLAK,Anna Miko,1,0,14,1,3,1,2,0,0,3,3,6,3,0,2,1,0,5
2023-24,WBB,Manitoba,W20231006MANLAK,Hannah Olugbodi,1,0,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
2023-24,WBB,Manitoba,W20231006MANLAK,Talia Peters,1,0,10,0,2,0,1,0,0,0,1,1,1,0,1,1,0,0
2023-24,WBB,Manitoba,W20231006MANLAK,Lana Shypit,1,0,6,0,0,0,1,2,2,0,0,0,0,0,3,0,1,2
2023-24,WBB,Manitoba,W20231006MANLAK,team-manitoba,1,0,0,0,0,0,0,0,0,4,5,9,0,0,3,0,0,0
2023-24,WBB,Manitoba,W20231006MANLAK,Mar Tomas Arbos,1,1,25,1,1,6,11,1,2,6,2,8,1,1,2,0,2,16
2023-24,WBB,Manitoba,W20231007MANBDN,Autumn Agar,1,1,23,0,0,4,11,4,6,5,4,9,0,2,4,0,3,12
2023-24,WBB,Manitoba,W20231007MANBDN,Lauren Bartlett,1,1,27,1,6,4,8,0,0,1,2,3,1,7,1,0,4,11
2023-24,WBB,Manitoba,W20231007MANBDN,Hope Dixon,1,0,10,0,1,1,1,2,4,0,1,1,2,1,0,0,2,4
2023-24,WBB,Manitoba,W20231007MANBDN,Sydnee Harris,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2023-24,WBB,Manitoba,W20231007MANBDN,Emily Johnson,1,1,21,0,0,4,8,0,0,4,2,6,3,6,1,1,2,8
2023-24,WBB,Manitoba,W20231007MANBDN,Ayva Khan,1,0,22,5,5,0,1,1,2,1,6,7,2,0,2,0,1,16
2023-24,WBB,Manitoba,W20231007MANBDN,Emily Mandamin,1,0,16,0,5,1,1,0,0,1,1,2,2,1,2,0,1,2
2023-24,WBB,Manitoba,W20231007MANBDN,Emerson Martin,1,1,23,1,3,1,3,3,6,0,3,3,0,3,3,0,0,8
2023-24,WBB,Manitoba,W20231007MANBDN,Anna Miko,1,0,15,0,1,1,4,0,0,3,2,5,4,1,3,0,2,2
2023-24,WBB,Manitoba,W20231007MANBDN,Talia Peters,1,0,13,2,5,3,3,0,0,1,1,2,3,1,0,0,1,12
2023-24,WBB,Manitoba,W20231007MANBDN,Lana Shypit,1,0,8,0,1,0,0,0,0,0,3,3,0,0,1,1,0,0
2023-24,WBB,Manitoba,W20231007MANBDN,team-manitoba,1,0,0,0,0,0,0,0,0,4,1,5,0,0,1,0,0,0
2023-24,WBB,Manitoba,W20231007MANBDN,Mar Tomas Arbos,1,1,20,2,2,2,8,2,2,2,3,5,2,3,0,0,3,12
2023-24,WBB,Manitoba,W20231012WATMAN,Autumn Agar,1,1,26,0,1,3,7,1,4,1,3,4,2,3,3,1,2,7
2023-24,WBB,Manitoba,W20231012WATMAN,Hope Dixon,1,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
2023-24,WBB,Manitoba,W20231012WATMAN,Sydnee Harris,1,0,10,1,2,0,0,0,0,0,2,2,4,0,2,0,1,3
2023-24,WBB,Manitoba,W20231012WATMAN,Emily Johnson,1,1,32,0,0,12,15,4,7,2,2,4,3,0,6,0,2,28
2023-24,WBB,Manitoba,W20231012WATMAN,Ayva Khan,1,0,19,2,4,0,0,0,0,0,0,0,1,0,1,0,0,6
2023-24,WBB,Manitoba,W20231012WATMAN,Emily Mandamin,1,0,16,1,4,0,0,0,0,0,1,1,1,1,1,0,4,3
2023-24,WBB,Manitoba,W20231012WATMAN,Emerson Martin,1,1,16,1,1,0,1,0,0,0,1,1,5,0,4,0,0,3
2023-24,WBB,Manitoba,W20231012WATMAN,Anna Miko,1,0,21,0,3,0,2,2,4,0,3,3,2,0,2,1,2,2
2023-24,WBB,Manitoba,W20231012WATMAN,Hannah Olugbodi,1,0,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
2023-24,WBB,Manitoba,W20231012WATMAN,Talia Peters,1,1,15,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0
2023-24,WBB,Manitoba,W20231012WATMAN,Lana Shypit,1,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Manitoba,W20231012WATMAN,Mar Tomas Arbos,1,1,31,0,0,1,5,0,0,2,4,6,4,1,3,0,0,2
2023-24,WBB,Manitoba,W20231013MANOTH,Autumn Agar,1,1,18,0,3,1,3,0,0,1,5,6,5,2,3,1,1,2
2023-24,WBB,Manitoba,W20231013MANOTH,Hope Dixon,1,0,5,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0
2023-24,WBB,Manitoba,W20231013MANOTH,Sydnee Harris,1,0,11,3,4,0,1,0,0,0,0,0,0,0,1,0,0,9
2023-24,WBB,Manitoba,W20231013MANOTH,Emily Johnson,1,1,32,0,0,6,13,2,2,3,4,7,2,4,2,0,1,14
2023-24,WBB,Manitoba,W20231013MANOTH,Ayva Khan,1,0,28,4,6,0,4,2,4,2,6,8,1,2,1,0,1,14
2023-24,WBB,Manitoba,W20231013MANOTH,Emily Mandamin,1,0,16,1,4,0,0,0,0,0,1,1,1,2,3,0,0,3
2023-24,WBB,Manitoba,W20231013MANOTH,Emerson Martin,1,1,25,0,0,3,9,2,2,1,2,3,2,1,1,0,2,8
2023-24,WBB,Manitoba,W20231013MANOTH,Anna Miko,1,0,19,0,2,5,8,0,0,3,5,8,3,0,0,0,3,10
2023-24,WBB,Manitoba,W20231013MANOTH,Hannah Olugbodi,1,0,7,0,0,0,1,0,2,2,0,2,0,0,1,0,0,0
2023-24,WBB,Manitoba,W20231013MANOTH,Talia Peters,1,1,12,1,2,1,2,0,0,0,0,0,0,0,0,0,0,5
2023-24,WBB,Manitoba,W20231013MANOTH,Mar Tomas Arbos,1,1,28,0,3,5,7,0,0,1,4,5,0,1,1,0,1,10
2023-24,WBB,Manitoba,W20231014YRKMAN,Autumn Agar,1,1,26,0,1,2,7,5,6,1,1,2,2,3,8,0,2,9
2023-24,WBB,Manitoba,W20231014YRKMAN,Hope Dixon,1,0,9,0,0,0,1,0,0,0,2,2,2,0,2,0,1,0
2023-24,WBB,Manitoba,W20231014YRKMAN,Emily Johnson,1,1,31,0,0,7,9,2,2,1,4,5,1,4,1,0,2,16
2023-24,WBB,Manitoba,W20231014YRKMAN,Ayva Khan,1,0,20,1,2,0,1,2,4,2,1,3,1,0,3,0,0,5
2023-24,WBB,Manitoba,W20231014YRKMAN,Emily Mandamin,1,0,8,3,4,0,0,0,0,0,0,0,1,0,0,0,0,9
2023-24,WBB,Manitoba,W20231014YRKMAN,Emerson Martin,1,1,18,0,1,4,10,0,0,1,2,3,4,1,1,1,1,8
2023-24,WBB,Manitoba,W20231014YRKMAN,Anna Miko,1,0,11,0,1,1,1,0,0,0,1,1,4,0,0,0,1,2
2023-24,WBB,Manitoba,W20231014YRKMAN,Hannah Olugbodi,1,0,8,0,0,0,1,0,0,0,3,3,0,0,2,0,0,0
2023-24,WBB,Manitoba,W20231014YRKMAN,Talia Peters,1,1,16,1,4,0,1,1,2,0,3,3,1,0,4,0,1,4
2023-24,WBB,Manitoba,W20231014YRKMAN,Lana Shypit,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Manitoba,W20231014YRKMAN,Mar Tomas Arbos,1,1,33,0,0,6,9,2,4,1,3,4,3,2,0,1,2,14
2023-24,WBB,Manitoba,W20231019NBCMAN,Hope Dixon,1,0,3,0,1,0,1,1,2,1,0,1,1,1,0,0,1,1
2023-24,WBB,Manitoba,W20231019NBCMAN,Brynn Endicott,1,0,15,0,0,3,6,0,4,3,3,6,0,2,4,1,1,6
2023-24,WBB,Manitoba,W20231019NBCMAN,Emily Johnson,1,1,27,0,0,2,5,4,6,2,6,8,0,5,2,0,1,8
2023-24,WBB,Manitoba,W20231019NBCMAN,Ayva Khan,1,0,21,0,3,1,3,1,4,2,2,4,2,1,0,1,2,3
2023-24,WBB,Manitoba,W20231019NBCMAN,Emily Mandamin,1,0,23,5,9,0,0,2,2,0,1,1,2,4,5,1,1,17
2023-24,WBB,Manitoba,W20231019NBCMAN,Emerson Martin,1,1,17,1,3,3,6,2,5,1,1,2,5,1,2,1,0,11
2023-24,WBB,Manitoba,W20231019NBCMAN,Anna Miko,1,1,17,0,3,3,6,0,1,0,2,2,3,1,2,0,3,6
2023-24,WBB,Manitoba,W20231019NBCMAN,Hannah Olugbodi,1,0,10,0,0,2,2,1,2,3,2,5,0,0,1,0,0,5
2023-24,WBB,Manitoba,W20231019NBCMAN,Treyah Paquette,1,0,17,3,5,0,0,1,4,0,1,1,4,0,3,0,0,10
2023-24,WBB,Manitoba,W20231019NBCMAN,Talia Peters,1,1,20,2,6,2,3,0,0,1,1,2,0,3,1,0,2,10
2023-24,WBB,Manitoba,W20231019NBCMAN,Lana Shypit,1,0,4,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0
2023-24,WBB,Manitoba,W20231019NBCMAN,team-manitoba,1,0,0,0,0,0,0,0,0,3,4,7,0,0,1,0,0,0
2023-24,WBB,Manitoba,W20231019NBCMAN,Mar Tomas Arbos,1,1,24,0,2,5,10,0,0,4,6,10,1,3,2,0,3,10
2023-24,WBB,Manitoba,W20231020TRUMAN,Hope Dixon,1,0,7,0,3,2,4,0,0,1,2,3,1,0,1,0,0,4
2023-24,WBB,Manitoba,W20231020TRUMAN,Brynn Endicott,1,0,16,1,1,2,6,1,1,7,0,7,1,0,2,0,4,8
2023-24,WBB,Manitoba,W20231020TRUMAN,Emily Johnson,1,1,29,0,0,5,12,3,8,2,6,8,2,2,2,1,1,13
2023-24,WBB,Manitoba,W20231020TRUMAN,Ayva Khan,1,0,20,3,8,0,2,0,0,1,3,4,2,0,1,0,1,9
2023-24,WBB,Manitoba,W20231020TRUMAN,Emily Mandamin,1,0,9,0,3,0,0,0,0,0,0,0,0,1,1,0,2,0
2023-24,WBB,Manitoba,W20231020TRUMAN,Emerson Martin,1,1,21,0,2,1,7,1,4,2,4,6,3,2,7,0,1,3
2023-24,WBB,Manitoba,W20231020TRUMAN,Anna Miko,1,1,17,0,4,2,3,1,2,0,3,3,4,1,4,0,0,5
2023-24,WBB,Manitoba,W20231020TRUMAN,Hannah Olugbodi,1,0,15,0,0,3,4,2,2,4,1,5,1,2,4,0,1,8
2023-24,WBB,Manitoba,W20231020TRUMAN,Treyah Paquette,1,0,17,0,0,0,3,6,7,0,3,3,1,0,1,0,1,6
2023-24,WBB,Manitoba,W20231020TRUMAN,Talia Peters,1,1,14,1,4,0,0,0,0,0,3,3,2,1,0,0,0,3
2023-24,WBB,Manitoba,W20231020TRUMAN,Lana Shypit,1,0,9,0,0,1,2,0,0,0,1,1,2,0,1,0,0,2
2023-24,WBB,Manitoba,W20231020TRUMAN,team-manitoba,1,0,0,0,0,0,0,0,0,4,2,6,0,0,1,0,0,0
