Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,McMaster,W20231013UNBMAC,Delaney Bourget,1,1,26,1,4,1,1,1,2,0,5,5,3,2,2,0,2,6
2023-24,WBB,McMaster,W20231013UNBMAC,Jenna Button,1,1,35,0,3,5,9,0,0,0,4,4,1,4,4,1,0,10
2023-24,WBB,McMaster,W20231013UNBMAC,Jordan Denkers,1,0,24,0,0,2,6,0,0,1,1,2,2,4,2,0,0,4
2023-24,WBB,McMaster,W20231013UNBMAC,Emily Frankovic,1,1,22,1,3,3,4,0,0,2,2,4,2,1,2,4,3,9
2023-24,WBB,McMaster,W20231013UNBMAC,Ashley Guerriero,1,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2
2023-24,WBB,McMaster,W20231013UNBMAC,Ashley Guerriero,1,0,7,1,3,0,0,0,0,0,0,0,1,1,0,0,0,3
2023-24,WBB,McMaster,W20231013UNBMAC,Olivia Koffi,1,0,4,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0
2023-24,WBB,McMaster,W20231013UNBMAC,Deanna Mataseje,1,1,27,0,1,1,2,0,0,0,3,3,2,1,4,0,3,2
2023-24,WBB,McMaster,W20231013UNBMAC,Daully Patterson,1,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,McMaster,W20231013UNBMAC,Amy Stinson,1,1,24,2,4,5,12,0,0,2,1,3,4,2,1,0,0,16
2023-24,WBB,McMaster,W20231013UNBMAC,Sophia Urosevic,1,0,20,3,7,3,3,0,0,1,3,4,0,2,0,0,0,15
2023-24,WBB,McMaster,W20231014SMUMAC,Delaney Bourget,1,1,19,1,4,0,1,0,0,0,1,1,2,0,1,0,1,3
2023-24,WBB,McMaster,W20231014SMUMAC,Jenna Button,1,1,35,3,7,8,11,0,0,2,1,3,2,2,4,0,3,25
2023-24,WBB,McMaster,W20231014SMUMAC,Jordan Denkers,1,0,15,0,0,0,3,1,2,1,1,2,1,2,1,0,0,1
2023-24,WBB,McMaster,W20231014SMUMAC,Emily Frankovic,1,1,29,2,5,3,5,0,0,1,1,2,5,1,1,1,2,12
2023-24,WBB,McMaster,W20231014SMUMAC,Ashley Guerriero,1,0,24,2,5,1,2,0,0,0,1,1,1,4,4,0,3,8
2023-24,WBB,McMaster,W20231014SMUMAC,Olivia Koffi,1,0,4,1,1,0,1,0,0,0,0,0,1,0,2,0,0,3
2023-24,WBB,McMaster,W20231014SMUMAC,Deanna Mataseje,1,1,17,0,3,0,1,0,0,0,0,0,0,4,2,0,1,0
2023-24,WBB,McMaster,W20231014SMUMAC,Teja McCormick,1,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
2023-24,WBB,McMaster,W20231014SMUMAC,Daully Patterson,1,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,McMaster,W20231014SMUMAC,Amy Stinson,1,1,22,3,4,0,0,2,2,1,6,7,4,0,3,1,0,11
2023-24,WBB,McMaster,W20231014SMUMAC,Sophia Urosevic,1,0,21,3,7,1,2,0,0,1,1,2,2,2,3,1,0,11
2023-24,WBB,McMaster,W20231014SMUMAC,Maya Weekes,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,McMaster,W20231015DALMAC,Delaney Bourget,1,1,30,3,4,0,0,4,4,2,1,3,2,2,3,0,4,13
2023-24,WBB,McMaster,W20231015DALMAC,Jenna Button,1,1,34,1,4,4,7,1,2,1,7,8,3,4,3,1,2,12
2023-24,WBB,McMaster,W20231015DALMAC,Jordan Denkers,1,0,5,0,0,1,4,0,0,0,2,2,1,0,0,0,1,2
2023-24,WBB,McMaster,W20231015DALMAC,Emily Frankovic,1,1,34,5,10,5,9,4,4,0,4,4,0,4,3,4,2,29
2023-24,WBB,McMaster,W20231015DALMAC,Ashley Guerriero,1,0,6,0,1,3,5,1,3,0,2,2,0,1,1,0,1,7
2023-24,WBB,McMaster,W20231015DALMAC,Olivia Koffi,1,0,3,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0
2023-24,WBB,McMaster,W20231015DALMAC,Deanna Mataseje,1,1,35,0,3,0,0,0,0,1,4,5,3,9,3,0,4,0
2023-24,WBB,McMaster,W20231015DALMAC,Daully Patterson,1,0,7,0,3,0,1,0,0,0,1,1,1,0,0,0,0,0
2023-24,WBB,McMaster,W20231015DALMAC,Amy Stinson,1,1,37,3,9,4,6,1,2,1,7,8,2,3,2,1,4,18
2023-24,WBB,McMaster,W20231015DALMAC,team-mcmaster,1,0,0,0,0,0,0,0,0,4,3,7,0,0,1,0,0,0
2023-24,WBB,McMaster,W20231015DALMAC,Sophia Urosevic,1,0,10,0,0,1,2,0,0,0,2,2,2,2,1,0,1,2
2023-24,WBB,McMaster,W20231020MACSSK,Delaney Bourget,1,1,21,0,4,0,0,0,0,0,2,2,2,3,3,0,0,0
2023-24,WBB,McMaster,W20231020MACSSK,Jenna Button,1,1,29,2,5,0,3,0,0,0,4,4,0,0,3,0,0,6
2023-24,WBB,McMaster,W20231020MACSSK,Jordan Denkers,1,0,16,0,0,1,4,0,2,0,0,0,1,1,1,1,1,2
2023-24,WBB,McMaster,W20231020MACSSK,Emily Frankovic,1,1,15,0,2,2,4,2,2,0,1,1,0,0,0,1,0,6
2023-24,WBB,McMaster,W20231020MACSSK,Ashley Guerriero,1,0,21,0,3,0,3,0,0,0,1,1,1,0,3,0,2,0
2023-24,WBB,McMaster,W20231020MACSSK,Olivia Koffi,1,0,8,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0
2023-24,WBB,McMaster,W20231020MACSSK,Deanna Mataseje,1,1,25,1,6,2,3,0,0,1,3,4,2,2,7,0,0,7
2023-24,WBB,McMaster,W20231020MACSSK,Teja McCormick,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,McMaster,W20231020MACSSK,Daully Patterson,1,0,12,0,1,0,1,0,0,0,0,0,2,1,2,0,0,0
2023-24,WBB,McMaster,W20231020MACSSK,Amy Stinson,1,1,24,1,5,0,2,1,4,0,1,1,2,0,2,1,1,4
2023-24,WBB,McMaster,W20231020MACSSK,team-mcmaster,1,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0
