Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Mount Royal,W20230929WESMRU,Itziar Aransay Badia,1,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Mount Royal,W20230929WESMRU,Asha Donnelly,1,0,12,0,3,2,2,0,0,0,2,2,1,0,1,0,0,4
2023-24,WBB,Mount Royal,W20230929WESMRU,Isabella Faba,1,1,16,0,1,0,3,0,0,3,4,7,1,1,0,0,0,0
2023-24,WBB,Mount Royal,W20230929WESMRU,Kiara Ker,1,1,28,1,5,1,2,2,2,2,2,4,2,0,1,0,1,7
2023-24,WBB,Mount Royal,W20230929WESMRU,Jamie Lalor,1,0,21,1,1,1,3,0,0,3,5,8,1,0,2,1,0,5
2023-24,WBB,Mount Royal,W20230929WESMRU,Eleonora Luca,1,1,21,0,2,3,10,7,8,1,3,4,3,0,0,0,1,13
2023-24,WBB,Mount Royal,W20230929WESMRU,Harriette Mackenzie,1,0,18,0,0,5,14,0,0,1,2,3,0,0,3,0,0,10
2023-24,WBB,Mount Royal,W20230929WESMRU,Tanis Metcalfe,1,1,23,0,0,1,2,1,2,0,2,2,3,2,1,0,1,3
2023-24,WBB,Mount Royal,W20230929WESMRU,Marissa Richards,1,0,20,2,3,3,7,1,2,1,2,3,3,1,3,0,0,13
2023-24,WBB,Mount Royal,W20230929WESMRU,Megan Wellinghurst,1,0,18,1,1,1,2,0,0,2,3,5,3,0,0,0,0,5
2023-24,WBB,Mount Royal,W20230929WESMRU,Abbey Wilkinson,1,1,22,0,2,2,5,0,0,0,4,4,1,1,2,0,0,4
2023-24,WBB,Mount Royal,W20230930WESMRU,Itziar Aransay Badia,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2023-24,WBB,Mount Royal,W20230930WESMRU,Asha Donnelly,1,1,16,3,4,2,3,0,0,0,0,0,1,0,1,0,1,13
2023-24,WBB,Mount Royal,W20230930WESMRU,Isabella Faba,1,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-24,WBB,Mount Royal,W20230930WESMRU,Kiara Ker,1,0,21,0,2,2,6,0,0,0,1,1,1,1,3,1,0,4
2023-24,WBB,Mount Royal,W20230930WESMRU,Jamie Lalor,1,1,26,0,1,0,1,0,0,2,6,8,0,6,0,0,1,0
2023-24,WBB,Mount Royal,W20230930WESMRU,Eleonora Luca,1,1,27,0,1,4,6,3,3,2,3,5,1,1,1,0,0,11
2023-24,WBB,Mount Royal,W20230930WESMRU,Harriette Mackenzie,1,0,26,0,1,11,18,3,3,1,3,4,4,0,3,2,0,25
2023-24,WBB,Mount Royal,W20230930WESMRU,Tanis Metcalfe,1,1,25,0,0,1,5,2,2,2,2,4,5,4,1,3,1,4
2023-24,WBB,Mount Royal,W20230930WESMRU,Marissa Richards,1,1,26,1,3,2,7,0,0,2,3,5,4,1,1,1,2,7
2023-24,WBB,Mount Royal,W20230930WESMRU,team-mount royal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023-24,WBB,Mount Royal,W20230930WESMRU,Megan Wellinghurst,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,Mount Royal,W20230930WESMRU,Abbey Wilkinson,1,0,21,3,4,1,2,3,4,0,2,2,3,0,2,0,1,14
2023-24,WBB,Mount Royal,W20231012MRUBIS,Asha Donnelly,1,0,7,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0
2023-24,WBB,Mount Royal,W20231012MRUBIS,Isabella Faba,1,0,9,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0
2023-24,WBB,Mount Royal,W20231012MRUBIS,Kiara Ker,1,0,17,0,2,0,4,0,0,0,2,2,3,0,1,0,1,0
2023-24,WBB,Mount Royal,W20231012MRUBIS,Jamie Lalor,1,1,26,1,3,0,4,0,0,0,2,2,2,0,4,1,2,3
2023-24,WBB,Mount Royal,W20231012MRUBIS,Eleonora Luca,1,1,20,1,3,1,4,3,6,1,2,3,0,0,1,1,0,8
2023-24,WBB,Mount Royal,W20231012MRUBIS,Harriette Mackenzie,1,0,20,0,0,5,15,0,2,6,5,11,1,2,4,0,0,10
2023-24,WBB,Mount Royal,W20231012MRUBIS,Tanis Metcalfe,1,1,22,1,1,3,6,0,0,0,2,2,2,2,2,1,1,9
2023-24,WBB,Mount Royal,W20231012MRUBIS,Jenessa Ramsoomair,1,0,15,0,0,0,0,4,4,1,3,4,1,1,1,0,0,4
2023-24,WBB,Mount Royal,W20231012MRUBIS,Marissa Richards,1,1,18,0,3,4,5,0,2,2,4,6,1,0,8,0,0,8
2023-24,WBB,Mount Royal,W20231012MRUBIS,Julia Summers,1,0,11,0,1,0,1,2,2,0,0,0,1,1,1,0,0,2
2023-24,WBB,Mount Royal,W20231012MRUBIS,team-mount royal,1,0,0,0,0,0,0,0,0,4,6,10,0,0,0,0,0,0
2023-24,WBB,Mount Royal,W20231012MRUBIS,Megan Wellinghurst,1,0,14,0,0,1,2,0,0,0,1,1,2,1,1,0,2,2
2023-24,WBB,Mount Royal,W20231012MRUBIS,Abbey Wilkinson,1,1,20,1,3,1,3,0,0,2,4,6,3,2,2,0,2,5
2023-24,WBB,Mount Royal,W20231013TWUMRU,Itziar Aransay Badia,1,0,7,0,2,0,0,0,0,0,2,2,0,1,0,0,0,0
2023-24,WBB,Mount Royal,W20231013TWUMRU,Isabella Faba,1,0,16,0,0,2,4,0,0,0,0,0,0,2,1,0,0,4
2023-24,WBB,Mount Royal,W20231013TWUMRU,Kiara Ker,1,0,14,0,1,2,3,0,0,1,3,4,1,0,4,0,2,4
2023-24,WBB,Mount Royal,W20231013TWUMRU,Jamie Lalor,1,1,20,1,2,0,1,0,0,1,0,1,1,0,1,0,2,3
2023-24,WBB,Mount Royal,W20231013TWUMRU,Eleonora Luca,1,1,18,0,3,4,6,0,0,2,4,6,1,0,3,1,1,8
2023-24,WBB,Mount Royal,W20231013TWUMRU,Harriette Mackenzie,1,0,21,0,0,1,7,7,10,4,6,10,1,0,3,0,0,9
2023-24,WBB,Mount Royal,W20231013TWUMRU,Tanis Metcalfe,1,1,19,0,1,4,7,0,0,1,7,8,2,0,2,2,0,8
2023-24,WBB,Mount Royal,W20231013TWUMRU,Jenessa Ramsoomair,1,1,16,0,0,2,4,0,0,1,3,4,2,1,2,0,2,4
2023-24,WBB,Mount Royal,W20231013TWUMRU,Marissa Richards,1,0,16,2,2,2,3,3,3,0,2,2,1,1,3,3,0,13
2023-24,WBB,Mount Royal,W20231013TWUMRU,Julia Summers,1,0,14,0,0,2,2,0,0,0,0,0,1,1,2,1,2,4
2023-24,WBB,Mount Royal,W20231013TWUMRU,team-mount royal,1,0,0,0,0,0,0,0,0,5,5,10,0,0,1,0,0,0
2023-24,WBB,Mount Royal,W20231013TWUMRU,Megan Wellinghurst,1,0,19,0,0,2,3,0,0,0,2,2,1,1,2,0,1,4
2023-24,WBB,Mount Royal,W20231013TWUMRU,Abbey Wilkinson,1,1,20,0,2,2,9,0,0,0,0,0,2,4,3,0,0,4
2023-24,WBB,Mount Royal,W20231014UBCMRU,Asha Donnelly,1,0,4,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0
2023-24,WBB,Mount Royal,W20231014UBCMRU,Isabella Faba,1,0,11,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
2023-24,WBB,Mount Royal,W20231014UBCMRU,Kiara Ker,1,0,18,0,2,1,5,0,2,2,0,2,0,2,2,0,0,2
2023-24,WBB,Mount Royal,W20231014UBCMRU,Jamie Lalor,1,1,35,0,2,0,0,0,0,3,4,7,2,0,4,0,3,0
2023-24,WBB,Mount Royal,W20231014UBCMRU,Eleonora Luca,1,1,23,1,1,3,6,4,4,1,3,4,2,0,3,1,1,13
2023-24,WBB,Mount Royal,W20231014UBCMRU,Harriette Mackenzie,1,0,19,0,0,7,13,10,14,3,5,8,1,0,2,0,2,24
2023-24,WBB,Mount Royal,W20231014UBCMRU,Tanis Metcalfe,1,1,26,0,2,2,7,2,2,3,2,5,0,1,1,0,1,6
2023-24,WBB,Mount Royal,W20231014UBCMRU,Jenessa Ramsoomair,1,1,14,0,2,3,3,0,0,1,2,3,4,0,0,0,0,6
2023-24,WBB,Mount Royal,W20231014UBCMRU,Julia Summers,1,0,8,0,1,0,1,0,2,0,1,1,2,1,1,0,1,0
