Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Ottawa,W20231005BISOTT,Victoria Brideau,1,0,3,0,1,0,2,0,0,0,1,1,0,0,0,1,1,0
2023-24,WBB,Ottawa,W20231005BISOTT,Melina De Iulio,1,1,13,1,2,0,2,0,0,0,1,1,1,1,1,0,0,3
2023-24,WBB,Ottawa,W20231005BISOTT,Nadine Katumbayi,1,1,31,1,4,0,2,0,0,1,2,3,1,2,1,0,0,3
2023-24,WBB,Ottawa,W20231005BISOTT,Briar MacDonald,1,0,9,0,0,2,3,0,0,1,0,1,0,0,1,0,0,4
2023-24,WBB,Ottawa,W20231005BISOTT,Wendy Mboukep,1,0,10,0,0,0,1,0,0,4,1,5,2,0,2,0,2,0
2023-24,WBB,Ottawa,W20231005BISOTT,Allie McCarthy,1,0,22,0,2,0,3,0,0,0,4,4,2,3,0,0,2,0
2023-24,WBB,Ottawa,W20231005BISOTT,Emily Payne,1,1,23,1,1,0,5,0,0,1,4,5,4,3,4,0,0,3
2023-24,WBB,Ottawa,W20231005BISOTT,Alissa Provo,1,0,11,0,0,0,1,0,0,3,3,6,1,0,2,0,1,0
2023-24,WBB,Ottawa,W20231005BISOTT,Bailey Russell,1,0,13,1,2,0,1,0,0,1,4,5,0,1,0,0,2,3
2023-24,WBB,Ottawa,W20231005BISOTT,Ariane Saumure,1,1,32,4,10,6,9,3,4,0,1,1,0,2,2,0,4,27
2023-24,WBB,Ottawa,W20231005BISOTT,Natsuki Szczokin,1,1,33,1,6,6,16,4,5,0,2,2,1,3,0,0,5,19
2023-24,WBB,Ottawa,W20231005BISOTT,team-ottawa,1,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0
2023-24,WBB,Ottawa,W20231006LAVOTT,Victoria Brideau,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
2023-24,WBB,Ottawa,W20231006LAVOTT,Melina De Iulio,1,1,29,1,1,3,4,4,6,6,4,10,1,1,0,0,1,13
2023-24,WBB,Ottawa,W20231006LAVOTT,Nadine Katumbayi,1,1,22,1,7,0,1,0,0,0,1,1,0,0,3,0,0,3
2023-24,WBB,Ottawa,W20231006LAVOTT,Briar MacDonald,1,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Ottawa,W20231006LAVOTT,Allie McCarthy,1,0,21,0,1,0,2,0,0,1,3,4,2,2,0,0,5,0
2023-24,WBB,Ottawa,W20231006LAVOTT,Emily Payne,1,1,31,1,2,6,13,2,4,2,5,7,4,0,5,3,0,17
2023-24,WBB,Ottawa,W20231006LAVOTT,Alissa Provo,1,0,12,0,0,0,2,2,2,0,0,0,2,0,0,0,1,2
2023-24,WBB,Ottawa,W20231006LAVOTT,Bailey Russell,1,0,23,0,1,0,2,0,1,3,2,5,1,1,4,0,0,0
2023-24,WBB,Ottawa,W20231006LAVOTT,Ariane Saumure,1,1,30,0,5,1,5,2,2,1,4,5,2,3,3,0,0,4
2023-24,WBB,Ottawa,W20231006LAVOTT,Natsuki Szczokin,1,1,24,0,5,5,10,2,2,0,2,2,0,1,4,0,1,12
2023-24,WBB,Ottawa,W20231006LAVOTT,team-ottawa,1,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0
2023-24,WBB,Ottawa,W20231013CONOTT,Victoria Brideau,1,0,18,1,1,3,5,2,2,0,4,4,0,0,2,0,0,11
2023-24,WBB,Ottawa,W20231013CONOTT,Melina De Iulio,1,1,32,0,2,3,5,0,0,2,3,5,3,1,2,0,0,6
2023-24,WBB,Ottawa,W20231013CONOTT,Nadine Katumbayi,1,1,33,0,4,0,2,2,4,1,1,2,1,1,3,1,2,2
2023-24,WBB,Ottawa,W20231013CONOTT,Wendy Mboukep,1,0,6,0,0,0,1,0,0,0,2,2,1,1,2,0,0,0
2023-24,WBB,Ottawa,W20231013CONOTT,Allie McCarthy,1,1,18,0,2,2,3,0,0,0,1,1,0,1,1,0,1,4
2023-24,WBB,Ottawa,W20231013CONOTT,Emily Payne,1,1,35,1,3,2,6,0,2,1,5,6,3,0,5,1,0,7
2023-24,WBB,Ottawa,W20231013CONOTT,Alissa Provo,1,0,13,0,0,0,1,0,0,0,0,0,4,3,2,0,0,0
2023-24,WBB,Ottawa,W20231013CONOTT,Bailey Russell,1,0,29,3,9,0,0,0,0,2,3,5,1,1,2,2,1,9
2023-24,WBB,Ottawa,W20231013CONOTT,Ariane Saumure,1,1,41,1,4,6,8,6,8,0,4,4,1,4,6,0,3,21
2023-24,WBB,Ottawa,W20231021OTTSMU,Victoria Brideau,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Ottawa,W20231021OTTSMU,Melina De Iulio,1,1,24,0,5,2,5,0,0,1,3,4,2,0,1,0,0,4
2023-24,WBB,Ottawa,W20231021OTTSMU,Nadine Katumbayi,1,1,22,1,1,2,5,6,8,1,2,3,0,1,2,0,1,13
2023-24,WBB,Ottawa,W20231021OTTSMU,Briar MacDonald,1,0,14,0,0,0,3,0,0,1,3,4,1,0,1,0,1,0
2023-24,WBB,Ottawa,W20231021OTTSMU,Wendy Mboukep,1,0,9,0,0,1,3,0,0,1,1,2,2,0,1,0,1,2
2023-24,WBB,Ottawa,W20231021OTTSMU,Allie McCarthy,1,1,27,0,4,0,4,5,6,1,3,4,3,2,0,0,2,5
2023-24,WBB,Ottawa,W20231021OTTSMU,Emily Payne,1,1,27,0,1,6,13,4,6,5,5,10,3,0,3,2,1,16
2023-24,WBB,Ottawa,W20231021OTTSMU,Alissa Provo,1,0,16,0,2,1,3,0,0,2,1,3,4,1,5,0,0,2
2023-24,WBB,Ottawa,W20231021OTTSMU,Bailey Russell,1,0,21,3,6,0,0,0,2,1,2,3,0,0,2,0,1,9
2023-24,WBB,Ottawa,W20231021OTTSMU,Ariane Saumure,1,1,37,1,4,0,8,1,2,0,7,7,3,4,3,0,2,4
2023-24,WBB,Ottawa,W20231021OTTSMU,team-ottawa,1,0,0,0,0,0,0,0,0,4,2,6,0,0,1,0,0,0
2023-24,WBB,Ottawa,W20231103GUEOTT,Victoria Brideau,1,0,14,0,3,1,2,0,0,0,7,7,0,0,0,0,1,2
2023-24,WBB,Ottawa,W20231103GUEOTT,Melina De Iulio,1,1,22,0,3,1,2,1,2,1,2,3,1,0,1,1,0,3
2023-24,WBB,Ottawa,W20231103GUEOTT,Nadine Katumbayi,1,0,22,2,5,0,3,0,0,1,1,2,4,1,5,0,1,6
2023-24,WBB,Ottawa,W20231103GUEOTT,Briar MacDonald,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Ottawa,W20231103GUEOTT,Wendy Mboukep,1,0,3,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
2023-24,WBB,Ottawa,W20231103GUEOTT,Allie McCarthy,1,1,32,0,4,1,3,4,4,1,4,5,3,0,1,0,1,6
2023-24,WBB,Ottawa,W20231103GUEOTT,Emily Payne,1,1,25,1,1,4,10,0,0,1,4,5,3,0,1,1,2,11
2023-24,WBB,Ottawa,W20231103GUEOTT,Alissa Provo,1,0,4,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
2023-24,WBB,Ottawa,W20231103GUEOTT,Bailey Russell,1,0,22,1,4,0,2,2,2,1,1,2,0,0,3,1,2,5
2023-24,WBB,Ottawa,W20231103GUEOTT,Ariane Saumure,1,1,34,2,7,1,9,3,4,1,5,6,1,4,5,0,4,11
2023-24,WBB,Ottawa,W20231103GUEOTT,Natsuki Szczokin,1,1,19,0,2,1,6,3,7,2,2,4,2,4,4,0,6,5
2023-24,WBB,Ottawa,W20231103GUEOTT,team-ottawa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Ottawa,W20231110WINOTT,Victoria Brideau,1,0,14,0,2,2,5,0,0,0,4,4,2,0,2,1,0,4
2023-24,WBB,Ottawa,W20231110WINOTT,Melina De Iulio,1,1,17,0,1,2,3,0,1,0,2,2,2,0,1,1,1,4
2023-24,WBB,Ottawa,W20231110WINOTT,Nadine Katumbayi,1,0,12,0,1,0,1,0,0,0,2,2,1,2,0,0,1,0
