Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Queen's,W20231005LAVQUE,Aluel Achiek,1,0,5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2023-24,WBB,Queen's,W20231005LAVQUE,Haley Barbieri,1,0,15,2,3,0,0,1,2,0,1,1,0,2,2,0,1,7
2023-24,WBB,Queen's,W20231005LAVQUE,Isabella Belvedere,1,1,19,3,6,1,1,0,0,0,0,0,2,2,0,0,1,11
2023-24,WBB,Queen's,W20231005LAVQUE,Maddy Boyd,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2
2023-24,WBB,Queen's,W20231005LAVQUE,Julia Chadwick,1,1,22,0,1,5,11,0,0,1,5,6,2,4,1,0,0,10
2023-24,WBB,Queen's,W20231005LAVQUE,Laura Donovan,1,1,29,2,3,3,6,7,8,1,2,3,0,3,2,1,1,19
2023-24,WBB,Queen's,W20231005LAVQUE,Isabella Gaudet,1,0,19,2,3,0,3,0,0,0,3,3,0,3,2,0,2,6
2023-24,WBB,Queen's,W20231005LAVQUE,Amy Hagman,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-24,WBB,Queen's,W20231005LAVQUE,Mikayla McFarlane,1,0,12,0,0,1,6,0,0,1,3,4,2,0,4,0,1,2
2023-24,WBB,Queen's,W20231005LAVQUE,Bridget Mulholland,1,1,23,0,0,2,5,2,2,1,4,5,2,0,1,0,1,6
2023-24,WBB,Queen's,W20231005LAVQUE,Katrina Renon,1,0,15,1,1,1,2,0,0,2,2,4,0,2,0,0,0,5
2023-24,WBB,Queen's,W20231005LAVQUE,Allison Smith,1,0,7,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0
2023-24,WBB,Queen's,W20231005LAVQUE,Kiera Spencer,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Queen's,W20231005LAVQUE,team-queens,1,0,0,0,0,0,0,0,0,2,2,4,0,0,1,0,0,0
2023-24,WBB,Queen's,W20231005LAVQUE,Emma Weltz,1,1,24,0,3,3,3,3,3,0,0,0,3,4,0,0,1,9
2023-24,WBB,Queen's,W20231006BISQUE,Aluel Achiek,1,0,5,0,0,1,2,0,0,0,1,1,0,0,0,0,0,2
2023-24,WBB,Queen's,W20231006BISQUE,Haley Barbieri,1,0,19,2,2,0,0,2,2,0,2,2,2,4,2,0,0,8
2023-24,WBB,Queen's,W20231006BISQUE,Isabella Belvedere,1,1,9,1,3,0,0,0,0,0,0,0,0,0,2,1,0,3
2023-24,WBB,Queen's,W20231006BISQUE,Maddy Boyd,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023-24,WBB,Queen's,W20231006BISQUE,Julia Chadwick,1,1,25,0,1,5,6,1,2,2,5,7,2,3,3,1,2,11
2023-24,WBB,Queen's,W20231006BISQUE,Laura Donovan,1,1,23,1,5,4,7,0,0,0,3,3,2,0,2,3,0,11
2023-24,WBB,Queen's,W20231006BISQUE,Isabella Gaudet,1,0,17,1,1,0,2,0,0,0,3,3,0,2,0,0,1,3
2023-24,WBB,Queen's,W20231006BISQUE,Amy Hagman,1,0,11,1,3,0,0,0,0,0,0,0,2,1,0,0,2,3
2023-24,WBB,Queen's,W20231006BISQUE,Mikayla McFarlane,1,0,9,1,2,2,6,2,2,2,5,7,0,0,1,0,1,9
2023-24,WBB,Queen's,W20231006BISQUE,Bridget Mulholland,1,1,27,2,2,3,5,0,0,1,4,5,0,2,0,0,4,12
2023-24,WBB,Queen's,W20231006BISQUE,Katrina Renon,1,0,12,0,0,2,3,0,0,0,3,3,2,0,1,0,0,4
2023-24,WBB,Queen's,W20231006BISQUE,Allison Smith,1,0,17,0,1,0,1,0,0,0,0,0,1,1,3,0,0,0
2023-24,WBB,Queen's,W20231006BISQUE,Kiera Spencer,1,0,13,1,5,0,0,0,0,0,0,0,3,1,0,0,0,3
2023-24,WBB,Queen's,W20231006BISQUE,team-queens,1,0,0,0,0,0,0,0,0,2,7,9,0,0,4,0,0,0
2023-24,WBB,Queen's,W20231006BISQUE,Emma Weltz,1,1,9,0,0,0,3,2,2,0,1,1,0,1,0,0,0,2
2023-24,WBB,Queen's,W20231013UQMQUE,Haley Barbieri,1,1,21,0,4,2,3,1,5,1,3,4,2,1,3,0,0,5
2023-24,WBB,Queen's,W20231013UQMQUE,Maddy Boyd,1,0,2,0,0,0,0,0,0,0,1,1,2,1,2,0,0,0
2023-24,WBB,Queen's,W20231013UQMQUE,Julia Chadwick,1,1,24,1,4,3,7,4,6,2,7,9,3,3,2,1,0,13
2023-24,WBB,Queen's,W20231013UQMQUE,Laura Donovan,1,1,30,2,4,3,7,2,2,3,0,3,1,0,4,0,0,14
2023-24,WBB,Queen's,W20231013UQMQUE,Isabella Gaudet,1,1,31,3,5,0,3,2,3,1,3,4,4,1,2,0,5,11
2023-24,WBB,Queen's,W20231013UQMQUE,Amy Hagman,1,0,16,0,4,1,1,0,0,0,1,1,0,0,0,0,0,2
2023-24,WBB,Queen's,W20231013UQMQUE,Mikayla McFarlane,1,0,18,1,2,2,7,2,4,3,2,5,4,0,1,0,0,9
2023-24,WBB,Queen's,W20231013UQMQUE,Bridget Mulholland,1,1,27,0,1,3,5,1,2,4,5,9,1,0,3,0,1,7
2023-24,WBB,Queen's,W20231013UQMQUE,Katrina Renon,1,0,7,1,2,0,1,0,0,2,1,3,0,1,1,0,0,3
2023-24,WBB,Queen's,W20231013UQMQUE,Allison Smith,1,0,19,2,3,0,1,1,2,1,1,2,1,2,1,1,1,7
2023-24,WBB,Queen's,W20231013UQMQUE,Kiera Spencer,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2023-24,WBB,Queen's,W20231014MCGQUE,Aluel Achiek,1,0,9,0,0,0,1,0,0,0,2,2,1,1,1,0,0,0
2023-24,WBB,Queen's,W20231014MCGQUE,Haley Barbieri,1,1,30,3,5,1,4,4,4,0,2,2,3,5,3,0,4,15
2023-24,WBB,Queen's,W20231014MCGQUE,Maddy Boyd,1,0,7,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0
2023-24,WBB,Queen's,W20231014MCGQUE,Julia Chadwick,1,1,25,0,0,9,10,0,0,2,5,7,1,2,0,1,0,18
2023-24,WBB,Queen's,W20231014MCGQUE,Laura Donovan,1,1,20,4,6,3,3,0,0,0,2,2,2,3,2,0,2,18
2023-24,WBB,Queen's,W20231014MCGQUE,Isabella Gaudet,1,1,22,0,4,0,1,1,2,1,2,3,1,2,0,0,2,1
2023-24,WBB,Queen's,W20231014MCGQUE,Amy Hagman,1,0,12,0,0,1,1,0,0,0,4,4,3,2,0,0,0,2
2023-24,WBB,Queen's,W20231014MCGQUE,Mikayla McFarlane,1,1,18,0,0,4,6,0,0,0,4,4,3,3,5,1,3,8
2023-24,WBB,Queen's,W20231014MCGQUE,Katrina Renon,1,0,22,1,2,1,4,2,2,1,1,2,2,0,2,1,0,7
2023-24,WBB,Queen's,W20231014MCGQUE,Allison Smith,1,0,23,1,1,1,2,1,2,0,2,2,2,2,1,0,1,6
2023-24,WBB,Queen's,W20231014MCGQUE,Kiera Spencer,1,0,12,1,3,0,2,0,0,0,0,0,0,2,1,0,1,3
2023-24,WBB,Queen's,W20231014MCGQUE,team-queens,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023-24,WBB,Queen's,W20231020QUEWIN,Haley Barbieri,1,0,18,0,3,1,2,1,2,0,0,0,1,4,3,0,2,3
2023-24,WBB,Queen's,W20231020QUEWIN,Isabella Belvedere,1,1,27,2,5,2,3,1,2,0,1,1,3,2,4,0,0,11
2023-24,WBB,Queen's,W20231020QUEWIN,Maddy Boyd,1,0,6,0,0,1,2,0,0,0,2,2,0,2,0,0,0,2
2023-24,WBB,Queen's,W20231020QUEWIN,Julia Chadwick,1,1,25,0,3,11,15,1,1,3,6,9,2,4,3,4,1,23
2023-24,WBB,Queen's,W20231020QUEWIN,Laura Donovan,1,1,21,1,4,1,3,0,0,0,3,3,3,1,1,1,1,5
2023-24,WBB,Queen's,W20231020QUEWIN,Isabella Gaudet,1,1,28,1,4,1,2,0,0,2,5,7,1,3,0,0,2,5
2023-24,WBB,Queen's,W20231020QUEWIN,Amy Hagman,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Queen's,W20231020QUEWIN,Mikayla McFarlane,1,0,18,0,0,2,4,2,4,3,3,6,2,0,0,2,1,6
2023-24,WBB,Queen's,W20231020QUEWIN,Katrina Renon,1,0,19,0,1,5,5,7,7,1,0,1,1,0,2,0,2,17
2023-24,WBB,Queen's,W20231020QUEWIN,Allison Smith,1,0,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2023-24,WBB,Queen's,W20231020QUEWIN,Kiera Spencer,1,0,6,1,1,0,0,0,0,0,0,0,4,0,0,0,0,3
2023-24,WBB,Queen's,W20231020QUEWIN,Emma Weltz,1,1,24,0,1,1,4,2,2,0,2,2,0,5,3,0,3,4
2023-24,WBB,Queen's,W20231021QUECBU,Haley Barbieri,1,0,12,0,3,0,1,0,0,1,0,1,4,1,1,0,0,0
2023-24,WBB,Queen's,W20231021QUECBU,Isabella Belvedere,1,1,22,0,4,2,6,1,2,1,3,4,1,0,3,0,0,5
2023-24,WBB,Queen's,W20231021QUECBU,Maddy Boyd,1,0,13,0,0,2,3,0,0,1,2,3,0,0,0,0,0,4
2023-24,WBB,Queen's,W20231021QUECBU,Julia Chadwick,1,1,27,1,3,5,12,4,5,1,14,15,2,2,4,1,4,17
2023-24,WBB,Queen's,W20231021QUECBU,Laura Donovan,1,1,33,0,2,3,6,3,3,1,2,3,0,4,4,0,2,9
2023-24,WBB,Queen's,W20231021QUECBU,Isabella Gaudet,1,0,15,0,2,1,1,0,0,0,3,3,1,1,3,0,0,2
2023-24,WBB,Queen's,W20231021QUECBU,Amy Hagman,1,0,3,1,2,1,1,1,2,1,0,1,1,0,0,0,0,6
2023-24,WBB,Queen's,W20231021QUECBU,Mikayla McFarlane,1,1,15,0,0,0,3,0,0,0,1,1,1,1,1,0,1,0
2023-24,WBB,Queen's,W20231021QUECBU,Katrina Renon,1,0,22,0,1,3,7,4,4,2,6,8,2,1,3,0,0,10
2023-24,WBB,Queen's,W20231021QUECBU,Allison Smith,1,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3
2023-24,WBB,Queen's,W20231021QUECBU,Kiera Spencer,1,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
2023-24,WBB,Queen's,W20231021QUECBU,Emma Weltz,1,1,28,2,5,2,4,1,2,0,2,2,2,2,2,1,3,11
2023-24,WBB,Queen's,W20231022QUEUQM,Aluel Achiek,1,0,0,0,0,2,3,1,2,1,0,1,1,0,2,0,0,5
2023-24,WBB,Queen's,W20231022QUEUQM,Haley Barbieri,1,0,7,0,4,2,4,1,2,0,3,3,1,2,2,0,2,5
2023-24,WBB,Queen's,W20231022QUEUQM,Isabella Belvedere,1,1,28,0,5,1,1,0,0,0,0,0,1,1,1,0,0,2
2023-24,WBB,Queen's,W20231022QUEUQM,Maddy Boyd,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
2023-24,WBB,Queen's,W20231022QUEUQM,Julia Chadwick,1,1,28,0,4,2,7,2,4,2,2,4,2,1,3,0,1,6
2023-24,WBB,Queen's,W20231022QUEUQM,Laura Donovan,1,1,40,0,2,2,2,2,2,3,3,6,1,2,1,1,0,6
2023-24,WBB,Queen's,W20231022QUEUQM,Isabella Gaudet,1,0,12,0,0,0,1,0,0,1,5,6,0,2,1,0,1,0
2023-24,WBB,Queen's,W20231022QUEUQM,Amy Hagman,1,0,0,0,3,0,2,0,0,0,1,1,0,0,0,0,1,0
2023-24,WBB,Queen's,W20231022QUEUQM,Mikayla McFarlane,1,1,35,0,0,3,3,1,2,1,3,4,1,0,0,0,1,7
2023-24,WBB,Queen's,W20231022QUEUQM,Katrina Renon,1,0,12,1,2,1,6,0,0,2,2,4,4,0,0,1,1,5
2023-24,WBB,Queen's,W20231022QUEUQM,Allison Smith,1,0,0,0,4,0,0,0,0,0,2,2,1,3,2,0,0,0
2023-24,WBB,Queen's,W20231022QUEUQM,Kiera Spencer,1,0,0,3,4,0,0,0,0,0,2,2,1,0,1,0,0,9
2023-24,WBB,Queen's,W20231022QUEUQM,Emma Weltz,1,1,28,1,3,2,3,0,0,0,0,0,0,1,1,0,2,7
2023-24,WBB,Queen's,W20231103QUELAU,Haley Barbieri,1,0,20,3,7,2,5,1,2,0,0,0,1,3,1,0,3,14
