Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Regina,W20230928REGLET,Jade Belmore,1,1,31,0,4,7,16,6,6,3,4,7,0,5,3,1,5,20
2023-24,WBB,Regina,W20230928REGLET,Kyu Fust,1,0,22,0,3,1,3,0,0,1,2,3,2,2,0,0,1,2
2023-24,WBB,Regina,W20230928REGLET,Taylor Gottselig,1,0,5,1,2,1,3,3,3,2,0,2,0,0,0,0,0,8
2023-24,WBB,Regina,W20230928REGLET,Brenna Metz,1,0,11,0,0,1,3,0,0,1,3,4,3,0,1,1,0,2
2023-24,WBB,Regina,W20230928REGLET,Dayna Pearce,1,1,26,0,4,2,7,0,2,1,9,10,1,2,0,0,3,4
2023-24,WBB,Regina,W20230928REGLET,Ryenn Schutz,1,0,19,0,0,2,4,2,3,2,3,5,2,0,1,0,2,6
2023-24,WBB,Regina,W20230928REGLET,Madisen Seida,1,1,23,3,4,2,2,1,2,1,3,4,2,0,4,0,2,14
2023-24,WBB,Regina,W20230928REGLET,team-regina,1,0,0,0,0,0,0,0,0,5,1,6,0,0,2,0,0,0
2023-24,WBB,Regina,W20230928REGLET,Rachel Vanderhooft,1,1,23,0,0,1,2,0,0,1,3,4,0,1,1,0,0,2
2023-24,WBB,Regina,W20230928REGLET,Alexyn Ward,1,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0
2023-24,WBB,Regina,W20230928REGLET,Eden Wells,1,0,18,0,1,1,2,4,8,0,0,0,2,4,2,0,1,6
2023-24,WBB,Regina,W20230928REGLET,Kianna Wiens,1,1,19,1,4,1,3,2,2,1,1,2,0,1,1,0,2,7
2023-24,WBB,Regina,W20230929REGLET,Jade Belmore,1,1,27,1,2,7,9,2,3,2,7,9,0,8,5,2,3,19
2023-24,WBB,Regina,W20230929REGLET,Kyu Fust,1,1,23,0,2,0,3,0,2,1,2,3,0,1,1,0,1,0
2023-24,WBB,Regina,W20230929REGLET,Taylor Gottselig,1,0,10,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
2023-24,WBB,Regina,W20230929REGLET,Brenna Metz,1,0,16,1,3,1,3,0,0,3,4,7,1,4,1,0,0,5
2023-24,WBB,Regina,W20230929REGLET,Dayna Pearce,1,1,22,3,10,2,2,0,0,2,6,8,2,1,1,0,5,13
2023-24,WBB,Regina,W20230929REGLET,Ryenn Schutz,1,0,16,0,0,3,4,1,2,0,5,5,2,1,1,0,1,7
2023-24,WBB,Regina,W20230929REGLET,Madisen Seida,1,0,18,3,4,2,2,0,0,1,2,3,1,2,2,0,0,13
2023-24,WBB,Regina,W20230929REGLET,team-regina,1,0,0,0,0,0,0,0,0,6,2,8,0,0,1,0,0,0
2023-24,WBB,Regina,W20230929REGLET,Rachel Vanderhooft,1,1,24,0,0,1,3,0,0,2,2,4,1,3,0,1,1,2
2023-24,WBB,Regina,W20230929REGLET,Alexyn Ward,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Regina,W20230929REGLET,Eden Wells,1,0,18,1,3,2,5,0,0,0,2,2,0,2,5,0,1,7
2023-24,WBB,Regina,W20230929REGLET,Kianna Wiens,1,1,22,1,3,5,10,1,2,2,1,3,2,0,3,0,0,14
2023-24,WBB,Regina,W20231014CGYREG,Jade Belmore,1,1,30,3,5,6,11,3,3,1,7,8,1,3,2,0,0,24
2023-24,WBB,Regina,W20231014CGYREG,Kyu Fust,1,0,17,2,4,2,3,0,0,0,2,2,2,1,2,0,1,10
2023-24,WBB,Regina,W20231014CGYREG,Taylor Gottselig,1,0,7,0,0,1,5,1,2,1,0,1,0,0,1,0,1,3
2023-24,WBB,Regina,W20231014CGYREG,Brenna Metz,1,0,13,0,0,0,1,0,0,1,1,2,0,1,2,0,1,0
2023-24,WBB,Regina,W20231014CGYREG,Dayna Pearce,1,1,30,2,8,1,4,2,2,0,6,6,2,2,3,0,3,10
2023-24,WBB,Regina,W20231014CGYREG,Ryenn Schutz,1,0,16,0,0,1,1,0,0,1,2,3,1,0,2,0,1,2
2023-24,WBB,Regina,W20231014CGYREG,Madisen Seida,1,1,24,1,4,1,6,0,0,2,0,2,2,1,2,0,0,5
2023-24,WBB,Regina,W20231014CGYREG,team-regina,1,0,0,0,0,0,0,0,0,5,1,6,0,0,7,0,0,0
2023-24,WBB,Regina,W20231014CGYREG,Rachel Vanderhooft,1,1,24,0,0,0,1,0,0,2,0,2,1,0,0,0,0,0
2023-24,WBB,Regina,W20231014CGYREG,Alexyn Ward,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2023-24,WBB,Regina,W20231014CGYREG,Eden Wells,1,0,16,0,2,2,3,0,0,1,3,4,2,1,5,0,0,4
2023-24,WBB,Regina,W20231014CGYREG,Kianna Wiens,1,1,18,0,1,0,3,1,1,1,1,2,0,4,1,0,0,1
2023-24,WBB,Regina,W20231015REGGUE,Jade Belmore,1,1,32,1,7,5,11,3,3,3,6,9,4,1,3,3,1,16
2023-24,WBB,Regina,W20231015REGGUE,Kyu Fust,1,1,20,0,1,1,2,0,0,2,6,8,0,1,1,0,0,2
2023-24,WBB,Regina,W20231015REGGUE,Taylor Gottselig,1,0,9,1,3,0,2,0,0,1,0,1,0,0,1,0,0,3
2023-24,WBB,Regina,W20231015REGGUE,Brenna Metz,1,0,14,1,3,0,2,0,0,0,1,1,0,0,1,0,0,3
2023-24,WBB,Regina,W20231015REGGUE,Dayna Pearce,1,1,27,2,7,1,5,0,0,0,6,6,4,4,1,1,2,8
2023-24,WBB,Regina,W20231015REGGUE,Ryenn Schutz,1,0,24,0,0,3,6,1,3,3,5,8,3,0,2,0,0,7
2023-24,WBB,Regina,W20231015REGGUE,Madisen Seida,1,0,26,2,4,1,3,3,4,0,3,3,5,2,2,0,1,11
