Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,StFX,W20231027SFXUNB,Reegan Bell,1,0,10,0,0,3,5,2,2,1,3,4,1,0,0,0,0,8
2023-24,WBB,StFX,W20231027SFXUNB,Ella Brazier,1,0,4,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
2023-24,WBB,StFX,W20231027SFXUNB,Kristine Cooper,1,1,24,0,4,2,2,0,0,0,4,4,2,3,2,1,3,4
2023-24,WBB,StFX,W20231027SFXUNB,Jaya D'Souza,1,0,8,0,1,0,2,0,0,0,3,3,1,0,1,0,0,0
2023-24,WBB,StFX,W20231027SFXUNB,Ekaterina Karchevskaya,1,1,27,0,4,3,11,4,4,2,2,4,3,1,1,0,1,10
2023-24,WBB,StFX,W20231027SFXUNB,Elizabeth Kennedy,1,0,17,0,0,1,2,1,2,2,1,3,0,0,1,2,1,3
2023-24,WBB,StFX,W20231027SFXUNB,Alisha McNeil,1,0,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2
2023-24,WBB,StFX,W20231027SFXUNB,Lauren Neeve,1,1,23,1,2,1,5,0,0,1,1,2,3,0,2,0,1,5
2023-24,WBB,StFX,W20231027SFXUNB,Shannon Neita,1,1,23,0,0,5,9,1,1,2,2,4,5,1,1,1,2,11
2023-24,WBB,StFX,W20231027SFXUNB,Mali Straker,1,0,12,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0
2023-24,WBB,StFX,W20231027SFXUNB,Laia Torrent Blanco,1,0,11,1,1,0,2,0,0,0,1,1,0,1,2,0,2,3
2023-24,WBB,StFX,W20231027SFXUNB,Katelyn Upham,1,1,29,0,1,2,8,3,4,0,3,3,0,5,1,0,3,7
2023-24,WBB,StFX,W20231028SFXUNB,Reegan Bell,1,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,StFX,W20231028SFXUNB,Kristine Cooper,1,1,34,1,6,3,9,3,4,3,3,6,4,1,5,1,4,12
2023-24,WBB,StFX,W20231028SFXUNB,Ekaterina Karchevskaya,1,1,34,0,2,5,10,6,7,1,1,2,3,1,2,0,1,16
2023-24,WBB,StFX,W20231028SFXUNB,Elizabeth Kennedy,1,0,7,0,0,0,1,2,2,1,0,1,2,0,0,0,0,2
2023-24,WBB,StFX,W20231028SFXUNB,Alisha McNeil,1,0,6,0,1,0,1,0,0,0,4,4,0,0,1,0,0,0
