Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Toronto Metropolitan,W20230929TMUMCG,Haley Fedick,1,1,28,0,0,3,7,1,3,2,7,9,2,3,0,0,1,7
2023-24,WBB,Toronto Metropolitan,W20230929TMUMCG,Jayme Foreman,1,1,29,4,8,2,3,0,2,0,1,1,3,0,0,0,2,16
2023-24,WBB,Toronto Metropolitan,W20230929TMUMCG,Hailey Franco-DeRyck,1,0,4,0,0,0,2,2,4,1,1,2,0,0,0,0,0,2
2023-24,WBB,Toronto Metropolitan,W20230929TMUMCG,Catrina Garvey,1,1,39,3,11,1,4,2,2,0,4,4,0,0,3,0,0,13
2023-24,WBB,Toronto Metropolitan,W20230929TMUMCG,Kaillie Hall,1,1,33,0,0,2,10,6,9,2,2,4,3,4,3,0,3,10
2023-24,WBB,Toronto Metropolitan,W20230929TMUMCG,Zoe Idahosa,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Toronto Metropolitan,W20230929TMUMCG,Jessica Keripe,1,0,6,0,0,0,0,0,0,0,3,3,2,0,1,0,0,0
2023-24,WBB,Toronto Metropolitan,W20230929TMUMCG,Lauryn Meek,1,0,9,0,0,1,3,1,2,2,1,3,1,1,2,0,0,3
2023-24,WBB,Toronto Metropolitan,W20230929TMUMCG,Corrynn Parker,1,1,40,0,2,4,8,2,2,1,3,4,3,2,0,0,3,10
2023-24,WBB,Toronto Metropolitan,W20230929TMUMCG,Alex Pino,1,0,6,0,0,0,1,2,2,1,0,1,0,0,0,0,1,2
2023-24,WBB,Toronto Metropolitan,W20230929TMUMCG,team-tmunow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Toronto Metropolitan,W20230929TMUMCG,Hannah Watson,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,2
2023-24,WBB,Toronto Metropolitan,W20230930LAUTMU,Jamilah Christian,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Toronto Metropolitan,W20230930LAUTMU,Haley Fedick,1,1,27,0,3,3,3,0,0,1,7,8,1,3,0,0,0,6
2023-24,WBB,Toronto Metropolitan,W20230930LAUTMU,Jayme Foreman,1,1,26,1,6,1,1,0,0,0,4,4,2,3,2,1,1,5
2023-24,WBB,Toronto Metropolitan,W20230930LAUTMU,Hailey Franco-DeRyck,1,0,12,0,0,1,2,0,0,1,4,5,1,0,1,0,2,2
2023-24,WBB,Toronto Metropolitan,W20230930LAUTMU,Catrina Garvey,1,1,30,8,13,5,9,0,0,1,0,1,1,2,2,0,2,34
2023-24,WBB,Toronto Metropolitan,W20230930LAUTMU,Kaillie Hall,1,1,26,0,1,4,8,1,2,2,1,3,4,4,1,0,1,9
2023-24,WBB,Toronto Metropolitan,W20230930LAUTMU,Zoe Idahosa,1,0,2,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0
2023-24,WBB,Toronto Metropolitan,W20230930LAUTMU,Jessica Keripe,1,0,26,0,0,2,4,0,2,1,3,4,2,1,1,0,0,4
