Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Thompson Rivers,W20231019TRUEWN,Kelsey Cruz,1,1,25,1,3,2,8,5,8,1,3,4,0,1,2,0,3,12
2023-24,WBB,Thompson Rivers,W20231019TRUEWN,Kate De La Mare,1,1,23,0,0,3,3,1,2,4,6,10,1,1,0,2,0,7
2023-24,WBB,Thompson Rivers,W20231019TRUEWN,Nya Derkach,1,0,7,0,0,3,4,1,2,3,2,5,0,0,0,1,0,7
2023-24,WBB,Thompson Rivers,W20231019TRUEWN,Grace Hansen,1,1,27,0,4,1,2,2,2,1,4,5,3,4,4,0,1,4
2023-24,WBB,Thompson Rivers,W20231019TRUEWN,Danijela Kovacevic,1,1,26,3,6,4,8,1,2,1,6,7,4,2,4,0,1,18
2023-24,WBB,Thompson Rivers,W20231019TRUEWN,Jayse Matonovich,1,0,9,0,1,1,2,0,0,0,1,1,2,0,1,0,0,2
2023-24,WBB,Thompson Rivers,W20231019TRUEWN,Grace McDonald,1,0,10,0,0,2,3,0,0,0,4,4,4,0,0,0,1,4
2023-24,WBB,Thompson Rivers,W20231019TRUEWN,Layla McKell,1,0,7,0,1,1,1,1,2,1,0,1,2,0,0,0,1,3
2023-24,WBB,Thompson Rivers,W20231019TRUEWN,Olivia Randall,1,1,23,0,5,1,7,0,0,2,2,4,0,1,0,0,0,2
2023-24,WBB,Thompson Rivers,W20231019TRUEWN,Tia Rowell,1,0,10,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Thompson Rivers,W20231019TRUEWN,Priyanca Sundher,1,0,15,3,5,0,1,1,2,0,3,3,0,0,0,0,2,10
2023-24,WBB,Thompson Rivers,W20231019TRUEWN,team-thompson rivers,1,0,0,0,0,0,0,0,0,5,3,8,0,0,3,0,0,0
2023-24,WBB,Thompson Rivers,W20231019TRUEWN,Sydney Vollrath,1,0,18,0,4,0,4,1,2,0,4,4,1,2,3,0,1,1
2023-24,WBB,Thompson Rivers,W20231020TRUMAN,Kelsey Cruz,1,1,21,1,4,2,5,6,8,0,1,1,3,2,3,0,3,13
2023-24,WBB,Thompson Rivers,W20231020TRUMAN,Kate De La Mare,1,1,19,0,0,2,2,0,0,6,3,9,3,1,0,1,0,4
2023-24,WBB,Thompson Rivers,W20231020TRUMAN,Nya Derkach,1,0,10,0,0,1,1,1,2,2,1,3,2,0,1,0,0,3
2023-24,WBB,Thompson Rivers,W20231020TRUMAN,Grace Hansen,1,1,28,1,3,2,7,5,6,2,4,6,3,2,3,0,0,12
2023-24,WBB,Thompson Rivers,W20231020TRUMAN,Danijela Kovacevic,1,1,32,0,1,4,9,5,5,0,5,5,4,3,5,0,2,13
2023-24,WBB,Thompson Rivers,W20231020TRUMAN,Jayse Matonovich,1,0,6,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0
2023-24,WBB,Thompson Rivers,W20231020TRUMAN,Grace McDonald,1,0,10,0,0,1,3,0,0,1,1,2,1,0,1,0,1,2
2023-24,WBB,Thompson Rivers,W20231020TRUMAN,Layla McKell,1,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2023-24,WBB,Thompson Rivers,W20231020TRUMAN,Olivia Randall,1,1,24,1,7,1,6,0,0,0,4,4,2,1,1,0,3,5
2023-24,WBB,Thompson Rivers,W20231020TRUMAN,Tia Rowell,1,0,9,1,2,0,0,0,0,0,1,1,0,0,2,0,0,3
2023-24,WBB,Thompson Rivers,W20231020TRUMAN,Priyanca Sundher,1,0,14,0,2,0,3,0,0,0,2,2,0,1,2,0,0,0
2023-24,WBB,Thompson Rivers,W20231020TRUMAN,team-thompson rivers,1,0,0,0,0,0,0,0,0,2,3,5,0,0,2,0,0,0
2023-24,WBB,Thompson Rivers,W20231020TRUMAN,Sydney Vollrath,1,0,21,3,6,2,3,1,4,0,4,4,0,0,3,0,0,14
2023-24,WBB,Thompson Rivers,W20231021TRUNBC,Kate De La Mare,1,1,10,0,0,0,2,2,4,1,1,2,1,0,0,0,0,2
2023-24,WBB,Thompson Rivers,W20231021TRUNBC,Nya Derkach,1,0,21,0,0,1,5,3,6,3,3,6,1,2,2,0,0,5
