Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,UBC Okanagan,W20231013OKNALB,Temi Aina,1,0,9,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,UBC Okanagan,W20231013OKNALB,Reegan Bond,1,0,7,0,0,1,2,0,1,0,0,0,1,0,1,0,0,2
2023-24,WBB,UBC Okanagan,W20231013OKNALB,Melaina Corrado,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,UBC Okanagan,W20231013OKNALB,Kelsey Falk,1,1,26,0,3,4,14,0,0,3,1,4,5,1,0,0,5,8
2023-24,WBB,UBC Okanagan,W20231013OKNALB,Lauren Foullong,1,1,22,3,6,0,3,0,0,0,1,1,3,1,2,0,1,9
2023-24,WBB,UBC Okanagan,W20231013OKNALB,Stefanie Hart,1,0,10,0,0,0,1,0,0,1,2,3,0,0,1,0,1,0
2023-24,WBB,UBC Okanagan,W20231013OKNALB,Jaeli Ibbetson,1,1,34,2,7,3,15,6,11,6,7,13,0,3,4,0,3,18
2023-24,WBB,UBC Okanagan,W20231013OKNALB,Sofia Lluch,1,1,29,0,4,1,3,0,0,1,2,3,4,1,6,0,0,2
2023-24,WBB,UBC Okanagan,W20231013OKNALB,Tennyson McCarthy,1,0,21,0,0,2,5,0,0,3,5,8,2,0,1,3,1,4
2023-24,WBB,UBC Okanagan,W20231013OKNALB,Nicole Pajic,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,UBC Okanagan,W20231013OKNALB,Abby Smith,1,1,18,0,0,1,2,1,2,1,0,1,3,1,0,0,1,3
2023-24,WBB,UBC Okanagan,W20231013OKNALB,team-ubc okanagan,1,0,0,0,0,0,0,0,0,6,7,13,0,0,1,0,0,0
2023-24,WBB,UBC Okanagan,W20231013OKNALB,Aiko Williams,1,0,20,1,2,0,4,1,2,1,1,2,1,1,3,0,1,4
2023-24,WBB,UBC Okanagan,W20231014OKNCAR,Temi Aina,1,0,7,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
2023-24,WBB,UBC Okanagan,W20231014OKNCAR,Kelsey Falk,1,1,34,2,3,5,13,2,7,3,2,5,3,0,1,1,1,18
2023-24,WBB,UBC Okanagan,W20231014OKNCAR,Lauren Foullong,1,0,16,1,8,1,3,0,0,1,1,2,0,1,1,0,0,5
2023-24,WBB,UBC Okanagan,W20231014OKNCAR,Rachel Hare Hettinga,1,1,32,2,3,0,3,0,0,0,2,2,0,5,1,0,0,6
2023-24,WBB,UBC Okanagan,W20231014OKNCAR,Stefanie Hart,1,0,8,0,1,1,1,0,0,0,2,2,0,1,0,0,0,2
2023-24,WBB,UBC Okanagan,W20231014OKNCAR,Jaeli Ibbetson,1,1,33,5,8,0,5,4,4,1,5,6,2,4,5,0,0,19
2023-24,WBB,UBC Okanagan,W20231014OKNCAR,Sofia Lluch,1,1,21,2,4,4,7,1,1,1,0,1,4,4,3,0,1,15
2023-24,WBB,UBC Okanagan,W20231014OKNCAR,Tennyson McCarthy,1,0,13,0,0,0,3,0,0,2,3,5,1,0,0,1,0,0
2023-24,WBB,UBC Okanagan,W20231014OKNCAR,Abby Smith,1,1,23,0,0,0,1,2,2,0,4,4,2,3,2,0,0,2
2023-24,WBB,UBC Okanagan,W20231014OKNCAR,team-ubc okanagan,1,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0
2023-24,WBB,UBC Okanagan,W20231014OKNCAR,Aiko Williams,1,0,13,3,3,1,2,1,2,0,0,0,3,0,1,0,0,12
2023-24,WBB,UBC Okanagan,W20231015VICOKN,Temi Aina,1,0,6,0,0,1,1,0,0,0,2,2,2,0,0,0,0,2
2023-24,WBB,UBC Okanagan,W20231015VICOKN,Reegan Bond,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,UBC Okanagan,W20231015VICOKN,Melaina Corrado,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2
2023-24,WBB,UBC Okanagan,W20231015VICOKN,Kelsey Falk,1,1,30,0,1,4,9,0,4,3,3,6,3,1,1,0,2,8
2023-24,WBB,UBC Okanagan,W20231015VICOKN,Lauren Foullong,1,0,16,1,4,2,3,0,0,0,0,0,0,0,1,0,1,7
2023-24,WBB,UBC Okanagan,W20231015VICOKN,Rachel Hare Hettinga,1,1,25,0,0,2,6,2,4,0,2,2,1,3,2,1,0,6
2023-24,WBB,UBC Okanagan,W20231015VICOKN,Stefanie Hart,1,0,14,0,0,0,0,4,4,0,2,2,0,0,0,0,1,4
2023-24,WBB,UBC Okanagan,W20231015VICOKN,Jaeli Ibbetson,1,1,33,1,2,6,9,7,15,1,11,12,3,5,7,3,2,22
2023-24,WBB,UBC Okanagan,W20231015VICOKN,Sofia Lluch,1,1,27,1,4,3,8,2,2,2,3,5,2,6,8,0,1,11
2023-24,WBB,UBC Okanagan,W20231015VICOKN,Tennyson McCarthy,1,0,18,0,0,3,6,1,2,3,3,6,3,0,1,1,0,7
2023-24,WBB,UBC Okanagan,W20231015VICOKN,Abby Smith,1,1,14,0,1,0,1,1,2,0,1,1,4,2,1,0,0,1
2023-24,WBB,UBC Okanagan,W20231015VICOKN,team-ubc okanagan,1,0,0,0,0,0,0,0,0,3,2,5,0,0,2,0,0,0
2023-24,WBB,UBC Okanagan,W20231015VICOKN,Aiko Williams,1,0,13,2,2,1,3,0,0,1,1,2,2,1,1,0,0,8
2023-24,WBB,UBC Okanagan,W20231020OKNDAL,Temi Aina,1,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,UBC Okanagan,W20231020OKNDAL,Reegan Bond,1,0,3,0,0,1,1,0,0,0,3,3,0,0,0,0,0,2
2023-24,WBB,UBC Okanagan,W20231020OKNDAL,Kelsey Falk,1,1,27,0,0,5,8,2,5,2,4,6,4,1,6,0,0,12
2023-24,WBB,UBC Okanagan,W20231020OKNDAL,Lauren Foullong,1,0,19,4,6,1,5,0,0,2,1,3,2,1,2,1,1,14
2023-24,WBB,UBC Okanagan,W20231020OKNDAL,Rachel Hare Hettinga,1,1,30,2,4,1,1,0,0,0,7,7,1,1,1,0,1,8
2023-24,WBB,UBC Okanagan,W20231020OKNDAL,Stefanie Hart,1,0,7,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,UBC Okanagan,W20231020OKNDAL,Jaeli Ibbetson,1,1,34,1,3,6,11,7,8,4,7,11,3,1,3,0,1,22
2023-24,WBB,UBC Okanagan,W20231020OKNDAL,Sofia Lluch,1,1,29,1,3,1,10,2,2,1,4,5,3,2,1,0,0,7
2023-24,WBB,UBC Okanagan,W20231020OKNDAL,Tennyson McCarthy,1,0,15,0,0,1,3,0,0,2,4,6,3,1,0,1,0,2
2023-24,WBB,UBC Okanagan,W20231020OKNDAL,Nicole Pajic,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,UBC Okanagan,W20231020OKNDAL,Abby Smith,1,1,24,0,0,2,4,0,0,2,2,4,3,0,3,0,0,4
2023-24,WBB,UBC Okanagan,W20231020OKNDAL,Aiko Williams,1,0,7,0,1,0,0,2,2,0,1,1,2,1,1,0,0,2
2023-24,WBB,UBC Okanagan,W20231021MRUOKN,Temi Aina,1,0,8,0,0,1,2,0,0,0,0,0,2,0,1,0,0,2
2023-24,WBB,UBC Okanagan,W20231021MRUOKN,Reegan Bond,1,0,10,0,0,1,2,1,2,1,1,2,0,0,1,0,2,3
2023-24,WBB,UBC Okanagan,W20231021MRUOKN,Kelsey Falk,1,1,31,1,2,5,14,2,2,4,5,9,3,2,3,0,2,15
2023-24,WBB,UBC Okanagan,W20231021MRUOKN,Lauren Foullong,1,1,21,3,8,0,5,3,3,1,3,4,0,2,3,0,1,12
2023-24,WBB,UBC Okanagan,W20231021MRUOKN,Rachel Hare Hettinga,1,1,29,2,6,2,6,2,2,3,3,6,0,2,4,0,1,12
2023-24,WBB,UBC Okanagan,W20231021MRUOKN,Stefanie Hart,1,0,23,0,1,1,3,2,2,4,4,8,0,1,2,0,1,4
2023-24,WBB,UBC Okanagan,W20231021MRUOKN,Jaeli Ibbetson,1,1,37,1,4,1,3,0,2,2,7,9,0,4,2,1,1,5
2023-24,WBB,UBC Okanagan,W20231021MRUOKN,Tennyson McCarthy,1,1,20,1,2,1,5,4,4,3,1,4,0,1,2,2,0,9
2023-24,WBB,UBC Okanagan,W20231021MRUOKN,Nicole Pajic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,UBC Okanagan,W20231021MRUOKN,team-ubc okanagan,1,0,0,0,0,0,0,0,0,2,1,3,0,0,1,0,0,0
2023-24,WBB,UBC Okanagan,W20231021MRUOKN,Aiko Williams,1,0,21,4,6,0,2,0,0,0,0,0,1,0,2,0,2,12
2023-24,WBB,UBC Okanagan,W20231103OKNWPG,Temi Aina,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2023-24,WBB,UBC Okanagan,W20231103OKNWPG,Reegan Bond,1,0,12,1,2,1,2,0,0,0,1,1,0,0,1,0,1,5
2023-24,WBB,UBC Okanagan,W20231103OKNWPG,Kelsey Falk,1,1,16,1,1,4,4,3,6,5,6,11,4,1,1,0,1,14
2023-24,WBB,UBC Okanagan,W20231103OKNWPG,Lauren Foullong,1,0,19,3,8,2,3,0,0,0,1,1,0,6,1,0,2,13
2023-24,WBB,UBC Okanagan,W20231103OKNWPG,Rachel Hare Hettinga,1,1,21,0,1,2,5,0,0,0,2,2,1,1,1,0,2,4
2023-24,WBB,UBC Okanagan,W20231103OKNWPG,Stefanie Hart,1,0,16,0,0,1,2,1,2,0,2,2,3,3,0,0,1,3
2023-24,WBB,UBC Okanagan,W20231103OKNWPG,Jaeli Ibbetson,1,1,28,0,2,5,8,6,7,4,8,12,1,2,2,0,2,16
2023-24,WBB,UBC Okanagan,W20231103OKNWPG,Sofia Lluch,1,1,28,4,8,0,4,4,4,0,4,4,3,4,6,1,2,16
2023-24,WBB,UBC Okanagan,W20231103OKNWPG,Tennyson McCarthy,1,0,17,0,0,0,6,0,0,2,5,7,3,2,3,4,2,0
2023-24,WBB,UBC Okanagan,W20231103OKNWPG,Nicole Pajic,1,0,5,0,1,0,0,0,0,0,2,2,2,0,0,0,0,0
2023-24,WBB,UBC Okanagan,W20231103OKNWPG,Abby Smith,1,1,19,1,2,2,8,2,3,1,1,2,3,2,1,1,0,9
2023-24,WBB,UBC Okanagan,W20231103OKNWPG,team-ubc okanagan,1,0,0,0,0,0,0,0,0,2,8,10,0,0,1,0,0,0
2023-24,WBB,UBC Okanagan,W20231103OKNWPG,Aiko Williams,1,0,15,1,2,3,4,0,0,1,0,1,1,1,1,0,2,9
2023-24,WBB,UBC Okanagan,W20231104OKNWPG,Temi Aina,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,UBC Okanagan,W20231104OKNWPG,Reegan Bond,1,0,1,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0
2023-24,WBB,UBC Okanagan,W20231104OKNWPG,Kelsey Falk,1,1,30,1,3,4,11,7,12,9,5,14,3,3,1,0,1,18
