Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,UBC,W20231006MUNUBC,Emilia Banmann,1,0,16,0,0,2,4,0,2,1,1,2,0,0,0,0,0,4
2023-24,WBB,UBC,W20231006MUNUBC,Sofia Bergman,1,0,15,0,0,1,5,1,2,2,0,2,1,1,1,0,0,3
2023-24,WBB,UBC,W20231006MUNUBC,Mona Berlitz,1,1,18,0,0,4,5,7,11,1,2,3,2,1,0,0,0,15
2023-24,WBB,UBC,W20231006MUNUBC,Hailey Counsell,1,1,23,1,6,3,6,1,1,1,1,2,1,1,1,0,0,10
2023-24,WBB,UBC,W20231006MUNUBC,Taelor Coxford,1,0,15,0,0,1,2,0,0,1,1,2,2,0,1,0,0,2
2023-24,WBB,UBC,W20231006MUNUBC,Katie Hartman,1,0,14,0,1,2,2,0,0,1,0,1,1,0,0,0,1,4
2023-24,WBB,UBC,W20231006MUNUBC,Kiarra Kelly,1,0,5,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
2023-24,WBB,UBC,W20231006MUNUBC,Stella LaGrange,1,0,15,1,1,2,2,0,0,2,1,3,1,0,1,0,0,7
2023-24,WBB,UBC,W20231006MUNUBC,Emily Martindale,1,1,26,2,2,1,2,1,2,1,5,6,1,0,2,0,0,9
2023-24,WBB,UBC,W20231006MUNUBC,Cerys Merton,1,0,16,1,3,0,1,0,0,0,2,2,1,3,1,1,1,3
2023-24,WBB,UBC,W20231006MUNUBC,Sara Toneguzzi,1,1,22,0,2,1,6,0,0,1,1,2,2,1,0,0,0,2
2023-24,WBB,UBC,W20231006MUNUBC,Olivia Weekes,1,1,16,1,2,5,9,0,0,2,4,6,4,0,2,0,0,13
2023-24,WBB,UBC,W20231007WLUUBC,Emilia Banmann,1,0,3,0,1,4,5,0,0,0,1,1,0,0,1,0,0,8
2023-24,WBB,UBC,W20231007WLUUBC,Sofia Bergman,1,1,37,0,0,2,6,4,4,1,6,7,1,1,0,0,0,8
2023-24,WBB,UBC,W20231007WLUUBC,Madeline Billings,1,0,4,1,2,0,0,1,1,0,0,0,0,1,1,0,0,4
2023-24,WBB,UBC,W20231007WLUUBC,Hailey Counsell,1,1,31,2,4,0,0,2,2,0,0,0,1,0,0,0,0,8
2023-24,WBB,UBC,W20231007WLUUBC,Taelor Coxford,1,0,2,0,0,0,0,0,0,0,4,4,2,0,0,1,3,0
2023-24,WBB,UBC,W20231007WLUUBC,Katie Hartman,1,0,3,0,0,1,1,0,1,0,0,0,0,1,0,0,1,2
2023-24,WBB,UBC,W20231007WLUUBC,Jade Huynh,1,0,6,2,7,1,3,0,0,1,0,1,5,1,1,0,0,8
2023-24,WBB,UBC,W20231007WLUUBC,Stella LaGrange,1,0,10,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,UBC,W20231007WLUUBC,Emily Martindale,1,1,31,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
2023-24,WBB,UBC,W20231007WLUUBC,Cerys Merton,1,0,5,4,8,0,4,1,2,1,3,4,1,1,0,0,1,13
2023-24,WBB,UBC,W20231007WLUUBC,team-ubc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
