Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,UFV,W20231006UFVTMU,Esther Allison,1,0,18,0,0,3,4,0,0,2,4,6,3,1,2,0,2,6
2023-24,WBB,UFV,W20231006UFVTMU,Charley Arnold,1,0,11,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0
2023-24,WBB,UFV,W20231006UFVTMU,Nikki Cabuco,1,1,22,1,5,4,4,2,3,0,4,4,4,2,1,0,4,13
2023-24,WBB,UFV,W20231006UFVTMU,Marijke Duralia,1,0,13,0,0,1,2,0,0,1,3,4,0,3,1,0,0,2
2023-24,WBB,UFV,W20231006UFVTMU,Maddy Gobeil,1,1,28,2,6,5,7,3,3,2,3,5,0,4,2,0,1,19
2023-24,WBB,UFV,W20231006UFVTMU,Bernadet Leda,1,1,20,1,5,1,1,1,1,0,0,0,4,2,3,0,0,6
2023-24,WBB,UFV,W20231006UFVTMU,Natalie Rathler,1,0,21,0,0,4,5,3,6,1,3,4,2,3,4,0,1,11
2023-24,WBB,UFV,W20231006UFVTMU,Gurveer (Google) Sidhu,1,0,11,0,1,0,0,1,2,0,1,1,5,0,0,2,1,1
2023-24,WBB,UFV,W20231006UFVTMU,Kyla Smith,1,0,4,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
2023-24,WBB,UFV,W20231006UFVTMU,Fania Taylor,1,0,16,0,1,3,6,1,2,2,2,4,3,1,1,0,0,7
2023-24,WBB,UFV,W20231006UFVTMU,team-ufv,1,0,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0
2023-24,WBB,UFV,W20231006UFVTMU,Deanna Tuchscherer,1,1,23,1,2,6,12,2,4,0,4,4,0,4,5,0,1,17
2023-24,WBB,UFV,W20231006UFVTMU,Julia Tuchscherer,1,1,11,0,0,2,4,0,0,2,1,3,5,3,1,1,1,4
2023-24,WBB,UFV,W20231007UFVACA,Esther Allison,1,1,13,0,1,0,1,0,0,1,1,2,0,1,0,0,1,0
2023-24,WBB,UFV,W20231007UFVACA,Charley Arnold,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,UFV,W20231007UFVACA,Nikki Cabuco,1,1,25,1,6,1,1,0,0,0,3,3,4,2,3,0,1,5
2023-24,WBB,UFV,W20231007UFVACA,Maddy Gobeil,1,1,35,3,8,4,10,5,5,2,4,6,1,3,2,1,1,22
2023-24,WBB,UFV,W20231007UFVACA,Bernadet Leda,1,0,18,2,5,0,0,2,2,0,1,1,2,1,3,0,0,8
2023-24,WBB,UFV,W20231007UFVACA,Ana-Maria Misic,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,UFV,W20231007UFVACA,Natalie Rathler,1,1,21,0,0,5,8,6,6,5,0,5,4,2,2,0,3,16
2023-24,WBB,UFV,W20231007UFVACA,Gurveer (Google) Sidhu,1,0,17,1,1,1,2,2,4,0,3,3,4,0,1,0,1,7
2023-24,WBB,UFV,W20231007UFVACA,Fania Taylor,1,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
2023-24,WBB,UFV,W20231007UFVACA,team-ufv,1,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,0
2023-24,WBB,UFV,W20231007UFVACA,Deanna Tuchscherer,1,1,31,0,6,4,9,0,0,3,2,5,2,3,3,2,0,8
2023-24,WBB,UFV,W20231007UFVACA,Julia Tuchscherer,1,0,28,0,0,3,7,1,4,2,4,6,2,2,2,3,1,7
2023-24,WBB,UFV,W20231007UFVACA,Alisha Weloy,1,0,5,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0
2023-24,WBB,UFV,W20231014UFVGUE,Esther Allison,1,0,21,1,2,3,4,1,2,0,6,6,4,2,2,0,2,10
2023-24,WBB,UFV,W20231014UFVGUE,Charley Arnold,1,0,14,2,3,0,0,0,0,0,1,1,0,2,1,0,0,6
2023-24,WBB,UFV,W20231014UFVGUE,Nikki Cabuco,1,0,35,1,7,2,2,1,2,0,1,1,3,2,4,0,2,8
2023-24,WBB,UFV,W20231014UFVGUE,Marijke Duralia,1,0,9,0,0,2,4,0,0,0,1,1,0,0,2,0,0,4
2023-24,WBB,UFV,W20231014UFVGUE,Maddy Gobeil,1,1,14,1,2,0,3,2,2,1,3,4,1,3,3,0,2,5
2023-24,WBB,UFV,W20231014UFVGUE,Bernadet Leda,1,1,30,1,5,5,9,2,2,2,2,4,2,2,3,0,3,15
2023-24,WBB,UFV,W20231014UFVGUE,Ana-Maria Misic,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,UFV,W20231014UFVGUE,Natalie Rathler,1,0,25,0,0,4,7,4,4,1,4,5,4,4,4,0,2,12
2023-24,WBB,UFV,W20231014UFVGUE,Gurveer (Google) Sidhu,1,1,27,0,2,1,3,1,2,0,1,1,3,3,1,0,3,3
2023-24,WBB,UFV,W20231014UFVGUE,team-ufv,1,0,0,0,0,0,0,0,0,3,7,10,0,0,0,0,0,0
2023-24,WBB,UFV,W20231014UFVGUE,Deanna Tuchscherer,1,1,22,4,4,3,5,1,2,0,1,1,4,2,8,0,0,19
2023-24,WBB,UFV,W20231014UFVGUE,Julia Tuchscherer,1,1,21,0,0,2,6,1,2,3,1,4,0,0,1,1,0,5
2023-24,WBB,UFV,W20231014UFVGUE,Alisha Weloy,1,0,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2023-24,WBB,UFV,W20231015CGYUFV,Esther Allison,1,0,14,0,1,1,3,0,0,3,1,4,3,0,0,0,0,2
2023-24,WBB,UFV,W20231015CGYUFV,Charley Arnold,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,UFV,W20231015CGYUFV,Nikki Cabuco,1,1,22,0,2,0,2,0,0,0,1,1,3,0,2,0,1,0
2023-24,WBB,UFV,W20231015CGYUFV,Marijke Duralia,1,0,10,0,0,1,1,0,0,1,1,2,2,2,0,0,1,2
2023-24,WBB,UFV,W20231015CGYUFV,Maddy Gobeil,1,1,33,1,6,4,11,10,11,2,4,6,4,0,4,1,1,21
2023-24,WBB,UFV,W20231015CGYUFV,Bernadet Leda,1,1,34,4,8,2,4,2,2,0,1,1,1,1,4,0,3,18
2023-24,WBB,UFV,W20231015CGYUFV,Natalie Rathler,1,0,21,0,0,1,4,1,2,3,5,8,3,2,2,1,0,3
2023-24,WBB,UFV,W20231015CGYUFV,Gurveer (Google) Sidhu,1,0,7,0,0,0,0,2,2,0,0,0,0,0,1,0,0,2
2023-24,WBB,UFV,W20231015CGYUFV,Kyla Smith,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023-24,WBB,UFV,W20231015CGYUFV,Fania Taylor,1,0,12,0,2,0,0,0,2,0,3,3,1,0,1,0,1,0
2023-24,WBB,UFV,W20231015CGYUFV,team-ufv,1,0,0,0,0,0,0,0,0,5,2,7,0,0,4,0,0,0
2023-24,WBB,UFV,W20231015CGYUFV,Deanna Tuchscherer,1,1,20,0,3,2,7,0,0,3,2,5,1,2,1,0,0,4
2023-24,WBB,UFV,W20231015CGYUFV,Julia Tuchscherer,1,1,21,0,0,1,7,2,4,3,1,4,3,1,1,0,2,4
2023-24,WBB,UFV,W20231027UBCUFV,Esther Allison,1,0,11,0,1,0,3,0,0,1,0,1,1,0,1,0,0,0
2023-24,WBB,UFV,W20231027UBCUFV,Charley Arnold,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
