Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,UNB,W20230929UNBNIP,Ann Bastien,1,0,9,0,0,1,2,0,0,0,3,3,2,0,2,0,2,2
2023-24,WBB,UNB,W20230929UNBNIP,Reese Baxendale,1,1,23,0,3,2,3,0,0,1,7,8,0,5,2,1,1,4
2023-24,WBB,UNB,W20230929UNBNIP,McKinley Bezanson,1,0,11,1,2,1,1,0,0,0,0,0,0,1,0,0,1,5
2023-24,WBB,UNB,W20230929UNBNIP,Katie Butts,1,1,13,0,0,1,5,2,2,2,1,3,0,4,2,0,1,4
2023-24,WBB,UNB,W20230929UNBNIP,Lillian Fuller,1,0,7,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0
2023-24,WBB,UNB,W20230929UNBNIP,Jolianne Guay,1,1,22,0,3,0,3,0,0,0,3,3,2,1,3,0,3,0
2023-24,WBB,UNB,W20230929UNBNIP,Erin Ingalls,1,1,20,1,1,3,6,0,1,3,1,4,4,3,1,0,0,9
2023-24,WBB,UNB,W20230929UNBNIP,Addie Mombourquette,1,0,19,1,3,2,4,0,0,1,1,2,1,1,3,0,1,7
2023-24,WBB,UNB,W20230929UNBNIP,Maheva Ngassam,1,0,15,0,0,0,2,2,4,2,0,2,2,1,3,0,3,2
2023-24,WBB,UNB,W20230929UNBNIP,Jennifer Nkuah,1,0,15,0,0,3,4,0,0,2,3,5,2,0,1,1,0,6
2023-24,WBB,UNB,W20230929UNBNIP,Kylee Speedy,1,0,18,5,11,1,1,2,2,0,0,0,0,4,2,0,0,19
2023-24,WBB,UNB,W20230929UNBNIP,Jayda Veinot,1,1,28,4,7,5,9,4,5,1,3,4,3,4,1,1,5,26
2023-24,WBB,UNB,W20230930UNBLAV,Ann Bastien,1,0,8,0,0,1,1,0,0,0,1,1,0,1,0,0,0,2
2023-24,WBB,UNB,W20230930UNBLAV,Reese Baxendale,1,1,27,1,3,1,6,4,4,2,6,8,2,5,2,1,1,9
2023-24,WBB,UNB,W20230930UNBLAV,McKinley Bezanson,1,0,8,0,0,1,1,0,0,0,3,3,0,3,1,0,0,2
2023-24,WBB,UNB,W20230930UNBLAV,Katie Butts,1,1,24,0,0,8,9,3,4,1,4,5,1,2,1,4,1,19
