Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,UQAM,W20230930CARUQM,Jenny Alexis,1,0,13,0,1,0,0,0,0,0,1,1,5,0,2,1,1,0
2023-24,WBB,UQAM,W20230930CARUQM,Annabelle Fortin,1,1,30,0,4,3,6,0,0,0,1,1,3,0,0,0,1,6
2023-24,WBB,UQAM,W20230930CARUQM,Florence Gignac-Gendron,1,0,11,1,3,1,2,0,0,1,1,2,1,0,1,0,0,5
2023-24,WBB,UQAM,W20230930CARUQM,Manuella Gramage,1,1,23,1,6,1,4,0,2,0,2,2,2,0,6,0,1,5
2023-24,WBB,UQAM,W20230930CARUQM,Elisa Haberzettel,1,0,20,3,6,0,0,0,0,0,1,1,3,1,2,0,0,9
2023-24,WBB,UQAM,W20230930CARUQM,Paule-Beline Ibata-Pondza,1,1,34,1,2,0,3,0,0,1,8,9,4,1,1,0,2,3
2023-24,WBB,UQAM,W20230930CARUQM,Sabrah Muratirende,1,0,16,0,0,0,1,0,0,0,1,1,3,0,2,0,0,0
2023-24,WBB,UQAM,W20230930CARUQM,Rosalie Savard,1,0,15,0,3,1,1,2,2,0,1,1,0,2,4,0,1,4
2023-24,WBB,UQAM,W20230930CARUQM,Fredlaine Verrier,1,1,27,0,3,4,7,5,6,1,7,8,3,2,3,1,1,13
2023-24,WBB,UQAM,W20230930CARUQM,Fredlyne Verrier,1,1,11,0,0,2,5,3,4,2,0,2,4,2,0,0,0,7
2023-24,WBB,UQAM,W20231001BRKUQM,Jenny Alexis,1,0,11,0,0,1,1,0,0,2,1,3,3,0,0,0,0,2
2023-24,WBB,UQAM,W20231001BRKUQM,Annabelle Fortin,1,1,39,0,4,2,4,0,0,0,0,0,2,8,3,0,1,4
2023-24,WBB,UQAM,W20231001BRKUQM,Manuella Gramage,1,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2023-24,WBB,UQAM,W20231001BRKUQM,Elisa Haberzettel,1,1,28,1,5,0,0,0,2,0,1,1,1,0,1,0,1,3
2023-24,WBB,UQAM,W20231001BRKUQM,Paule-Beline Ibata-Pondza,1,1,36,1,3,1,4,2,2,4,9,13,5,2,5,0,0,7
2023-24,WBB,UQAM,W20231001BRKUQM,Sabrah Muratirende,1,0,2,0,0,0,1,3,4,1,1,2,0,0,0,0,0,3
2023-24,WBB,UQAM,W20231001BRKUQM,Rosalie Savard,1,0,9,0,1,1,2,0,0,0,1,1,1,1,1,0,0,2
2023-24,WBB,UQAM,W20231001BRKUQM,team-uqam,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0
2023-24,WBB,UQAM,W20231001BRKUQM,Fredlaine Verrier,1,1,40,0,1,2,10,4,4,1,6,7,4,5,5,1,4,8
