Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Victoria,W20231013VICCAR,Makena Anderson,1,0,23,1,1,1,10,5,8,2,3,5,2,1,1,0,3,10
2023-24,WBB,Victoria,W20231013VICCAR,Abigail Becker,1,1,27,0,0,2,9,6,6,4,2,6,3,0,2,5,0,10
2023-24,WBB,Victoria,W20231013VICCAR,Meike Boerstra,1,0,4,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2
2023-24,WBB,Victoria,W20231013VICCAR,Karis De Paiva,1,1,26,1,1,1,4,5,5,4,3,7,1,1,4,0,0,10
2023-24,WBB,Victoria,W20231013VICCAR,Brooke Kendal,1,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2023-24,WBB,Victoria,W20231013VICCAR,Tegan MacKinnon,1,1,15,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3
2023-24,WBB,Victoria,W20231013VICCAR,Tegan Michel,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Victoria,W20231013VICCAR,Tana Pankratz,1,1,27,1,6,2,10,1,2,3,5,8,1,2,2,0,2,8
2023-24,WBB,Victoria,W20231013VICCAR,Sierra Reisig,1,1,29,1,3,1,2,1,4,1,2,3,3,2,7,0,1,6
2023-24,WBB,Victoria,W20231013VICCAR,Mimi Sigue,1,0,14,0,0,2,4,4,5,2,2,4,4,0,1,1,2,8
2023-24,WBB,Victoria,W20231013VICCAR,team-victoria,1,0,0,0,0,0,0,0,0,0,5,5,0,0,1,0,0,0
2023-24,WBB,Victoria,W20231013VICCAR,Joaleah Tupas-Singh,1,0,12,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0
2023-24,WBB,Victoria,W20231013VICCAR,Marja Wahl,1,0,10,0,2,1,3,0,0,0,1,1,2,0,2,1,0,2
2023-24,WBB,Victoria,W20231013VICCAR,Brooklyn White,1,0,5,0,1,1,2,0,2,2,3,5,1,0,0,0,0,2
2023-24,WBB,Victoria,W20231014VICALB,Makena Anderson,1,1,24,2,4,5,7,2,2,1,8,9,2,0,7,0,2,18
2023-24,WBB,Victoria,W20231014VICALB,Abigail Becker,1,1,20,0,0,5,11,1,2,0,3,3,0,1,1,1,0,11
2023-24,WBB,Victoria,W20231014VICALB,Meike Boerstra,1,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2023-24,WBB,Victoria,W20231014VICALB,Karis De Paiva,1,1,24,0,1,2,5,2,4,2,5,7,0,1,4,0,1,6
2023-24,WBB,Victoria,W20231014VICALB,Brooke Kendal,1,0,12,0,2,1,1,0,0,1,1,2,2,1,2,0,0,2
2023-24,WBB,Victoria,W20231014VICALB,Tegan MacKinnon,1,0,15,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Victoria,W20231014VICALB,Tegan Michel,1,0,4,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0
2023-24,WBB,Victoria,W20231014VICALB,Tana Pankratz,1,1,23,0,3,0,4,4,4,0,2,2,1,2,2,1,0,4
2023-24,WBB,Victoria,W20231014VICALB,Sierra Reisig,1,1,18,0,1,1,2,0,0,0,1,1,3,3,2,0,0,2
2023-24,WBB,Victoria,W20231014VICALB,Mimi Sigue,1,0,15,0,0,1,4,2,2,2,4,6,2,1,1,0,2,4
2023-24,WBB,Victoria,W20231014VICALB,team-victoria,1,0,0,0,0,0,0,0,0,2,6,8,0,0,5,0,0,0
2023-24,WBB,Victoria,W20231014VICALB,Joaleah Tupas-Singh,1,0,20,0,0,0,2,0,0,1,1,2,3,0,4,0,1,0
2023-24,WBB,Victoria,W20231014VICALB,Marja Wahl,1,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2023-24,WBB,Victoria,W20231014VICALB,Brooklyn White,1,0,16,0,0,1,3,1,2,4,2,6,3,1,4,0,3,3
2023-24,WBB,Victoria,W20231015VICOKN,Makena Anderson,1,1,30,3,7,4,16,1,3,1,6,7,4,5,3,1,3,18
2023-24,WBB,Victoria,W20231015VICOKN,Abigail Becker,1,1,30,0,1,9,13,6,7,7,4,11,4,2,4,2,1,24
2023-24,WBB,Victoria,W20231015VICOKN,Karis De Paiva,1,1,14,0,0,1,3,2,2,1,1,2,5,0,1,0,1,4
2023-24,WBB,Victoria,W20231015VICOKN,Brooke Kendal,1,0,11,0,0,0,3,0,0,0,2,2,2,2,3,0,0,0
2023-24,WBB,Victoria,W20231015VICOKN,Tegan MacKinnon,1,0,31,3,6,0,1,0,0,1,0,1,2,2,1,0,0,9
2023-24,WBB,Victoria,W20231015VICOKN,Tana Pankratz,1,1,22,1,5,2,8,2,2,1,4,5,1,2,1,1,1,9
2023-24,WBB,Victoria,W20231015VICOKN,Sierra Reisig,1,1,31,1,2,2,4,9,10,1,2,3,4,1,3,0,3,16
2023-24,WBB,Victoria,W20231015VICOKN,Mimi Sigue,1,0,12,0,0,0,3,1,2,7,3,10,2,2,2,0,1,1
2023-24,WBB,Victoria,W20231015VICOKN,team-victoria,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Victoria,W20231015VICOKN,Joaleah Tupas-Singh,1,0,7,0,0,0,1,0,0,2,0,2,1,0,0,0,2,0
2023-24,WBB,Victoria,W20231015VICOKN,Marja Wahl,1,0,2,0,1,1,2,0,0,0,1,1,1,0,1,0,0,2
2023-24,WBB,Victoria,W20231015VICOKN,Brooklyn White,1,0,10,0,0,0,1,0,0,1,3,4,1,1,1,1,0,0
2023-24,WBB,Victoria,W20231020TMUVIC,Makena Anderson,1,1,29,4,6,4,11,2,2,0,4,4,1,1,3,1,1,22
2023-24,WBB,Victoria,W20231020TMUVIC,Abigail Becker,1,1,32,0,0,6,13,2,2,2,5,7,4,2,5,3,3,14
2023-24,WBB,Victoria,W20231020TMUVIC,Karis De Paiva,1,1,27,1,1,2,2,0,3,0,3,3,2,3,3,1,0,7
2023-24,WBB,Victoria,W20231020TMUVIC,Brooke Kendal,1,0,13,0,0,1,1,0,0,0,2,2,0,3,3,0,0,2
2023-24,WBB,Victoria,W20231020TMUVIC,Tegan MacKinnon,1,1,29,1,5,0,0,0,0,0,3,3,0,0,1,0,1,3
2023-24,WBB,Victoria,W20231020TMUVIC,Sierra Reisig,1,1,27,0,1,2,5,0,2,2,3,5,4,3,5,0,1,4
2023-24,WBB,Victoria,W20231020TMUVIC,Mimi Sigue,1,0,16,0,0,3,5,4,6,1,3,4,4,1,4,0,0,10
2023-24,WBB,Victoria,W20231020TMUVIC,team-victoria,1,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0
2023-24,WBB,Victoria,W20231020TMUVIC,Joaleah Tupas-Singh,1,0,14,0,0,0,1,2,2,0,0,0,2,1,3,0,2,2
2023-24,WBB,Victoria,W20231020TMUVIC,Marja Wahl,1,0,9,0,3,0,2,1,2,1,2,3,0,3,1,1,1,1
2023-24,WBB,Victoria,W20231020TMUVIC,Brooklyn White,1,0,7,0,0,0,0,0,2,3,1,4,2,1,0,0,0,0
