Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Laurier,W20230929LAUWLU,Miranda Campbell,1,1,30,0,4,4,9,5,7,1,5,6,3,1,5,0,7,13
2023-24,WBB,Laurier,W20230929LAUWLU,Isabella Cotton,1,0,19,0,0,1,6,2,4,1,0,1,2,1,2,0,2,4
2023-24,WBB,Laurier,W20230929LAUWLU,Janet Enge,1,0,15,1,1,0,2,0,0,1,1,2,2,1,1,0,0,3
2023-24,WBB,Laurier,W20230929LAUWLU,Emmanuelle Felix,1,0,21,0,0,0,0,0,0,0,1,1,1,0,7,0,0,0
2023-24,WBB,Laurier,W20230929LAUWLU,Brittyn Graves,1,1,28,2,3,2,2,0,2,0,1,1,1,0,2,0,0,10
2023-24,WBB,Laurier,W20230929LAUWLU,Cassidy Hirtle,1,1,28,1,6,1,6,6,6,1,0,1,2,1,1,0,2,11
2023-24,WBB,Laurier,W20230929LAUWLU,Dylann Mazzuchin,1,1,25,0,1,0,1,0,0,0,6,6,1,1,0,1,0,0
2023-24,WBB,Laurier,W20230929LAUWLU,Kayleigh Rawson,1,0,15,0,1,1,2,3,5,1,2,3,1,0,1,0,1,5
2023-24,WBB,Laurier,W20230929LAUWLU,team-wluteam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Laurier,W20230929LAUWLU,Kathryn White,1,1,21,1,4,2,7,0,0,4,1,5,2,1,3,0,2,7
2023-24,WBB,Laurier,W20230930WLUMCG,Miranda Campbell,1,1,30,0,1,4,8,2,2,1,4,5,1,1,3,0,1,10
2023-24,WBB,Laurier,W20230930WLUMCG,Isabella Cotton,1,0,18,0,0,1,2,0,0,2,2,4,1,0,1,0,2,2
2023-24,WBB,Laurier,W20230930WLUMCG,Janet Enge,1,0,14,0,4,1,5,0,0,0,4,4,2,1,0,0,0,2
2023-24,WBB,Laurier,W20230930WLUMCG,Emmanuelle Felix,1,0,18,0,0,0,3,0,1,1,2,3,4,0,1,0,0,0
2023-24,WBB,Laurier,W20230930WLUMCG,Brittyn Graves,1,1,31,0,2,1,6,2,4,2,6,8,0,1,4,0,5,4
2023-24,WBB,Laurier,W20230930WLUMCG,Cassidy Hirtle,1,1,29,1,2,2,9,1,1,0,2,2,1,0,1,0,0,8
2023-24,WBB,Laurier,W20230930WLUMCG,Dylann Mazzuchin,1,1,30,0,2,1,6,2,2,2,1,3,2,1,2,0,2,4
2023-24,WBB,Laurier,W20230930WLUMCG,Kayleigh Rawson,1,0,7,0,1,2,2,1,2,0,0,0,1,0,0,0,0,5
2023-24,WBB,Laurier,W20230930WLUMCG,Kathryn White,1,1,23,0,3,1,9,3,7,2,3,5,1,0,3,0,2,5
2023-24,WBB,Laurier,W20231001TMUWLU,Miranda Campbell,1,1,27,0,2,2,9,1,2,0,7,7,4,6,3,0,3,5
2023-24,WBB,Laurier,W20231001TMUWLU,Isabella Cotton,1,0,19,0,0,3,7,0,0,3,2,5,0,0,0,0,0,6
2023-24,WBB,Laurier,W20231001TMUWLU,Janet Enge,1,0,21,1,3,1,3,2,2,2,2,4,1,1,5,0,0,7
2023-24,WBB,Laurier,W20231001TMUWLU,Emmanuelle Felix,1,0,17,1,2,0,5,1,2,0,6,6,3,2,1,0,1,4
2023-24,WBB,Laurier,W20231001TMUWLU,Brittyn Graves,1,1,28,1,6,6,9,3,6,1,3,4,2,0,0,0,1,18
2023-24,WBB,Laurier,W20231001TMUWLU,Cassidy Hirtle,1,1,24,2,7,0,3,2,2,0,2,2,3,2,1,0,0,8
2023-24,WBB,Laurier,W20231001TMUWLU,Dylann Mazzuchin,1,1,20,1,2,0,1,3,4,3,2,5,3,0,0,0,2,6
2023-24,WBB,Laurier,W20231001TMUWLU,Kayleigh Rawson,1,0,16,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
2023-24,WBB,Laurier,W20231001TMUWLU,Kathryn White,1,1,27,4,6,3,7,3,4,3,7,10,2,3,1,0,2,21
2023-24,WBB,Laurier,W20231007WLUUBC,Miranda Campbell,1,1,30,0,2,3,4,6,7,1,6,7,2,0,0,0,1,12
2023-24,WBB,Laurier,W20231007WLUUBC,Isabella Cotton,1,0,2,0,0,1,2,0,0,0,0,0,0,0,1,2,0,2
2023-24,WBB,Laurier,W20231007WLUUBC,Janet Enge,1,0,14,1,2,1,1,1,2,0,3,3,1,0,1,0,0,6
2023-24,WBB,Laurier,W20231007WLUUBC,Martina Errazo,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Laurier,W20231007WLUUBC,Emmanuelle Felix,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Laurier,W20231007WLUUBC,Brittyn Graves,1,1,29,1,2,2,2,0,1,2,1,3,3,1,2,0,1,7
2023-24,WBB,Laurier,W20231007WLUUBC,Cassidy Hirtle,1,1,38,2,7,2,4,2,2,1,3,4,3,0,0,1,0,12
2023-24,WBB,Laurier,W20231007WLUUBC,Dylann Mazzuchin,1,1,32,1,2,1,2,2,2,1,1,2,1,0,1,0,1,7
2023-24,WBB,Laurier,W20231007WLUUBC,Kayleigh Rawson,1,0,8,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2023-24,WBB,Laurier,W20231007WLUUBC,Alexa Sawchuk,1,0,6,0,0,0,0,4,4,1,0,1,0,0,0,0,0,4
2023-24,WBB,Laurier,W20231007WLUUBC,Marika Schryburt,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Laurier,W20231007WLUUBC,Kathryn White,1,1,26,1,3,0,2,0,1,0,0,0,2,0,0,0,0,3
2023-24,WBB,Laurier,W20231007WLUUBC,Madelyn White,1,0,5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2023-24,WBB,Laurier,W20231008MUNWLU,Miranda Campbell,1,1,27,1,2,1,4,1,2,1,8,9,4,0,1,0,1,6
2023-24,WBB,Laurier,W20231008MUNWLU,Isabella Cotton,1,0,9,0,1,0,2,0,0,1,3,4,1,0,0,0,0,0
2023-24,WBB,Laurier,W20231008MUNWLU,Janet Enge,1,0,20,4,7,0,1,0,0,0,4,4,3,1,2,0,0,12
2023-24,WBB,Laurier,W20231008MUNWLU,Emmanuelle Felix,1,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2023-24,WBB,Laurier,W20231008MUNWLU,Brittyn Graves,1,1,33,0,3,1,3,0,0,1,4,5,3,0,1,2,2,2
2023-24,WBB,Laurier,W20231008MUNWLU,Cassidy Hirtle,1,1,31,1,3,3,4,1,1,1,2,3,2,0,6,0,0,10
2023-24,WBB,Laurier,W20231008MUNWLU,Dylann Mazzuchin,1,1,25,1,2,1,3,0,0,0,1,1,3,0,1,0,0,5
2023-24,WBB,Laurier,W20231008MUNWLU,Kayleigh Rawson,1,0,12,0,0,2,3,0,0,0,1,1,1,0,0,0,0,4
2023-24,WBB,Laurier,W20231008MUNWLU,Alexa Sawchuk,1,0,16,0,1,2,5,0,0,1,3,4,1,2,0,0,1,4
2023-24,WBB,Laurier,W20231008MUNWLU,team-wluteam,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Laurier,W20231008MUNWLU,Kathryn White,1,1,23,2,6,2,5,0,0,0,1,1,2,0,4,0,1,10
2023-24,WBB,Laurier,W20231008MUNWLU,Madelyn White,1,0,2,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0
