Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Windsor,W20231006WINNIP,Isabella Anes,1,1,26,0,0,0,4,0,0,3,0,3,0,2,0,0,0,0
2023-24,WBB,Windsor,W20231006WINNIP,Kira Atherley,1,0,7,0,1,6,6,2,3,0,0,0,1,0,1,0,0,14
2023-24,WBB,Windsor,W20231006WINNIP,Kaelyn Batten,1,0,6,2,2,2,3,0,0,1,0,1,2,1,0,0,2,10
2023-24,WBB,Windsor,W20231006WINNIP,Vanessa Budimunda,1,0,11,0,0,1,2,0,1,0,0,0,1,1,1,0,0,2
2023-24,WBB,Windsor,W20231006WINNIP,Julia Chiarot,1,1,27,2,3,1,3,0,0,2,1,3,0,1,1,0,1,8
2023-24,WBB,Windsor,W20231006WINNIP,Reighan Dales,1,0,4,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0
2023-24,WBB,Windsor,W20231006WINNIP,Mariame Dehkissia,1,1,26,0,0,2,3,0,0,2,1,3,0,1,0,0,0,4
2023-24,WBB,Windsor,W20231006WINNIP,Maggie Denys,1,0,10,1,1,2,2,1,1,1,0,1,2,2,2,0,1,8
2023-24,WBB,Windsor,W20231006WINNIP,Kali Grootenboer,1,1,26,1,1,3,3,1,1,0,4,4,1,1,1,0,1,10
2023-24,WBB,Windsor,W20231006WINNIP,Mya Iriah,1,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2
2023-24,WBB,Windsor,W20231006WINNIP,Grace Koffi,1,0,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
2023-24,WBB,Windsor,W20231006WINNIP,Reine Ndome,1,1,28,0,0,4,4,0,0,0,0,0,1,0,0,0,2,8
2023-24,WBB,Windsor,W20231006WINNIP,Teighan Stoukas,1,0,12,1,1,0,2,0,0,0,2,2,0,0,2,0,0,3
2023-24,WBB,Windsor,W20231006WINNIP,Leah Tate,1,0,7,1,4,6,6,0,0,3,0,3,2,2,0,0,0,15
2023-24,WBB,Windsor,W20231006WINNIP,Haley Willits,1,0,8,0,1,1,2,0,0,0,1,1,0,0,0,1,0,2
