"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Saskatchewan Huskies",32,94.7,100,80.8,0.853,70.5,30.1,40.4,42.7,47.8,16.3,11.2,0.27,9.6,40,46.5,22.9,23.6,49.3,24,7.2,16.8,29.9,0.34
2,"Carleton University Ravens",33,94.5,100,78.8,0.834,70.9,30.1,40.8,42.4,46.9,16.1,10.4,0.26,8.7,39.8,51.5,23.8,27.7,46.2,19.4,6.3,13.1,32.4,0.27
3,"New Brunswick Varsity Reds",30,92.1,100,75.3,0.818,66.8,27.2,39.6,40.7,46.4,18.5,10.6,0.27,9.1,37.8,43.4,19.7,23.7,45.4,23.3,7.5,15.8,32.1,0.35
4,"Brock Badgers",29,86.9,100,69.1,0.795,65.4,26.9,38.5,41.1,45.2,17.9,8.6,0.21,7.5,37.3,46.5,21.5,25,46.2,18.9,5.4,13.5,28.5,0.29
5,"Laval University",23,86.1,100,68.3,0.793,63,23.6,39.4,37.5,43.7,17.5,10.9,0.28,9.4,36.3,39,15.8,23.2,40.5,24,7.8,16.2,32.6,0.38
6,"Calgary Dinos",25,98.2,100,77.5,0.79,72.7,29.7,43,40.8,47.1,20.3,6.7,0.17,5.7,35.4,43.8,20.5,23.3,46.8,29,9.2,19.8,31.8,0.4
7,"McMaster Marauders",30,91.6,100,71.8,0.784,70,27.1,43,38.6,44.6,16.5,8.3,0.2,6.9,35.6,42.1,18.7,23.4,44.5,28,8.4,19.6,29.9,0.4
8,"Queens (ON) University Golden Gaels",34,90.6,100,70.8,0.781,65.9,24.7,41.2,37.5,42.9,17.2,11.6,0.3,9.8,36.5,41.4,17.6,23.8,42.5,24.5,7.1,17.4,29.1,0.37
9,"Fraser Valley Cascades",28,91.1,100,71.1,0.78,62.4,25.9,36.5,41.5,45.7,21.2,12.1,0.33,9.6,37.6,42.6,20.7,21.9,48.7,19.8,5.2,14.6,26.2,0.32
10,"Saint Mary's (CAN) Huskies",32,95.7,100,74.3,0.776,71.3,26.3,44.9,37,43,17,9.7,0.25,8.2,35.4,42.4,17.7,24.8,41.7,28.8,8.7,20.2,30,0.4
11,"Acadia Axewomen",24,97.7,100,73.9,0.756,70,27.3,42.7,39,43,19.2,11,0.28,9.3,36.2,50,21.8,28.2,43.5,20,5.6,14.5,27.9,0.29
12,"Regina (Canada) Cougars",28,94.7,100,70.8,0.747,68.1,25.8,42.3,37.9,43.4,19.5,10,0.26,8.3,34.5,42.9,18.3,24.6,42.6,25.3,7.6,17.7,29.9,0.37
13,"Ottawa Gee-Gees",28,93.3,100,69.6,0.746,69,26,43,37.7,43,18.8,8.2,0.21,6.7,34.5,44.6,18.8,25.9,42,24.4,7.3,17.1,29.9,0.35
13,"Bishops Gaiters",26,88.9,100,66.3,0.746,63.6,24.8,38.8,39,43.4,20.6,9.4,0.24,7.7,35,43,19.2,23.8,44.7,20.6,5.6,15,27.2,0.32
15,"Toronto Metropolitan University",28,87.4,100,64.8,0.741,63.6,23.1,40.5,36.3,41.3,18.1,10.6,0.27,8.9,34.7,41.8,16.6,25.1,39.8,21.8,6.4,15.4,29.5,0.34
16,"British Columbia Thunderbirds",27,94.3,100,69.3,0.735,65.9,24.7,41.2,37.5,41.5,20,11.7,0.31,9.8,35.4,46.2,19.5,26.7,42.3,19.7,5.2,14.5,26.5,0.3
17,"Memorial Sea-Hawks",28,90.3,100,66.2,0.733,65.8,23.5,42.3,35.7,39.9,17.1,11.3,0.29,10,35,44.5,17.9,26.6,40.3,21.3,5.5,15.7,26.1,0.32
18,"Trinity Western Spartans",25,91,100,66.1,0.726,64.4,24.3,40,37.8,41.9,20.3,10.2,0.27,8.3,34.5,45,19.1,25.9,42.4,19.4,5.2,14.1,27.1,0.3
19,"Concordia (QUE) Stingers",20,85,100,61.4,0.723,59.1,22,37.1,37.2,42.4,21.7,10.4,0.28,9.1,33.5,37,15.8,21.3,42.6,22.1,6.2,15.9,28.1,0.37
20,"British Columbia - Okanagan",24,96.9,100,69.9,0.721,67.8,24.5,43.3,36.2,41,19.3,11.7,0.32,8.5,34.9,45,18.1,26.9,40.2,22.8,6.5,16.4,28.3,0.34
21,"Cape Breton Capers",23,94.9,100,68.2,0.719,67,24.6,42.3,36.8,39.8,19.1,12.8,0.33,11.1,34.9,52,20.6,31.4,39.6,15,4,11,27,0.22
22,"Alberta Pandas",33,93.7,100,66.3,0.707,67.3,24.4,42.9,36.2,40.9,19.8,9.7,0.26,7.8,33.1,43.9,18,25.8,41.1,23.4,6.3,17.1,27.1,0.35
23,"Wilfrid Laurier",31,91,100,63.4,0.697,66.3,22.6,43.7,34.1,39.2,19.3,9.4,0.24,7.9,32.1,40.6,15.8,24.8,38.8,25.6,6.8,18.8,26.5,0.39
23,"Guelph Gryphons",27,96.1,100,67,0.697,69.6,24.4,45.1,35.1,40.1,19.9,9.2,0.24,7.7,32.1,43.8,17.4,26.4,39.8,25.7,7,18.8,27.1,0.37
25,"St. Francis Xavier X-Women",22,89.7,100,61.9,0.69,66.4,23.6,42.8,35.5,39.7,19.3,8,0.2,6.8,32.2,44.2,18,26.1,40.8,22.2,5.5,16.7,24.9,0.33
26,"Manitoba Bisons",27,96.7,100,65.8,0.68,70,24.6,45.4,35.1,39.7,20.5,8.1,0.21,6.5,31.7,47.1,18.2,29,38.6,22.9,6.4,16.4,28,0.33
27,"Western Ontario Mustangs",30,93.3,100,63,0.675,67.6,23.1,44.5,34.1,38.5,19.3,9.5,0.25,8.1,31.9,44.2,17.1,27.1,38.7,23.4,6,17.5,25.5,0.35
28,"Victoria Vikes",30,95.9,100,63.5,0.662,63.3,22.6,40.7,35.7,40.2,24.4,11,0.31,8.6,31.8,42.2,16.9,25.3,40,21,5.7,15.3,27.1,0.33
28,"Prince Edward Island Panthers",22,92,100,61,0.662,68.4,21.3,47,31.2,36.3,17.8,9.1,0.23,8.1,30.5,42.6,14.3,28.3,33.6,25.8,7,18.8,27.2,0.38
30,"Toronto Varsity Blues",22,89.9,100,59.2,0.658,61.7,19.6,42.1,31.8,37.7,22.2,10.6,0.29,8.9,30,33.9,12.3,21.6,36.2,27.8,7.3,20.5,26.4,0.45
30,"Windsor Lancers",27,92.7,100,61,0.658,64.4,21.6,42.8,33.5,37,20.2,12,0.32,10.5,32.4,43.7,17.1,26.6,39.2,20.7,4.5,16.2,21.7,0.32
32,"Waterloo Warriors",30,93.5,100,60.7,0.649,62,20.9,41.1,33.7,37.8,23.5,11.3,0.33,8.7,31.2,43.7,15.7,28,35.9,18.3,5.2,13.1,28.4,0.3
33,"Lethbridge Pronghorns",26,94.9,100,61.1,0.644,64.3,22.6,41.7,35.1,39.7,24.4,8.8,0.25,7.6,30.6,42.9,16.6,26.3,38.7,21.4,6,15.4,27.9,0.33
