Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Calgary,W20230922WPGCGY,Amelie Collin,1,1,23,1,2,4,7,1,2,4,2,6,3,1,2,0,1,12
2023-24,WBB,Calgary,W20230922WPGCGY,Milica Gajic,1,0,13,0,1,1,2,0,0,0,1,1,0,1,0,0,0,2
2023-24,WBB,Calgary,W20230922WPGCGY,Jordan Kemper,1,0,6,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0
2023-24,WBB,Calgary,W20230922WPGCGY,Myriam Kone,1,1,29,1,1,4,12,0,0,6,5,11,1,3,4,0,1,11
2023-24,WBB,Calgary,W20230922WPGCGY,Sydney Milum,1,1,22,0,0,5,6,5,9,0,0,0,0,1,1,0,2,15
2023-24,WBB,Calgary,W20230922WPGCGY,Kourtney Oss,1,0,11,1,1,0,2,0,2,1,3,4,2,1,2,0,1,3
2023-24,WBB,Calgary,W20230922WPGCGY,Mya Proctor,1,0,18,1,2,4,6,0,1,0,1,1,1,2,4,0,2,11
2023-24,WBB,Calgary,W20230922WPGCGY,Louise Rouse,1,0,21,0,2,2,6,1,1,3,2,5,0,3,0,1,1,5
2023-24,WBB,Calgary,W20230922WPGCGY,Samantha Shields,1,0,9,0,1,0,2,2,2,0,0,0,1,0,0,0,0,2
2023-24,WBB,Calgary,W20230922WPGCGY,Lilia Skumatova,1,1,21,0,2,1,2,0,0,1,1,2,0,0,1,0,1,2
2023-24,WBB,Calgary,W20230922WPGCGY,Anastasia Soltes,1,0,8,0,0,2,4,0,0,0,1,1,2,0,0,0,1,4
2023-24,WBB,Calgary,W20230922WPGCGY,Pollyanna Storie,1,1,21,1,5,1,3,0,0,2,2,4,3,2,2,0,0,5
2023-24,WBB,Calgary,W20230922WPGCGY,team-calgary,1,0,0,0,0,0,0,0,0,1,2,3,0,0,2,0,0,0
2023-24,WBB,Calgary,W20230923WPGCGY,Amelie Collin,1,1,22,0,4,1,4,5,6,1,5,6,4,2,1,1,9,7
2023-24,WBB,Calgary,W20230923WPGCGY,Milica Gajic,1,0,20,1,1,2,3,0,0,2,2,4,0,2,2,0,0,7
2023-24,WBB,Calgary,W20230923WPGCGY,Jordan Kemper,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
2023-24,WBB,Calgary,W20230923WPGCGY,Myriam Kone,1,1,18,1,1,1,5,0,0,2,2,4,1,0,0,0,3,5
2023-24,WBB,Calgary,W20230923WPGCGY,Sydney Milum,1,1,20,0,0,4,8,0,1,2,0,2,1,0,2,0,1,8
2023-24,WBB,Calgary,W20230923WPGCGY,Kourtney Oss,1,0,14,0,0,2,4,2,4,2,3,5,1,1,1,0,4,6
2023-24,WBB,Calgary,W20230923WPGCGY,Mya Proctor,1,0,18,0,2,3,6,0,2,1,1,2,2,1,0,1,1,6
2023-24,WBB,Calgary,W20230923WPGCGY,Louise Rouse,1,0,26,2,5,6,11,11,12,4,7,11,2,0,4,0,3,29
2023-24,WBB,Calgary,W20230923WPGCGY,Samantha Shields,1,0,13,0,0,1,2,0,0,0,1,1,1,1,1,0,1,2
2023-24,WBB,Calgary,W20230923WPGCGY,Lilia Skumatova,1,1,17,1,4,1,1,2,2,1,2,3,1,0,1,0,1,7
2023-24,WBB,Calgary,W20230923WPGCGY,Anastasia Soltes,1,0,8,0,0,0,3,1,2,2,0,2,0,1,1,0,1,1
2023-24,WBB,Calgary,W20230923WPGCGY,Pollyanna Storie,1,1,16,0,3,1,3,2,2,0,2,2,0,3,0,0,2,4
2023-24,WBB,Calgary,W20230923WPGCGY,team-calgary,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2023-24,WBB,Calgary,W20230930NBCCGY,Amelie Collin,1,1,22,0,1,3,4,5,6,2,4,6,3,3,5,0,4,11
2023-24,WBB,Calgary,W20230930NBCCGY,Milica Gajic,1,0,17,1,1,1,3,0,0,1,0,1,1,3,1,0,2,5
2023-24,WBB,Calgary,W20230930NBCCGY,Jordan Kemper,1,0,7,1,1,0,1,0,0,0,1,1,0,0,0,0,0,3
2023-24,WBB,Calgary,W20230930NBCCGY,Myriam Kone,1,1,22,1,3,1,4,2,2,0,3,3,1,3,3,1,4,7
2023-24,WBB,Calgary,W20230930NBCCGY,Sydney Milum,1,1,22,0,0,3,4,3,4,3,1,4,0,2,1,0,1,9
2023-24,WBB,Calgary,W20230930NBCCGY,Kourtney Oss,1,0,14,1,2,0,1,0,0,1,3,4,0,0,3,0,0,3
2023-24,WBB,Calgary,W20230930NBCCGY,Mya Proctor,1,0,19,1,3,0,2,0,0,1,0,1,4,2,7,0,2,3
2023-24,WBB,Calgary,W20230930NBCCGY,Louise Rouse,1,0,25,0,1,12,15,2,2,3,3,6,0,2,1,1,2,26
2023-24,WBB,Calgary,W20230930NBCCGY,Samantha Shields,1,0,16,1,3,0,0,1,2,0,4,4,1,1,1,1,0,4
2023-24,WBB,Calgary,W20230930NBCCGY,Lilia Skumatova,1,1,14,1,3,0,0,0,0,1,1,2,0,0,0,0,0,3
2023-24,WBB,Calgary,W20230930NBCCGY,Anastasia Soltes,1,0,5,1,1,0,0,0,0,0,1,1,2,0,1,0,0,3
2023-24,WBB,Calgary,W20230930NBCCGY,Pollyanna Storie,1,1,17,3,9,2,3,1,2,0,3,3,1,2,1,0,1,14
2023-24,WBB,Calgary,W20230930NBCCGY,team-calgary,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
2023-24,WBB,Calgary,W20231012CGYGUE,Amelie Collin,1,1,17,0,1,0,3,0,0,0,2,2,3,4,3,1,3,0
2023-24,WBB,Calgary,W20231012CGYGUE,Milica Gajic,1,0,20,2,3,4,7,0,0,0,1,1,1,1,0,0,2,14
