Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Cape Breton,W20231020UQMCBU,Hans Sarah Bailly,1,0,13,0,1,2,6,3,3,1,4,5,2,4,6,0,3,7
2023-24,WBB,Cape Breton,W20231020UQMCBU,Amanda Cruickshank,1,1,20,0,1,0,3,0,2,1,0,1,4,0,3,0,0,0
2023-24,WBB,Cape Breton,W20231020UQMCBU,Alina Dohr,1,0,4,0,0,0,2,0,0,0,3,3,3,2,0,0,1,0
2023-24,WBB,Cape Breton,W20231020UQMCBU,Darah Fleurgin,1,0,23,0,0,1,4,1,4,0,7,7,4,2,2,0,1,3
2023-24,WBB,Cape Breton,W20231020UQMCBU,Kiyara Letlow,1,1,36,0,0,3,7,6,8,5,4,9,3,3,3,0,2,12
2023-24,WBB,Cape Breton,W20231020UQMCBU,Ajda Licina,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023-24,WBB,Cape Breton,W20231020UQMCBU,Hailey MacLeod,1,1,22,0,1,8,10,4,4,2,2,4,2,2,1,0,1,20
2023-24,WBB,Cape Breton,W20231020UQMCBU,Hannah Smith,1,1,28,0,4,2,6,0,0,0,0,0,0,0,3,0,1,4
2023-24,WBB,Cape Breton,W20231020UQMCBU,Kristen Taylor,1,0,14,2,4,1,1,0,0,1,2,3,1,0,1,0,0,8
2023-24,WBB,Cape Breton,W20231020UQMCBU,Chermensa van la Parra,1,1,40,5,6,4,8,3,5,0,3,3,2,3,6,0,2,26
2023-24,WBB,Cape Breton,W20231021QUECBU,Hans Sarah Bailly,1,0,18,0,1,0,4,2,3,0,6,6,2,2,3,0,4,2
2023-24,WBB,Cape Breton,W20231021QUECBU,Amanda Cruickshank,1,1,26,0,1,1,4,0,0,0,3,3,3,0,4,1,0,2
2023-24,WBB,Cape Breton,W20231021QUECBU,Alina Dohr,1,0,5,0,0,0,0,0,0,0,2,2,1,0,0,1,1,0
2023-24,WBB,Cape Breton,W20231021QUECBU,Kiyara Letlow,1,1,35,0,0,4,15,4,6,3,7,10,3,1,3,2,0,12
2023-24,WBB,Cape Breton,W20231021QUECBU,Hailey MacLeod,1,1,26,0,0,9,14,0,0,1,6,7,1,2,0,1,2,18
2023-24,WBB,Cape Breton,W20231021QUECBU,Emily MacNeil,1,0,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
2023-24,WBB,Cape Breton,W20231021QUECBU,Ruka Nakamura,1,0,15,0,0,2,8,0,0,0,2,2,4,0,1,0,0,4
2023-24,WBB,Cape Breton,W20231021QUECBU,Hannah Smith,1,1,25,0,2,2,3,0,0,0,1,1,0,0,1,0,1,4
2023-24,WBB,Cape Breton,W20231021QUECBU,Kristen Taylor,1,0,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Cape Breton,W20231021QUECBU,Chermensa van la Parra,1,1,35,1,3,2,9,5,7,4,1,5,1,3,5,0,1,12
2023-24,WBB,Cape Breton,W20231022WINCBU,Hans Sarah Bailly,1,0,5,0,2,1,2,4,4,1,2,3,2,5,3,0,0,6
2023-24,WBB,Cape Breton,W20231022WINCBU,Amanda Cruickshank,1,1,39,0,0,2,3,5,7,0,1,1,4,1,0,0,1,9
2023-24,WBB,Cape Breton,W20231022WINCBU,Alina Dohr,1,0,2,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0
