Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Carleton,W20230929CARBRK,Tatyanna Burke,1,1,25,0,0,6,8,1,4,4,3,7,1,0,4,3,1,13
2023-24,WBB,Carleton,W20230929CARBRK,Teresa Donato,1,0,15,0,4,0,1,0,0,1,1,2,1,1,0,0,0,0
2023-24,WBB,Carleton,W20230929CARBRK,Zerina Duvnjak,1,1,31,0,1,1,6,2,2,7,6,13,2,4,4,0,2,4
2023-24,WBB,Carleton,W20230929CARBRK,Gabrielle Francis,1,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Carleton,W20230929CARBRK,Oceane Kounkou,1,0,22,2,9,1,1,4,5,0,0,0,0,1,1,2,1,12
2023-24,WBB,Carleton,W20230929CARBRK,Miranda Navarro,1,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2023-24,WBB,Carleton,W20230929CARBRK,Sierra Peck,1,0,21,0,0,2,4,0,0,4,0,4,1,1,0,0,0,4
2023-24,WBB,Carleton,W20230929CARBRK,Kali Pocrnic,1,1,22,5,9,5,8,2,3,0,4,4,0,3,0,0,2,27
2023-24,WBB,Carleton,W20230929CARBRK,Kyana-Jade Poulin,1,1,25,0,3,2,5,4,6,1,4,5,1,5,6,0,4,8
2023-24,WBB,Carleton,W20230929CARBRK,team-carleton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023-24,WBB,Carleton,W20230929CARBRK,Jacqueline Urban,1,1,25,1,1,3,8,4,4,2,3,5,3,1,2,0,2,13
2023-24,WBB,Carleton,W20230930CARUQM,Tatyanna Burke,1,1,23,0,0,7,16,3,5,7,6,13,2,0,6,0,3,17
2023-24,WBB,Carleton,W20230930CARUQM,Zerina Duvnjak,1,1,29,1,6,3,3,0,1,1,4,5,1,1,1,0,2,9
2023-24,WBB,Carleton,W20230930CARUQM,Gabrielle Francis,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023-24,WBB,Carleton,W20230930CARUQM,Oceane Kounkou,1,0,25,1,4,0,2,2,2,0,5,5,1,1,2,0,1,5
2023-24,WBB,Carleton,W20230930CARUQM,Ingrid Matteau,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Carleton,W20230930CARUQM,Miranda Navarro,1,0,5,0,1,0,0,2,2,0,3,3,0,0,1,0,0,2
2023-24,WBB,Carleton,W20230930CARUQM,Sierra Peck,1,0,26,0,0,1,3,3,6,1,2,3,2,0,1,0,0,5
2023-24,WBB,Carleton,W20230930CARUQM,Kali Pocrnic,1,1,25,2,4,3,5,3,6,0,1,1,3,6,3,0,2,15
2023-24,WBB,Carleton,W20230930CARUQM,Kyana-Jade Poulin,1,1,31,5,5,2,4,2,3,3,4,7,3,4,6,0,0,21
2023-24,WBB,Carleton,W20230930CARUQM,Jacqueline Urban,1,1,28,1,3,2,6,5,8,1,6,7,2,0,3,0,1,12
2023-24,WBB,Carleton,W20231001CARCON,Dorcas Buisa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Carleton,W20231001CARCON,Tatyanna Burke,1,1,20,0,1,7,10,1,2,6,6,12,2,1,1,1,0,15
2023-24,WBB,Carleton,W20231001CARCON,Zerina Duvnjak,1,1,31,2,4,0,2,2,4,3,2,5,0,1,4,0,1,8
2023-24,WBB,Carleton,W20231001CARCON,Gabrielle Francis,1,0,9,0,0,1,2,0,0,0,1,1,0,0,0,0,0,2
2023-24,WBB,Carleton,W20231001CARCON,Hadeza Ismaila,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Carleton,W20231001CARCON,Oceane Kounkou,1,0,19,0,3,0,1,2,2,0,2,2,0,2,0,1,0,2
2023-24,WBB,Carleton,W20231001CARCON,Ingrid Matteau,1,0,9,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2
2023-24,WBB,Carleton,W20231001CARCON,Miranda Navarro,1,0,10,1,2,0,0,0,0,0,1,1,0,0,2,0,1,3
2023-24,WBB,Carleton,W20231001CARCON,Sierra Peck,1,0,19,0,0,3,5,2,2,2,3,5,3,0,1,0,0,8
2023-24,WBB,Carleton,W20231001CARCON,Kali Pocrnic,1,1,24,3,3,0,4,2,2,1,0,1,0,9,3,0,1,11
2023-24,WBB,Carleton,W20231001CARCON,Kyana-Jade Poulin,1,1,27,2,5,0,2,1,2,1,3,4,3,2,6,0,0,7
2023-24,WBB,Carleton,W20231001CARCON,team-carleton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Carleton,W20231001CARCON,Jacqueline Urban,1,1,29,1,2,5,9,2,2,3,8,11,1,0,4,1,1,15
2023-24,WBB,Carleton,W20231013VICCAR,Dorcas Buisa,1,1,19,0,1,2,2,0,0,0,1,1,4,1,2,0,1,4
2023-24,WBB,Carleton,W20231013VICCAR,Tatyanna Burke,1,0,30,0,0,8,11,4,11,5,8,13,4,2,2,0,2,20
2023-24,WBB,Carleton,W20231013VICCAR,Teresa Donato,1,0,26,4,7,1,3,1,2,2,1,3,2,3,1,0,2,15
2023-24,WBB,Carleton,W20231013VICCAR,Zerina Duvnjak,1,0,20,0,0,1,4,1,2,1,1,2,4,1,1,0,1,3
2023-24,WBB,Carleton,W20231013VICCAR,Gabrielle Francis,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
2023-24,WBB,Carleton,W20231013VICCAR,Oceane Kounkou,1,1,10,2,7,0,0,0,0,0,0,0,3,0,1,0,1,6
2023-24,WBB,Carleton,W20231013VICCAR,Sierra Peck,1,0,7,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
2023-24,WBB,Carleton,W20231013VICCAR,Kali Pocrnic,1,1,30,2,8,5,8,4,4,0,4,4,2,4,4,0,2,20
2023-24,WBB,Carleton,W20231013VICCAR,Kyana-Jade Poulin,1,1,34,0,1,3,5,4,4,3,6,9,4,3,7,0,7,10
2023-24,WBB,Carleton,W20231013VICCAR,team-carleton,1,0,0,0,0,0,0,0,0,2,9,11,0,0,1,0,0,0
2023-24,WBB,Carleton,W20231013VICCAR,Jacqueline Urban,1,1,21,0,3,2,9,0,0,2,4,6,4,0,0,0,1,4
2023-24,WBB,Carleton,W20231014OKNCAR,Dorcas Buisa,1,1,18,0,0,5,8,0,0,2,1,3,4,0,2,0,2,10
2023-24,WBB,Carleton,W20231014OKNCAR,Tatyanna Burke,1,1,32,0,0,6,12,4,4,2,7,9,2,0,0,1,1,16
2023-24,WBB,Carleton,W20231014OKNCAR,Teresa Donato,1,0,9,1,1,0,0,0,0,0,0,0,0,0,1,0,1,3
2023-24,WBB,Carleton,W20231014OKNCAR,Zerina Duvnjak,1,0,31,0,1,4,6,0,0,2,5,7,2,0,0,0,0,8
2023-24,WBB,Carleton,W20231014OKNCAR,Oceane Kounkou,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Carleton,W20231014OKNCAR,Sierra Peck,1,0,9,0,0,1,2,0,0,1,1,2,1,0,0,0,0,2
2023-24,WBB,Carleton,W20231014OKNCAR,Kali Pocrnic,1,1,36,1,4,5,17,10,10,1,1,2,3,2,5,0,1,23
2023-24,WBB,Carleton,W20231014OKNCAR,Kyana-Jade Poulin,1,1,33,0,2,4,7,0,0,3,6,9,3,2,0,0,1,8
2023-24,WBB,Carleton,W20231014OKNCAR,team-carleton,1,0,0,0,0,0,0,0,0,3,3,6,0,0,2,0,0,0
2023-24,WBB,Carleton,W20231014OKNCAR,Jacqueline Urban,1,1,28,0,2,6,13,3,4,2,9,11,5,1,2,0,0,15
2023-24,WBB,Carleton,W20231015ALBCAR,Dorcas Buisa,1,1,19,0,1,4,9,2,2,2,3,5,4,2,0,0,1,10
2023-24,WBB,Carleton,W20231015ALBCAR,Tatyanna Burke,1,1,32,1,2,4,15,0,0,7,4,11,3,2,1,0,0,11
2023-24,WBB,Carleton,W20231015ALBCAR,Teresa Donato,1,0,17,0,1,2,5,0,0,0,1,1,0,0,0,0,0,4
2023-24,WBB,Carleton,W20231015ALBCAR,Zerina Duvnjak,1,0,33,1,4,2,4,2,2,1,14,15,1,0,1,0,0,9
2023-24,WBB,Carleton,W20231015ALBCAR,Sierra Peck,1,0,9,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2
2023-24,WBB,Carleton,W20231015ALBCAR,Kali Pocrnic,1,1,33,1,8,8,17,5,5,2,3,5,1,4,1,0,2,24
2023-24,WBB,Carleton,W20231015ALBCAR,Kyana-Jade Poulin,1,1,34,0,0,1,3,4,4,1,0,1,1,3,4,0,2,6
