Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Concordia,W20230930BRKCON,Angela Batria,1,1,24,0,0,1,5,2,4,5,4,9,4,0,2,0,1,4
2023-24,WBB,Concordia,W20230930BRKCON,Rowena Blais,1,1,20,4,8,0,1,0,0,0,0,0,3,0,2,0,0,12
2023-24,WBB,Concordia,W20230930BRKCON,Areej Burgonio,1,1,39,2,4,1,10,7,8,0,4,4,0,6,5,0,1,15
2023-24,WBB,Concordia,W20230930BRKCON,Alice Fleming,1,0,11,2,3,0,0,0,0,0,0,0,0,1,2,0,0,6
2023-24,WBB,Concordia,W20230930BRKCON,Gretta-Olivia Ineza,1,1,29,3,6,0,1,2,2,0,3,3,3,2,2,0,1,11
2023-24,WBB,Concordia,W20230930BRKCON,Hana Jakubcekova,1,0,20,0,0,2,4,1,2,0,3,3,2,0,1,0,3,5
2023-24,WBB,Concordia,W20230930BRKCON,Fabiola Lamour,1,1,26,0,0,1,3,0,0,1,0,1,2,0,1,3,1,2
2023-24,WBB,Concordia,W20230930BRKCON,Samuelle Lavoie,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Concordia,W20230930BRKCON,Florence Poirier,1,0,30,2,11,1,2,0,0,0,5,5,3,0,2,0,0,8
2023-24,WBB,Concordia,W20230930BRKCON,Jaydnn Sommerville,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Concordia,W20231001CARCON,Angela Batria,1,1,22,0,0,2,3,1,2,0,3,3,2,1,3,0,0,5
2023-24,WBB,Concordia,W20231001CARCON,Rowena Blais,1,1,26,2,8,2,6,0,0,0,2,2,1,1,3,0,2,10
2023-24,WBB,Concordia,W20231001CARCON,Areej Burgonio,1,1,34,0,1,1,9,3,4,0,2,2,1,4,2,0,2,5
2023-24,WBB,Concordia,W20231001CARCON,Alice Fleming,1,0,29,2,8,0,1,0,0,2,0,2,0,1,5,0,2,6
2023-24,WBB,Concordia,W20231001CARCON,Gretta-Olivia Ineza,1,1,24,1,5,0,4,0,0,2,1,3,0,2,1,0,2,3
2023-24,WBB,Concordia,W20231001CARCON,Hana Jakubcekova,1,0,17,0,0,6,11,0,0,4,2,6,3,1,1,0,0,12
2023-24,WBB,Concordia,W20231001CARCON,Fabiola Lamour,1,0,22,0,0,1,2,0,0,3,2,5,3,1,2,2,3,2
2023-24,WBB,Concordia,W20231001CARCON,Samuelle Lavoie,1,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2023-24,WBB,Concordia,W20231001CARCON,Florence Poirier,1,1,12,0,2,0,1,0,0,0,0,0,5,0,1,0,1,0
2023-24,WBB,Concordia,W20231001CARCON,Jaydnn Sommerville,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,Concordia,W20231001CARCON,team-concordia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Concordia,W20231001CARCON,Ashley-Marie Torres,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Concordia,W20231005CONTOR,Thamila Abbani,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Concordia,W20231005CONTOR,Angela Batria,1,1,27,0,1,2,4,5,6,5,8,13,1,0,4,2,2,9
2023-24,WBB,Concordia,W20231005CONTOR,Areej Burgonio,1,1,34,0,2,4,7,4,7,1,6,7,0,7,2,0,2,12
2023-24,WBB,Concordia,W20231005CONTOR,Alice Fleming,1,1,7,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0
2023-24,WBB,Concordia,W20231005CONTOR,Gretta-Olivia Ineza,1,0,27,0,7,4,13,3,3,3,5,8,1,0,2,0,0,11
2023-24,WBB,Concordia,W20231005CONTOR,Hana Jakubcekova,1,1,24,0,0,1,7,1,2,0,6,6,3,0,3,1,0,3
2023-24,WBB,Concordia,W20231005CONTOR,Fabiola Lamour,1,0,14,0,0,2,4,1,1,2,2,4,3,1,0,0,1,5
