Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Guelph,W20230930GUEOTH,Renee Armstrong,1,1,20,0,2,2,5,2,2,1,2,3,0,3,2,1,1,6
2023-24,WBB,Guelph,W20230930GUEOTH,Hannah Bourdon,1,1,18,0,1,2,5,5,7,2,2,4,3,0,2,1,3,9
2023-24,WBB,Guelph,W20230930GUEOTH,Julia Colavecchia,1,1,21,1,7,3,4,0,0,1,6,7,2,2,1,0,2,9
2023-24,WBB,Guelph,W20230930GUEOTH,Margaret Fitzpatrick,1,0,10,0,0,0,3,1,2,1,1,2,1,0,1,1,1,1
2023-24,WBB,Guelph,W20230930GUEOTH,Rain Jhaj,1,0,16,2,2,1,2,0,0,0,0,0,0,1,0,0,1,8
2023-24,WBB,Guelph,W20230930GUEOTH,Grace Kelly,1,0,12,2,2,1,1,0,0,1,2,3,2,0,0,0,0,8
2023-24,WBB,Guelph,W20230930GUEOTH,Margaret McGuire,1,0,4,0,0,1,1,0,0,2,1,3,3,0,1,0,0,2
2023-24,WBB,Guelph,W20230930GUEOTH,Sarah Metwally,1,0,14,0,0,1,2,0,2,0,1,1,0,1,3,0,0,2
2023-24,WBB,Guelph,W20230930GUEOTH,Keryl Ousey,1,0,4,0,0,1,2,0,0,0,1,1,0,0,1,0,0,2
2023-24,WBB,Guelph,W20230930GUEOTH,Trinity Papamandjaris,1,1,15,0,0,3,6,0,0,2,1,3,2,0,1,0,1,6
2023-24,WBB,Guelph,W20230930GUEOTH,Christina Stathopoulos,1,0,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2
2023-24,WBB,Guelph,W20230930GUEOTH,team-guelph,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2023-24,WBB,Guelph,W20230930GUEOTH,Lucy Tesseyman,1,0,13,0,0,2,5,0,0,1,2,3,1,2,0,0,1,4
2023-24,WBB,Guelph,W20230930GUEOTH,Ella Thomas,1,0,14,1,3,0,0,0,0,0,1,1,1,3,2,0,2,3
2023-24,WBB,Guelph,W20230930GUEOTH,Alexandra Urban,1,0,17,0,3,4,6,0,0,4,4,8,1,2,0,0,2,8
2023-24,WBB,Guelph,W20230930GUEOTH,Macy Weber,1,0,5,0,0,0,4,0,0,5,1,6,0,0,1,0,0,0
2023-24,WBB,Guelph,W20230930GUEOTH,Alexis Wright,1,1,14,2,5,3,4,0,0,2,0,2,2,1,0,0,1,12
2023-24,WBB,Guelph,W20231001GUEMUN,Renee Armstrong,1,1,33,4,5,4,13,0,2,2,2,4,3,5,3,1,2,20
2023-24,WBB,Guelph,W20231001GUEMUN,Hannah Bourdon,1,1,30,0,2,2,6,0,0,5,5,10,1,4,3,0,3,4
2023-24,WBB,Guelph,W20231001GUEMUN,Julia Colavecchia,1,1,29,1,7,2,7,2,5,1,5,6,4,5,3,0,2,9
2023-24,WBB,Guelph,W20231001GUEMUN,Rain Jhaj,1,0,12,2,3,0,2,2,2,0,0,0,0,2,0,0,0,8
2023-24,WBB,Guelph,W20231001GUEMUN,Margaret McGuire,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Guelph,W20231001GUEMUN,Sarah Metwally,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Guelph,W20231001GUEMUN,Keryl Ousey,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Guelph,W20231001GUEMUN,Trinity Papamandjaris,1,1,31,1,2,4,8,1,4,4,3,7,1,1,2,4,1,12
2023-24,WBB,Guelph,W20231001GUEMUN,team-guelph,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2023-24,WBB,Guelph,W20231001GUEMUN,Lucy Tesseyman,1,0,8,0,0,1,1,0,0,3,1,4,0,0,1,0,0,2
2023-24,WBB,Guelph,W20231001GUEMUN,Ella Thomas,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3
2023-24,WBB,Guelph,W20231001GUEMUN,Alexandra Urban,1,0,16,0,0,4,8,0,0,2,0,2,4,0,0,0,2,8
2023-24,WBB,Guelph,W20231001GUEMUN,Macy Weber,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Guelph,W20231001GUEMUN,Alexis Wright,1,1,22,0,2,1,7,2,4,4,2,6,4,1,1,0,2,4
2023-24,WBB,Guelph,W20231005GUEOTH,Renee Armstrong,1,1,17,1,1,1,5,5,6,2,0,2,0,6,1,1,0,10
2023-24,WBB,Guelph,W20231005GUEOTH,Hannah Bourdon,1,1,16,1,1,0,4,1,2,3,4,7,1,1,3,0,0,4
2023-24,WBB,Guelph,W20231005GUEOTH,Julia Colavecchia,1,1,16,0,6,0,1,2,2,3,3,6,2,0,1,1,3,2
2023-24,WBB,Guelph,W20231005GUEOTH,Rain Jhaj,1,0,20,1,4,2,2,0,0,0,1,1,2,0,3,1,4,7
2023-24,WBB,Guelph,W20231005GUEOTH,Grace Kelly,1,0,10,1,2,0,1,0,0,1,1,2,2,0,0,0,0,3
2023-24,WBB,Guelph,W20231005GUEOTH,Margaret McGuire,1,0,7,0,0,1,1,0,0,0,2,2,0,0,1,0,1,2
2023-24,WBB,Guelph,W20231005GUEOTH,Sarah Metwally,1,0,17,0,2,1,1,1,4,0,3,3,2,1,1,0,1,3
2023-24,WBB,Guelph,W20231005GUEOTH,Keryl Ousey,1,0,12,0,1,1,1,0,0,1,3,4,0,0,2,0,0,2
2023-24,WBB,Guelph,W20231005GUEOTH,Trinity Papamandjaris,1,1,13,1,1,2,4,0,0,2,7,9,1,1,0,0,0,7
2023-24,WBB,Guelph,W20231005GUEOTH,Christina Stathopoulos,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Guelph,W20231005GUEOTH,team-guelph,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0
2023-24,WBB,Guelph,W20231005GUEOTH,Lucy Tesseyman,1,0,17,1,1,2,6,0,2,4,5,9,0,1,0,1,2,7
2023-24,WBB,Guelph,W20231005GUEOTH,Ella Thomas,1,0,12,0,4,0,4,2,2,2,3,5,2,2,1,1,1,2
2023-24,WBB,Guelph,W20231005GUEOTH,Alexandra Urban,1,0,14,0,1,0,4,2,2,1,2,3,1,0,2,0,0,2
2023-24,WBB,Guelph,W20231005GUEOTH,Macy Weber,1,0,10,0,2,1,4,1,1,0,3,3,0,0,1,1,1,3
2023-24,WBB,Guelph,W20231005GUEOTH,Alexis Wright,1,1,14,1,3,1,4,0,0,0,0,0,1,1,1,0,0,5
2023-24,WBB,Guelph,W20231012CGYGUE,Renee Armstrong,1,1,31,0,1,3,10,3,4,2,3,5,2,3,3,0,1,9
2023-24,WBB,Guelph,W20231012CGYGUE,Hannah Bourdon,1,1,19,0,1,1,7,0,0,3,2,5,3,0,4,0,1,2
