Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Laurentian,W20230929LAUWLU,Molly Adams,1,0,24,1,2,1,2,0,0,1,5,6,1,1,3,0,1,5
2023-24,WBB,Laurentian,W20230929LAUWLU,Megan Axiak,1,0,10,0,2,0,0,0,0,0,2,2,0,0,1,0,1,0
2023-24,WBB,Laurentian,W20230929LAUWLU,Princess Bernardino,1,1,17,0,2,0,1,0,0,0,1,1,5,3,5,0,0,0
2023-24,WBB,Laurentian,W20230929LAUWLU,Melanie Cloutier,1,0,18,0,0,1,6,0,0,5,1,6,2,0,1,0,0,2
2023-24,WBB,Laurentian,W20230929LAUWLU,Monica Jean-Baptiste,1,0,17,1,4,1,1,0,0,0,1,1,0,1,3,0,2,5
2023-24,WBB,Laurentian,W20230929LAUWLU,Audrey-Anne Labreche,1,0,18,1,7,1,3,0,0,0,1,1,3,0,3,0,1,5
2023-24,WBB,Laurentian,W20230929LAUWLU,Emilie Lafond,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Laurentian,W20230929LAUWLU,Jasmine Lewis,1,0,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2023-24,WBB,Laurentian,W20230929LAUWLU,Amber May,1,1,17,1,7,0,1,0,0,0,1,1,3,1,4,0,0,3
2023-24,WBB,Laurentian,W20230929LAUWLU,Claudia Pellerin,1,1,25,0,1,6,12,2,3,7,4,11,1,1,5,0,0,14
2023-24,WBB,Laurentian,W20230929LAUWLU,Lauren Robertson-Martin,1,1,20,0,0,0,2,0,0,2,1,3,4,1,0,0,0,0
2023-24,WBB,Laurentian,W20230929LAUWLU,Rileigh Smith,1,1,21,0,2,1,1,3,4,3,6,9,4,2,6,2,2,5
2023-24,WBB,Laurentian,W20230930LAUTMU,Molly Adams,1,0,17,0,0,2,3,3,3,2,0,2,2,0,1,0,0,7
2023-24,WBB,Laurentian,W20230930LAUTMU,Megan Axiak,1,0,2,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0
2023-24,WBB,Laurentian,W20230930LAUTMU,Princess Bernardino,1,1,24,1,5,0,2,0,0,0,2,2,0,3,3,0,1,3
2023-24,WBB,Laurentian,W20230930LAUTMU,Melanie Cloutier,1,1,29,0,0,3,4,4,4,1,2,3,0,0,0,1,3,10
2023-24,WBB,Laurentian,W20230930LAUTMU,Monica Jean-Baptiste,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Laurentian,W20230930LAUTMU,Audrey-Anne Labreche,1,0,18,0,2,0,3,0,0,0,2,2,2,2,3,0,0,0
2023-24,WBB,Laurentian,W20230930LAUTMU,Jasmine Lewis,1,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
2023-24,WBB,Laurentian,W20230930LAUTMU,Amber May,1,0,28,2,6,1,3,0,0,0,2,2,3,0,2,0,0,8
2023-24,WBB,Laurentian,W20230930LAUTMU,Claudia Pellerin,1,1,31,2,6,4,12,4,6,1,2,3,2,2,4,0,1,18
2023-24,WBB,Laurentian,W20230930LAUTMU,Lauren Robertson-Martin,1,1,14,0,0,0,0,1,2,0,1,1,1,2,2,0,1,1
2023-24,WBB,Laurentian,W20230930LAUTMU,Rileigh Smith,1,1,27,0,1,1,4,2,2,3,7,10,3,3,2,0,1,4
2023-24,WBB,Laurentian,W20231001LAUMCG,Molly Adams,1,1,20,0,0,0,0,0,0,1,3,4,1,2,2,0,0,0
2023-24,WBB,Laurentian,W20231001LAUMCG,Megan Axiak,1,0,22,3,5,0,0,0,0,0,1,1,1,1,3,1,0,9
2023-24,WBB,Laurentian,W20231001LAUMCG,Princess Bernardino,1,1,24,1,5,2,2,0,0,0,0,0,3,1,0,0,4,7
2023-24,WBB,Laurentian,W20231001LAUMCG,Melanie Cloutier,1,1,25,0,0,1,2,1,2,0,3,3,1,0,1,0,1,3
2023-24,WBB,Laurentian,W20231001LAUMCG,Monica Jean-Baptiste,1,0,6,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
2023-24,WBB,Laurentian,W20231001LAUMCG,Audrey-Anne Labreche,1,0,23,2,4,2,3,2,2,0,2,2,2,2,3,0,3,12
2023-24,WBB,Laurentian,W20231001LAUMCG,Amber May,1,0,14,1,4,0,2,0,0,0,2,2,2,1,0,0,0,3
2023-24,WBB,Laurentian,W20231001LAUMCG,Claudia Pellerin,1,1,28,0,3,2,6,2,4,0,4,4,4,0,6,1,1,6
2023-24,WBB,Laurentian,W20231001LAUMCG,Lauren Robertson-Martin,1,0,13,0,0,0,0,3,6,1,2,3,4,0,0,0,2,3
2023-24,WBB,Laurentian,W20231001LAUMCG,Rileigh Smith,1,1,24,3,5,1,6,5,8,2,4,6,1,1,2,0,1,16
2023-24,WBB,Laurentian,W20231013SMULAU,Molly Adams,1,1,23,0,1,1,3,0,0,2,3,5,1,1,3,0,0,2
2023-24,WBB,Laurentian,W20231013SMULAU,Megan Axiak,1,1,15,1,6,0,0,0,0,0,4,4,1,0,1,0,0,3
2023-24,WBB,Laurentian,W20231013SMULAU,Princess Bernardino,1,1,28,1,5,0,2,0,0,0,0,0,4,2,4,0,1,3
2023-24,WBB,Laurentian,W20231013SMULAU,Melanie Cloutier,1,0,12,0,0,1,5,2,3,1,1,2,1,1,1,0,0,4
2023-24,WBB,Laurentian,W20231013SMULAU,Monica Jean-Baptiste,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,Laurentian,W20231013SMULAU,Lyndelle Joseph,1,0,10,1,1,0,1,0,0,0,0,0,0,2,3,0,0,3
2023-24,WBB,Laurentian,W20231013SMULAU,Audrey-Anne Labreche,1,0,9,0,2,1,1,1,1,0,2,2,1,0,0,0,0,3
2023-24,WBB,Laurentian,W20231013SMULAU,Emilie Lafond,1,1,23,0,0,6,11,1,4,3,2,5,3,1,2,1,0,13
2023-24,WBB,Laurentian,W20231013SMULAU,Jasmine Lewis,1,0,9,0,0,0,1,0,2,3,0,3,0,0,0,0,0,0
2023-24,WBB,Laurentian,W20231013SMULAU,Amber May,1,0,14,0,5,0,2,0,0,2,4,6,1,2,1,0,0,0
2023-24,WBB,Laurentian,W20231013SMULAU,Aneisha Rismond,1,0,19,0,0,1,6,0,0,2,5,7,0,1,4,0,1,2
2023-24,WBB,Laurentian,W20231013SMULAU,Lauren Robertson-Martin,1,0,18,0,0,1,4,0,0,0,3,3,2,0,3,0,2,2
2023-24,WBB,Laurentian,W20231013SMULAU,Rileigh Smith,1,1,18,1,3,1,7,0,0,2,6,8,2,0,2,0,2,5
2023-24,WBB,Laurentian,W20231013SMULAU,team-laurentian,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023-24,WBB,Laurentian,W20231014DALLAU,Molly Adams,1,1,29,1,3,1,2,0,0,0,6,6,3,4,2,0,0,5
2023-24,WBB,Laurentian,W20231014DALLAU,Megan Axiak,1,0,20,0,5,0,0,2,5,1,1,2,1,1,0,0,1,2
2023-24,WBB,Laurentian,W20231014DALLAU,Princess Bernardino,1,1,33,2,6,1,3,0,0,0,3,3,3,1,2,0,0,8
2023-24,WBB,Laurentian,W20231014DALLAU,Melanie Cloutier,1,0,31,0,0,5,9,6,8,7,9,16,3,2,1,1,0,16
2023-24,WBB,Laurentian,W20231014DALLAU,Monica Jean-Baptiste,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2023-24,WBB,Laurentian,W20231014DALLAU,Lyndelle Joseph,1,0,3,0,0,0,0,1,2,1,0,1,0,0,1,0,0,1
2023-24,WBB,Laurentian,W20231014DALLAU,Audrey-Anne Labreche,1,0,5,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0
2023-24,WBB,Laurentian,W20231014DALLAU,Emilie Lafond,1,1,17,0,0,4,7,2,4,0,3,3,5,1,4,1,0,10
2023-24,WBB,Laurentian,W20231014DALLAU,Amber May,1,0,10,1,6,0,1,2,2,0,2,2,1,1,3,0,1,5
2023-24,WBB,Laurentian,W20231014DALLAU,Lauren Robertson-Martin,1,1,30,0,0,2,4,2,5,2,2,4,2,3,4,0,1,6
2023-24,WBB,Laurentian,W20231014DALLAU,Rileigh Smith,1,1,17,0,3,4,5,5,10,0,4,4,4,0,4,1,0,13
2023-24,WBB,Laurentian,W20231014DALLAU,team-laurentian,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023-24,WBB,Laurentian,W20231015UNBLAU,Molly Adams,1,1,22,0,0,2,4,1,2,1,0,1,1,1,4,0,0,5
2023-24,WBB,Laurentian,W20231015UNBLAU,Megan Axiak,1,0,11,0,8,0,1,0,0,0,0,0,4,1,0,0,0,0
2023-24,WBB,Laurentian,W20231015UNBLAU,Princess Bernardino,1,1,26,1,5,0,2,1,2,0,2,2,1,2,0,0,0,4
2023-24,WBB,Laurentian,W20231015UNBLAU,Melanie Cloutier,1,0,23,0,1,0,3,3,4,1,5,6,1,2,2,0,0,3
2023-24,WBB,Laurentian,W20231015UNBLAU,Monica Jean-Baptiste,1,0,8,0,1,0,0,0,0,0,0,0,1,2,1,0,1,0
2023-24,WBB,Laurentian,W20231015UNBLAU,Lyndelle Joseph,1,0,6,0,1,0,2,0,0,0,0,0,2,0,4,0,1,0
2023-24,WBB,Laurentian,W20231015UNBLAU,Audrey-Anne Labreche,1,0,8,0,2,0,1,0,0,0,2,2,1,1,1,0,0,0
2023-24,WBB,Laurentian,W20231015UNBLAU,Emilie Lafond,1,1,24,0,0,3,11,1,2,1,0,1,2,0,1,0,0,7
2023-24,WBB,Laurentian,W20231015UNBLAU,Jasmine Lewis,1,0,7,0,0,1,2,1,3,3,1,4,0,0,1,0,1,3
2023-24,WBB,Laurentian,W20231015UNBLAU,Amber May,1,0,19,5,7,1,3,0,0,1,2,3,5,0,1,0,1,17
2023-24,WBB,Laurentian,W20231015UNBLAU,Lauren Robertson-Martin,1,1,21,0,0,0,2,1,2,0,0,0,1,1,3,0,1,1
2023-24,WBB,Laurentian,W20231015UNBLAU,Rileigh Smith,1,1,25,0,1,4,7,5,7,3,2,5,4,0,0,0,1,13
2023-24,WBB,Laurentian,W20231015UNBLAU,team-laurentian,1,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0
2023-24,WBB,Laurentian,W20231021CARLAU,Molly Adams,1,1,27,0,3,0,3,0,0,2,2,4,0,1,3,0,0,0
2023-24,WBB,Laurentian,W20231021CARLAU,Megan Axiak,1,0,17,4,12,0,1,0,0,0,5,5,3,0,3,0,2,12
2023-24,WBB,Laurentian,W20231021CARLAU,Melanie Cloutier,1,1,29,0,0,0,4,2,2,0,2,2,1,1,1,0,0,2
2023-24,WBB,Laurentian,W20231021CARLAU,Monica Jean-Baptiste,1,1,21,1,3,0,0,0,0,0,0,0,2,0,1,0,0,3
2023-24,WBB,Laurentian,W20231021CARLAU,Lyndelle Joseph,1,0,19,1,1,0,1,0,0,1,1,2,4,1,2,0,0,3
2023-24,WBB,Laurentian,W20231021CARLAU,Audrey-Anne Labreche,1,0,8,0,1,0,3,0,1,0,0,0,1,1,2,0,0,0
