Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Laval,W20230929SMULAV,Frederique Beaudry-Blais,1,1,29,2,7,0,3,4,5,0,2,2,3,2,1,0,1,10
2023-24,WBB,Laval,W20230929SMULAV,Audrey Beland,1,1,33,0,0,3,6,1,2,5,5,10,1,2,2,0,1,7
2023-24,WBB,Laval,W20230929SMULAV,Audrey-Anne Blanchette,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-24,WBB,Laval,W20230929SMULAV,Catherine Champagne,1,0,6,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Laval,W20230929SMULAV,Julia Denis,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Laval,W20230929SMULAV,Brinly Holt,1,0,19,2,7,3,5,0,0,5,5,10,3,1,1,0,2,12
2023-24,WBB,Laval,W20230929SMULAV,Sabrine Khelifi,1,1,29,0,1,4,10,2,3,1,6,7,1,4,10,1,3,10
2023-24,WBB,Laval,W20230929SMULAV,Elodie Lajoie,1,0,24,3,8,3,12,0,0,1,3,4,2,5,3,0,2,15
2023-24,WBB,Laval,W20230929SMULAV,Alexia Marois,1,0,6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
2023-24,WBB,Laval,W20230929SMULAV,Erika Nzodoum,1,1,11,0,0,1,3,0,2,0,2,2,1,0,0,0,1,2
2023-24,WBB,Laval,W20230929SMULAV,Amy Roy,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Laval,W20230929SMULAV,Lea-Sophie Verret,1,1,31,1,3,1,5,0,1,0,4,4,4,2,1,0,0,5
2023-24,WBB,Laval,W20230930UNBLAV,Marie-Eve Beauchamp,1,0,4,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0
2023-24,WBB,Laval,W20230930UNBLAV,Frederique Beaudry-Blais,1,1,31,4,8,2,5,3,3,0,3,3,4,0,2,0,1,19
2023-24,WBB,Laval,W20230930UNBLAV,Audrey Beland,1,1,25,0,0,3,6,0,0,1,4,5,3,0,1,0,1,6
2023-24,WBB,Laval,W20230930UNBLAV,Audrey-Anne Blanchette,1,0,5,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0
2023-24,WBB,Laval,W20230930UNBLAV,Catherine Champagne,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,Laval,W20230930UNBLAV,Julia Denis,1,0,15,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0
2023-24,WBB,Laval,W20230930UNBLAV,Brinly Holt,1,0,15,0,1,1,1,0,0,2,0,2,4,1,3,0,1,2
2023-24,WBB,Laval,W20230930UNBLAV,Sabrine Khelifi,1,1,23,0,0,3,6,0,0,3,3,6,1,4,1,0,3,6
2023-24,WBB,Laval,W20230930UNBLAV,Elodie Lajoie,1,0,20,2,8,1,4,1,2,0,1,1,1,0,0,0,0,9
2023-24,WBB,Laval,W20230930UNBLAV,Alexia Marois,1,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Laval,W20230930UNBLAV,Erika Nzodoum,1,1,12,0,0,1,3,1,2,1,1,2,1,1,1,0,0,3
2023-24,WBB,Laval,W20230930UNBLAV,Amy Roy,1,0,8,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0
2023-24,WBB,Laval,W20230930UNBLAV,team-laval,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
