Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,McGill,W20230929TMUMCG,Kristy Awikeh,1,1,17,0,0,2,5,0,0,2,4,6,4,3,1,2,0,4
2023-24,WBB,McGill,W20230929TMUMCG,Lily Rose Chatila,1,0,28,3,4,4,4,2,2,0,3,3,2,0,2,0,1,19
2023-24,WBB,McGill,W20230929TMUMCG,Seyna Diggs,1,1,19,1,1,1,3,0,0,2,3,5,4,0,0,0,0,5
2023-24,WBB,McGill,W20230929TMUMCG,Sydney Foran,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,McGill,W20230929TMUMCG,Aicha Hassan-Omar,1,0,6,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2
2023-24,WBB,McGill,W20230929TMUMCG,Charlotte Jolin,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2023-24,WBB,McGill,W20230929TMUMCG,Daniella Mbengo,1,1,27,1,1,1,5,0,0,1,1,2,2,5,6,0,0,5
2023-24,WBB,McGill,W20230929TMUMCG,Hannah Puff,1,0,11,0,1,1,2,0,0,0,0,0,3,0,1,0,2,2
2023-24,WBB,McGill,W20230929TMUMCG,Katie Rathwell,1,0,9,1,1,0,0,0,0,0,0,0,1,0,1,0,1,3
2023-24,WBB,McGill,W20230929TMUMCG,Emma-Jane Scotten,1,1,25,1,2,1,4,3,6,0,5,5,2,5,3,0,0,8
2023-24,WBB,McGill,W20230929TMUMCG,Katerina Stoupas,1,0,19,1,1,5,9,0,2,2,9,11,1,1,2,0,1,13
2023-24,WBB,McGill,W20230929TMUMCG,Stephy Tchoukuiegno,1,1,29,0,5,2,6,0,2,1,2,3,2,1,2,0,0,4
2023-24,WBB,McGill,W20230929TMUMCG,team-mcgill,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2023-24,WBB,McGill,W20230929TMUMCG,Laura Wells,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2023-24,WBB,McGill,W20230930WLUMCG,Kristy Awikeh,1,1,20,0,0,4,5,1,2,2,4,6,2,0,1,0,0,9
2023-24,WBB,McGill,W20230930WLUMCG,Lily Rose Chatila,1,0,26,0,3,2,3,0,0,1,3,4,0,4,3,0,1,4
2023-24,WBB,McGill,W20230930WLUMCG,Seyna Diggs,1,1,19,0,1,4,7,0,1,3,5,8,1,1,2,1,2,8
2023-24,WBB,McGill,W20230930WLUMCG,Sydney Foran,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,McGill,W20230930WLUMCG,Aicha Hassan-Omar,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2023-24,WBB,McGill,W20230930WLUMCG,Charlotte Jolin,1,0,9,1,4,0,3,0,0,0,0,0,4,1,1,0,2,3
