Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Memorial,W20230929YRKMUN,Sarah-Kim Cote,1,0,10,0,0,1,3,2,2,0,0,0,0,0,0,0,1,4
2023-24,WBB,Memorial,W20230929YRKMUN,Rebecka Ekstrom,1,1,28,3,8,0,1,0,0,0,0,0,0,5,2,0,2,9
2023-24,WBB,Memorial,W20230929YRKMUN,Hannah Green,1,1,30,1,4,3,4,0,0,1,4,5,0,1,4,1,1,9
2023-24,WBB,Memorial,W20230929YRKMUN,Malva Gyllenhammar Ekelof,1,0,8,0,1,0,1,0,0,0,0,0,0,1,3,0,1,0
2023-24,WBB,Memorial,W20230929YRKMUN,Claire Hickman,1,0,20,0,0,6,8,2,2,0,7,7,3,0,0,1,1,14
2023-24,WBB,Memorial,W20230929YRKMUN,Brooke LeDevehat,1,0,19,0,1,2,5,0,0,1,0,1,0,4,1,0,0,4
2023-24,WBB,Memorial,W20230929YRKMUN,Erin Long,1,1,16,0,0,1,1,1,2,1,2,3,2,2,0,0,0,3
2023-24,WBB,Memorial,W20230929YRKMUN,Eavan McLaughlin,1,0,14,2,3,1,1,2,2,0,1,1,2,2,1,0,2,10
2023-24,WBB,Memorial,W20230929YRKMUN,Laura Murray,1,1,22,0,0,1,2,0,2,0,4,4,1,2,4,0,0,2
2023-24,WBB,Memorial,W20230929YRKMUN,Serena Phillips,1,0,7,1,1,1,1,1,2,1,0,1,0,0,0,0,2,6
2023-24,WBB,Memorial,W20230929YRKMUN,Alana Short,1,1,28,0,0,5,10,12,14,0,7,7,3,2,0,0,0,22
2023-24,WBB,Memorial,W20231001GUEMUN,Sarah-Kim Cote,1,0,8,0,0,1,3,2,3,1,0,1,0,0,0,0,1,4
2023-24,WBB,Memorial,W20231001GUEMUN,Rebecka Ekstrom,1,1,32,3,5,2,6,2,2,0,2,2,0,4,5,0,0,15
2023-24,WBB,Memorial,W20231001GUEMUN,Hannah Green,1,1,31,1,3,11,16,1,2,6,3,9,3,0,3,0,0,26
2023-24,WBB,Memorial,W20231001GUEMUN,Malva Gyllenhammar Ekelof,1,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
2023-24,WBB,Memorial,W20231001GUEMUN,Claire Hickman,1,0,13,0,0,0,3,1,2,1,1,2,3,0,0,0,0,1
2023-24,WBB,Memorial,W20231001GUEMUN,Brooke LeDevehat,1,0,18,1,2,2,3,0,0,2,3,5,0,0,2,0,0,7
2023-24,WBB,Memorial,W20231001GUEMUN,Erin Long,1,1,24,0,0,2,3,0,0,2,4,6,0,1,1,1,1,4
2023-24,WBB,Memorial,W20231001GUEMUN,Eavan McLaughlin,1,0,18,0,3,0,0,0,0,2,0,2,1,1,0,0,0,0
2023-24,WBB,Memorial,W20231001GUEMUN,Laura Murray,1,1,17,0,0,0,1,0,0,0,3,3,3,2,1,0,0,0
2023-24,WBB,Memorial,W20231001GUEMUN,Alana Short,1,1,36,0,5,5,15,6,7,2,5,7,2,4,4,0,2,16
2023-24,WBB,Memorial,W20231001GUEMUN,team-memorial,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023-24,WBB,Memorial,W20231006MUNUBC,Sarah-Kim Cote,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Memorial,W20231006MUNUBC,Rebecka Ekstrom,1,1,35,1,3,3,4,2,3,0,3,3,2,1,2,0,1,11
2023-24,WBB,Memorial,W20231006MUNUBC,Hannah Green,1,1,25,1,3,2,6,4,6,1,4,5,2,1,1,0,0,11
2023-24,WBB,Memorial,W20231006MUNUBC,Malva Gyllenhammar Ekelof,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-24,WBB,Memorial,W20231006MUNUBC,Claire Hickman,1,0,16,0,0,2,5,0,0,3,1,4,1,0,1,0,0,4
2023-24,WBB,Memorial,W20231006MUNUBC,Alyssa Jenkins,1,0,14,0,0,2,2,4,5,0,3,3,1,0,0,0,0,8
2023-24,WBB,Memorial,W20231006MUNUBC,Brooke LeDevehat,1,0,20,0,2,1,3,0,0,0,1,1,0,0,1,0,0,2
2023-24,WBB,Memorial,W20231006MUNUBC,Erin Long,1,1,21,0,0,2,2,0,0,2,2,4,2,1,4,0,0,4
2023-24,WBB,Memorial,W20231006MUNUBC,Eavan McLaughlin,1,0,12,0,0,1,3,0,0,0,1,1,1,0,3,0,1,2
2023-24,WBB,Memorial,W20231006MUNUBC,Laura Murray,1,1,20,0,1,0,1,0,0,0,0,0,4,1,1,0,0,0
2023-24,WBB,Memorial,W20231006MUNUBC,Alana Short,1,1,30,1,4,7,12,6,6,1,3,4,3,2,0,0,0,23
2023-24,WBB,Memorial,W20231006MUNUBC,team-memorial,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023-24,WBB,Memorial,W20231008MUNWLU,Sarah-Kim Cote,1,0,8,0,0,1,2,2,2,0,3,3,0,0,1,0,0,4
2023-24,WBB,Memorial,W20231008MUNWLU,Rebecka Ekstrom,1,1,36,1,7,2,7,1,2,0,3,3,0,1,0,0,1,8
2023-24,WBB,Memorial,W20231008MUNWLU,Hannah Green,1,1,26,0,2,1,2,1,2,0,6,6,2,1,2,0,2,3
2023-24,WBB,Memorial,W20231008MUNWLU,Malva Gyllenhammar Ekelof,1,0,18,1,1,1,4,0,0,1,0,1,1,0,1,0,0,5
2023-24,WBB,Memorial,W20231008MUNWLU,Claire Hickman,1,0,14,0,0,1,4,0,0,3,4,7,4,0,1,2,0,2
2023-24,WBB,Memorial,W20231008MUNWLU,Alyssa Jenkins,1,0,8,0,0,2,2,4,5,0,1,1,1,1,0,0,2,8
2023-24,WBB,Memorial,W20231008MUNWLU,Brooke LeDevehat,1,0,8,0,2,1,1,0,0,0,0,0,0,1,2,0,2,2
2023-24,WBB,Memorial,W20231008MUNWLU,Erin Long,1,1,25,0,0,2,3,0,0,1,1,2,0,0,1,0,0,4
2023-24,WBB,Memorial,W20231008MUNWLU,Eavan McLaughlin,1,0,8,0,0,0,1,0,0,0,2,2,1,0,2,0,1,0
2023-24,WBB,Memorial,W20231008MUNWLU,Laura Murray,1,1,13,1,2,0,2,0,0,0,1,1,1,0,0,0,0,3
2023-24,WBB,Memorial,W20231008MUNWLU,Alana Short,1,1,37,0,2,6,10,5,6,4,5,9,0,0,1,1,2,17
2023-24,WBB,Memorial,W20231009MUNWLU,Sarah-Kim Cote,1,0,15,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
2023-24,WBB,Memorial,W20231009MUNWLU,Rebecka Ekstrom,1,1,25,1,5,1,5,1,1,0,5,5,0,0,5,0,0,6
