Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Nipissing,W20230929UNBNIP,Dominique Bouchard,1,0,18,2,3,1,3,0,0,0,1,1,0,1,2,0,0,8
2023-24,WBB,Nipissing,W20230929UNBNIP,Nicole Budd,1,1,7,0,1,1,1,0,0,1,0,1,0,0,1,0,0,2
2023-24,WBB,Nipissing,W20230929UNBNIP,Katelyn Decook,1,1,31,0,0,2,5,2,2,1,3,4,1,2,0,0,1,6
2023-24,WBB,Nipissing,W20230929UNBNIP,Brianna Dodd,1,0,9,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0
2023-24,WBB,Nipissing,W20230929UNBNIP,Taryn Gauthier,1,1,40,0,2,4,12,5,6,1,3,4,1,2,7,0,0,13
2023-24,WBB,Nipissing,W20230929UNBNIP,Lucy Lafrance,1,0,7,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0
2023-24,WBB,Nipissing,W20230929UNBNIP,Sydney Lake,1,0,10,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
2023-24,WBB,Nipissing,W20230929UNBNIP,Megan McCarter,1,1,28,1,2,4,11,6,7,4,4,8,4,3,4,0,2,17
2023-24,WBB,Nipissing,W20230929UNBNIP,Sophie Milner,1,1,30,1,8,4,10,5,6,7,4,11,4,3,7,1,1,16
2023-24,WBB,Nipissing,W20230929UNBNIP,Chantal Piche,1,0,21,1,4,0,0,0,0,1,2,3,0,1,0,0,0,3
2023-24,WBB,Nipissing,W20230929UNBNIP,team-nipissing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Nipissing,W20230930SMUNIP,Dominique Bouchard,1,0,9,0,0,0,0,0,0,1,1,2,4,1,1,0,0,0
2023-24,WBB,Nipissing,W20230930SMUNIP,Katelyn Decook,1,1,28,0,0,0,6,0,0,2,7,9,1,1,1,0,0,0
2023-24,WBB,Nipissing,W20230930SMUNIP,Brianna Dodd,1,0,24,3,7,0,0,2,4,0,3,3,1,4,1,0,1,11
2023-24,WBB,Nipissing,W20230930SMUNIP,Taryn Gauthier,1,1,28,2,2,1,5,3,4,0,3,3,4,3,4,0,2,11
2023-24,WBB,Nipissing,W20230930SMUNIP,Lucy Lafrance,1,0,5,0,0,1,1,0,0,0,3,3,1,1,2,0,0,2
2023-24,WBB,Nipissing,W20230930SMUNIP,Sydney Lake,1,0,5,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0
2023-24,WBB,Nipissing,W20230930SMUNIP,Megan McCarter,1,1,37,2,7,4,13,0,0,2,10,12,3,0,7,0,2,14
2023-24,WBB,Nipissing,W20230930SMUNIP,Sophie Milner,1,1,32,1,5,2,10,0,0,6,3,9,3,4,7,0,1,7
2023-24,WBB,Nipissing,W20230930SMUNIP,Chantal Piche,1,1,32,3,9,0,2,0,0,0,1,1,1,0,5,0,1,9
2023-24,WBB,Nipissing,W20230930SMUNIP,team-nipissing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Nipissing,W20231001LAVNIP,Dominique Bouchard,1,0,20,0,1,0,2,0,0,2,0,2,2,1,1,0,0,0
2023-24,WBB,Nipissing,W20231001LAVNIP,Katelyn Decook,1,1,25,0,0,1,3,0,0,1,2,3,1,1,5,0,0,2
2023-24,WBB,Nipissing,W20231001LAVNIP,Brianna Dodd,1,0,21,1,4,0,0,0,0,1,3,4,0,2,6,0,0,3
2023-24,WBB,Nipissing,W20231001LAVNIP,Taryn Gauthier,1,1,35,0,3,1,5,2,2,0,4,4,3,6,7,0,1,4
2023-24,WBB,Nipissing,W20231001LAVNIP,Lucy Lafrance,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Nipissing,W20231001LAVNIP,Sydney Lake,1,0,12,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
2023-24,WBB,Nipissing,W20231001LAVNIP,Megan McCarter,1,1,20,1,2,2,4,1,4,1,0,1,1,1,0,0,0,8
2023-24,WBB,Nipissing,W20231001LAVNIP,Sophie Milner,1,1,31,2,4,5,12,0,2,2,2,4,4,1,5,1,0,16
2023-24,WBB,Nipissing,W20231001LAVNIP,Chantal Piche,1,1,28,1,7,2,3,0,2,2,2,4,2,0,5,0,1,7
2023-24,WBB,Nipissing,W20231006WINNIP,Dominique Bouchard,1,0,6,1,1,2,4,0,0,0,0,0,1,0,0,0,0,7
2023-24,WBB,Nipissing,W20231006WINNIP,Katelyn Decook,1,1,34,0,2,1,5,1,1,1,1,2,2,0,1,0,0,3
2023-24,WBB,Nipissing,W20231006WINNIP,Brianna Dodd,1,1,34,1,1,0,0,0,0,0,2,2,3,1,0,0,0,3
2023-24,WBB,Nipissing,W20231006WINNIP,Makayla Fleischfresser,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Nipissing,W20231006WINNIP,Lucy Lafrance,1,0,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2
2023-24,WBB,Nipissing,W20231006WINNIP,Sydney Lake,1,0,4,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0
2023-24,WBB,Nipissing,W20231006WINNIP,Megan McCarter,1,1,36,0,1,3,4,4,4,0,1,1,0,0,3,0,0,10
2023-24,WBB,Nipissing,W20231006WINNIP,Sophie Milner,1,1,34,1,1,1,1,0,0,0,1,1,4,0,0,0,0,5
