Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Ontario Tech,W20231005ONTNBC,Adra Barnet,1,1,33,0,2,2,10,5,8,2,4,6,1,4,4,0,1,9
2023-24,WBB,Ontario Tech,W20231005ONTNBC,Ellycea Burke,1,0,16,0,2,1,1,0,0,0,1,1,0,0,2,0,0,2
2023-24,WBB,Ontario Tech,W20231005ONTNBC,Elliot Cowan,1,1,31,0,4,1,5,0,1,3,1,4,0,1,0,0,0,2
2023-24,WBB,Ontario Tech,W20231005ONTNBC,Zaria Dean,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2023-24,WBB,Ontario Tech,W20231005ONTNBC,Allie Dunnett,1,1,32,3,10,3,8,2,4,1,5,6,3,1,1,1,0,17
2023-24,WBB,Ontario Tech,W20231005ONTNBC,Zoey-Anna Hemeon,1,1,32,1,2,0,3,0,0,3,3,6,2,2,1,0,1,3
2023-24,WBB,Ontario Tech,W20231005ONTNBC,Monalique Knights,1,0,16,1,1,3,10,0,0,1,6,7,2,1,0,0,0,9
2023-24,WBB,Ontario Tech,W20231005ONTNBC,Marie Stasiuk,1,0,6,0,3,1,2,0,0,2,2,4,2,3,2,0,1,2
2023-24,WBB,Ontario Tech,W20231005ONTNBC,Sherlyne Tesoy Andres,1,0,6,2,2,0,2,0,0,2,1,3,1,0,0,0,0,6
2023-24,WBB,Ontario Tech,W20231005ONTNBC,Felicity Villarin,1,1,29,0,3,1,5,0,2,0,0,0,3,1,5,0,3,2
2023-24,WBB,Ontario Tech,W20231006TORONT,Adra Barnet,1,1,11,1,3,3,8,6,11,0,3,3,3,0,3,0,0,15
2023-24,WBB,Ontario Tech,W20231006TORONT,Ellycea Burke,1,0,11,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0
2023-24,WBB,Ontario Tech,W20231006TORONT,Elliot Cowan,1,1,18,0,1,3,6,0,0,5,7,12,1,1,4,0,0,6
2023-24,WBB,Ontario Tech,W20231006TORONT,Zaria Dean,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Ontario Tech,W20231006TORONT,Allie Dunnett,1,1,16,2,9,0,1,4,7,1,3,4,2,2,1,0,2,10
2023-24,WBB,Ontario Tech,W20231006TORONT,Zoey-Anna Hemeon,1,1,21,1,3,2,5,0,0,0,1,1,4,0,1,0,1,7
2023-24,WBB,Ontario Tech,W20231006TORONT,Monalique Knights,1,0,10,0,0,4,5,2,2,0,3,3,1,0,1,0,0,10
2023-24,WBB,Ontario Tech,W20231006TORONT,Marie Stasiuk,1,0,1,0,1,1,3,0,0,1,1,2,1,0,0,0,0,2
2023-24,WBB,Ontario Tech,W20231006TORONT,Felicity Villarin,1,1,25,1,4,5,11,4,5,0,8,8,1,5,4,0,1,17
2023-24,WBB,Ontario Tech,W20231007CONONT,Adra Barnet,1,1,66,2,4,1,7,6,7,1,5,6,3,0,7,0,2,14
2023-24,WBB,Ontario Tech,W20231007CONONT,Ellycea Burke,1,0,27,0,0,1,4,1,3,2,0,2,0,3,2,0,1,3
2023-24,WBB,Ontario Tech,W20231007CONONT,Elliot Cowan,1,1,56,0,2,2,2,0,0,0,3,3,2,0,1,0,0,4
2023-24,WBB,Ontario Tech,W20231007CONONT,Zaria Dean,1,0,14,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0
2023-24,WBB,Ontario Tech,W20231007CONONT,Allie Dunnett,1,1,75,2,10,2,8,0,0,1,5,6,3,1,2,0,3,10
2023-24,WBB,Ontario Tech,W20231007CONONT,Zoey-Anna Hemeon,1,1,75,0,0,0,3,0,0,1,7,8,4,1,1,0,0,0
2023-24,WBB,Ontario Tech,W20231007CONONT,Monalique Knights,1,0,17,0,1,2,5,2,3,0,1,1,3,0,3,0,0,6
2023-24,WBB,Ontario Tech,W20231007CONONT,Felicity Villarin,1,1,72,1,4,1,6,4,4,2,3,5,0,2,9,0,1,9
2023-24,WBB,Ontario Tech,W20231013ONTOTH,Amarachi Achioso,1,0,23,0,0,1,4,2,2,3,5,8,1,0,3,0,1,4
2023-24,WBB,Ontario Tech,W20231013ONTOTH,Adra Barnet,1,1,34,1,2,3,12,1,3,1,2,3,2,2,3,0,0,10
2023-24,WBB,Ontario Tech,W20231013ONTOTH,Ellycea Burke,1,1,29,0,1,1,4,2,2,0,0,0,2,0,0,0,2,4
2023-24,WBB,Ontario Tech,W20231013ONTOTH,Zaria Dean,1,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2
2023-24,WBB,Ontario Tech,W20231013ONTOTH,Allie Dunnett,1,1,24,3,9,1,6,1,1,1,1,2,2,1,0,1,1,12
2023-24,WBB,Ontario Tech,W20231013ONTOTH,Zoey-Anna Hemeon,1,1,27,0,2,2,4,0,0,0,1,1,2,1,1,0,0,4
2023-24,WBB,Ontario Tech,W20231013ONTOTH,Monalique Knights,1,0,22,1,2,0,2,2,4,0,5,5,1,0,1,0,0,5
2023-24,WBB,Ontario Tech,W20231013ONTOTH,Marie Stasiuk,1,0,13,0,4,1,3,0,0,1,3,4,2,1,0,0,0,2
2023-24,WBB,Ontario Tech,W20231013ONTOTH,Felicity Villarin,1,1,25,0,0,1,5,4,4,1,2,3,4,2,7,0,0,6
2023-24,WBB,Ontario Tech,W20231102ONTLAU,Amarachi Achioso,1,1,33,0,1,3,5,4,4,2,0,2,3,0,0,0,0,10
2023-24,WBB,Ontario Tech,W20231102ONTLAU,Adra Barnet,1,1,22,0,0,3,9,2,3,1,4,5,3,1,7,0,0,8
2023-24,WBB,Ontario Tech,W20231102ONTLAU,Ellycea Burke,1,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
2023-24,WBB,Ontario Tech,W20231102ONTLAU,Zaria Dean,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2023-24,WBB,Ontario Tech,W20231102ONTLAU,Allie Dunnett,1,1,26,1,9,0,3,0,0,0,2,2,1,0,0,2,0,3
2023-24,WBB,Ontario Tech,W20231102ONTLAU,Zoey-Anna Hemeon,1,1,33,0,1,1,2,0,0,1,3,4,0,0,2,1,0,2
2023-24,WBB,Ontario Tech,W20231102ONTLAU,Monalique Knights,1,0,14,1,1,1,3,0,0,0,3,3,2,1,0,0,0,5
2023-24,WBB,Ontario Tech,W20231102ONTLAU,Marie Stasiuk,1,0,13,1,4,0,2,0,0,0,0,0,1,0,1,0,0,3
2023-24,WBB,Ontario Tech,W20231102ONTLAU,team-ontario tech,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023-24,WBB,Ontario Tech,W20231102ONTLAU,Felicity Villarin,1,1,24,0,1,5,13,2,2,2,1,3,1,2,8,0,1,12
2023-24,WBB,Ontario Tech,W20231105ONTNIP,Amarachi Achioso,1,1,26,0,0,4,8,3,3,3,1,4,2,0,0,0,3,11
2023-24,WBB,Ontario Tech,W20231105ONTNIP,Adra Barnet,1,1,35,0,5,4,11,6,8,1,5,6,2,3,2,1,3,14
2023-24,WBB,Ontario Tech,W20231105ONTNIP,Ellycea Burke,1,0,21,0,3,1,3,0,2,1,1,2,1,1,0,0,1,2
2023-24,WBB,Ontario Tech,W20231105ONTNIP,Elliot Cowan,1,0,24,1,2,1,4,0,0,0,3,3,1,1,5,1,0,5
2023-24,WBB,Ontario Tech,W20231105ONTNIP,Zaria Dean,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Ontario Tech,W20231105ONTNIP,Allie Dunnett,1,1,16,0,5,1,2,0,0,1,1,2,1,0,3,0,0,2
2023-24,WBB,Ontario Tech,W20231105ONTNIP,Zoey-Anna Hemeon,1,1,20,0,1,0,1,0,0,1,0,1,3,1,2,2,1,0
2023-24,WBB,Ontario Tech,W20231105ONTNIP,Monalique Knights,1,0,18,0,2,2,4,0,3,0,5,5,1,0,0,0,1,4
2023-24,WBB,Ontario Tech,W20231105ONTNIP,Marie Stasiuk,1,0,13,1,3,0,1,2,2,0,4,4,1,1,0,1,0,5
2023-24,WBB,Ontario Tech,W20231105ONTNIP,team-ontario tech,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023-24,WBB,Ontario Tech,W20231105ONTNIP,Felicity Villarin,1,1,25,1,2,3,7,2,2,1,4,5,3,3,4,0,3,11
2023-24,WBB,Ontario Tech,W20231110NIPONT,Amarachi Achioso,1,1,28,0,0,2,3,1,2,1,4,5,2,0,2,0,1,5
2023-24,WBB,Ontario Tech,W20231110NIPONT,Adra Barnet,1,1,36,0,2,6,15,2,4,1,7,8,1,3,3,0,0,14
2023-24,WBB,Ontario Tech,W20231110NIPONT,Ellycea Burke,1,0,9,0,0,3,3,0,0,0,0,0,2,1,0,0,0,6
2023-24,WBB,Ontario Tech,W20231110NIPONT,Elliot Cowan,1,1,34,0,2,0,5,1,2,1,3,4,3,4,0,0,0,1
2023-24,WBB,Ontario Tech,W20231110NIPONT,Zaria Dean,1,0,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,2
