Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Saint Mary's,W20230929SMULAV,Lucina Beaumont,1,1,26,0,1,4,11,0,0,2,8,10,2,2,1,4,1,8
2023-24,WBB,Saint Mary's,W20230929SMULAV,Julia Black,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Saint Mary's,W20230929SMULAV,Emily Dikdan,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2023-24,WBB,Saint Mary's,W20230929SMULAV,Courtney Donaldson,1,1,26,2,4,1,4,0,1,0,4,4,1,4,4,0,0,8
2023-24,WBB,Saint Mary's,W20230929SMULAV,Aliyah Fraser,1,0,13,1,5,0,0,2,2,1,1,2,1,1,2,1,1,5
2023-24,WBB,Saint Mary's,W20230929SMULAV,Clara Gascoigne,1,1,30,0,1,2,3,1,2,2,6,8,2,1,3,0,0,5
2023-24,WBB,Saint Mary's,W20230929SMULAV,Aki Kobayashi,1,0,17,1,1,1,4,1,2,2,1,3,0,1,1,0,1,6
2023-24,WBB,Saint Mary's,W20230929SMULAV,Alaina McMillan,1,1,32,3,5,1,3,4,6,0,4,4,1,8,2,0,2,15
2023-24,WBB,Saint Mary's,W20230929SMULAV,Katelyn Power,1,1,17,0,0,3,4,1,1,0,2,2,4,3,1,0,1,7
2023-24,WBB,Saint Mary's,W20230929SMULAV,Marlo Steenbakkers,1,0,17,0,4,3,5,0,0,3,5,8,1,0,1,1,2,6
2023-24,WBB,Saint Mary's,W20230929SMULAV,Chloe Wilson,1,0,14,1,2,1,9,0,0,2,0,2,2,0,3,0,0,5
2023-24,WBB,Saint Mary's,W20230930SMUNIP,Lucina Beaumont,1,1,23,0,2,5,11,1,2,3,5,8,2,1,2,2,0,11
2023-24,WBB,Saint Mary's,W20230930SMUNIP,Georgia Bell,1,0,3,0,2,0,1,2,2,1,0,1,0,0,0,0,0,2
2023-24,WBB,Saint Mary's,W20230930SMUNIP,Julia Black,1,0,4,1,2,0,0,0,0,0,0,0,1,0,1,0,0,3
2023-24,WBB,Saint Mary's,W20230930SMUNIP,Emily Dikdan,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Saint Mary's,W20230930SMUNIP,Courtney Donaldson,1,1,29,0,3,1,5,4,4,1,4,5,0,4,0,0,8,6
2023-24,WBB,Saint Mary's,W20230930SMUNIP,Aliyah Fraser,1,0,11,1,3,1,2,0,0,0,0,0,2,1,2,0,1,5
2023-24,WBB,Saint Mary's,W20230930SMUNIP,Clara Gascoigne,1,1,28,0,1,3,6,0,0,2,3,5,1,1,3,3,3,6
2023-24,WBB,Saint Mary's,W20230930SMUNIP,Aki Kobayashi,1,0,16,0,1,2,4,4,4,1,4,5,2,2,1,1,3,8
2023-24,WBB,Saint Mary's,W20230930SMUNIP,Alaina McMillan,1,1,31,0,3,4,9,2,4,0,6,6,2,4,4,0,4,10
2023-24,WBB,Saint Mary's,W20230930SMUNIP,Katelyn Power,1,1,19,0,0,1,5,2,6,1,2,3,1,1,0,1,2,4
2023-24,WBB,Saint Mary's,W20230930SMUNIP,Marlo Steenbakkers,1,0,17,0,1,1,2,1,2,1,6,7,0,0,1,1,0,3
2023-24,WBB,Saint Mary's,W20230930SMUNIP,Chloe Wilson,1,0,19,0,0,2,5,4,8,1,2,3,1,2,1,1,0,8
2023-24,WBB,Saint Mary's,W20231001UNBSMU,Lucina Beaumont,1,1,21,2,3,6,10,2,2,1,4,5,1,1,0,0,1,20
2023-24,WBB,Saint Mary's,W20231001UNBSMU,Georgia Bell,1,0,7,0,0,0,1,2,2,0,0,0,1,0,0,0,0,2
2023-24,WBB,Saint Mary's,W20231001UNBSMU,Julia Black,1,0,7,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0
2023-24,WBB,Saint Mary's,W20231001UNBSMU,Emily Dikdan,1,0,17,0,0,0,3,2,2,0,3,3,0,0,3,0,0,2
2023-24,WBB,Saint Mary's,W20231001UNBSMU,Courtney Donaldson,1,1,21,1,3,2,5,2,2,0,4,4,1,4,2,0,7,9
2023-24,WBB,Saint Mary's,W20231001UNBSMU,McKenna Dunn,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Saint Mary's,W20231001UNBSMU,Aliyah Fraser,1,0,16,0,2,1,2,1,3,0,1,1,4,1,2,0,0,3
2023-24,WBB,Saint Mary's,W20231001UNBSMU,Clara Gascoigne,1,1,22,0,1,3,3,0,0,1,7,8,0,3,2,1,1,6
2023-24,WBB,Saint Mary's,W20231001UNBSMU,Aki Kobayashi,1,0,21,1,2,1,3,5,6,2,4,6,3,2,3,0,1,10
2023-24,WBB,Saint Mary's,W20231001UNBSMU,Alaina McMillan,1,1,22,1,5,2,4,0,0,1,1,2,0,3,1,0,2,7
2023-24,WBB,Saint Mary's,W20231001UNBSMU,Katelyn Power,1,1,12,0,0,1,2,0,0,0,3,3,3,1,3,0,0,2
2023-24,WBB,Saint Mary's,W20231001UNBSMU,Marlo Steenbakkers,1,0,7,0,1,2,3,0,0,0,3,3,2,0,0,1,0,4
2023-24,WBB,Saint Mary's,W20231001UNBSMU,Chloe Wilson,1,0,23,1,3,1,2,4,4,0,5,5,3,0,1,1,1,9
2023-24,WBB,Saint Mary's,W20231013SMULAU,Lucina Beaumont,1,1,20,1,4,5,7,6,7,7,7,14,3,1,0,1,2,19
2023-24,WBB,Saint Mary's,W20231013SMULAU,Georgia Bell,1,0,10,0,1,0,3,2,2,0,1,1,0,1,0,0,0,2
2023-24,WBB,Saint Mary's,W20231013SMULAU,Courtney Donaldson,1,0,13,3,5,2,3,3,4,0,3,3,0,2,0,0,1,16
2023-24,WBB,Saint Mary's,W20231013SMULAU,McKenna Dunn,1,0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
2023-24,WBB,Saint Mary's,W20231013SMULAU,Aliyah Fraser,1,0,23,3,8,1,4,0,2,1,1,2,0,0,4,1,0,11
2023-24,WBB,Saint Mary's,W20231013SMULAU,Clara Gascoigne,1,1,22,2,4,2,4,0,0,0,4,4,0,1,1,0,2,10
2023-24,WBB,Saint Mary's,W20231013SMULAU,Aki Kobayashi,1,1,29,0,2,4,4,2,2,1,1,2,0,7,2,0,1,10
2023-24,WBB,Saint Mary's,W20231013SMULAU,Alaina McMillan,1,1,20,1,3,0,3,2,4,0,4,4,0,4,2,0,1,5
2023-24,WBB,Saint Mary's,W20231013SMULAU,Katelyn Power,1,1,29,0,0,2,5,0,0,2,9,11,2,0,2,1,3,4
2023-24,WBB,Saint Mary's,W20231013SMULAU,Marlo Steenbakkers,1,0,20,0,2,0,2,0,0,1,3,4,1,0,2,3,1,0
2023-24,WBB,Saint Mary's,W20231013SMULAU,Chloe Wilson,1,0,10,0,1,0,2,1,2,0,2,2,5,0,1,0,2,1
2023-24,WBB,Saint Mary's,W20231014SMUMAC,Lucina Beaumont,1,1,21,1,3,4,6,2,4,3,3,6,1,3,1,0,1,13
2023-24,WBB,Saint Mary's,W20231014SMUMAC,Georgia Bell,1,0,15,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Saint Mary's,W20231014SMUMAC,Courtney Donaldson,1,1,20,5,8,1,2,0,0,0,1,1,1,2,2,0,0,17
2023-24,WBB,Saint Mary's,W20231014SMUMAC,McKenna Dunn,1,0,7,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1
2023-24,WBB,Saint Mary's,W20231014SMUMAC,Aliyah Fraser,1,0,21,6,9,1,2,3,4,0,2,2,1,2,6,1,1,23
2023-24,WBB,Saint Mary's,W20231014SMUMAC,Clara Gascoigne,1,1,30,0,3,2,5,4,4,3,5,8,2,6,2,1,3,8
2023-24,WBB,Saint Mary's,W20231014SMUMAC,Aki Kobayashi,1,1,25,0,1,3,7,1,2,2,2,4,0,8,3,0,2,7
2023-24,WBB,Saint Mary's,W20231014SMUMAC,Katelyn Power,1,1,19,0,0,4,6,0,0,5,4,9,0,2,1,1,0,8
2023-24,WBB,Saint Mary's,W20231014SMUMAC,Marlo Steenbakkers,1,0,18,0,0,5,7,2,5,2,3,5,1,1,2,0,2,12
2023-24,WBB,Saint Mary's,W20231014SMUMAC,Chloe Wilson,1,0,24,0,1,6,10,4,4,2,3,5,0,3,1,0,1,16
2023-24,WBB,Saint Mary's,W20231015SMULET,Lucina Beaumont,1,1,30,0,1,5,9,0,0,3,5,8,0,3,2,1,2,10
2023-24,WBB,Saint Mary's,W20231015SMULET,Georgia Bell,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Saint Mary's,W20231015SMULET,Courtney Donaldson,1,1,21,0,6,5,9,2,2,0,2,2,0,1,2,0,1,12
2023-24,WBB,Saint Mary's,W20231015SMULET,Aliyah Fraser,1,0,13,0,3,1,2,1,2,1,2,3,5,0,1,0,0,3
2023-24,WBB,Saint Mary's,W20231015SMULET,Clara Gascoigne,1,1,28,2,3,4,5,0,0,0,5,5,1,1,2,1,2,14
2023-24,WBB,Saint Mary's,W20231015SMULET,Aki Kobayashi,1,0,14,0,0,2,6,2,2,0,2,2,1,3,3,0,1,6
2023-24,WBB,Saint Mary's,W20231015SMULET,Alaina McMillan,1,1,33,1,7,1,6,0,0,1,1,2,0,4,4,0,2,5
2023-24,WBB,Saint Mary's,W20231015SMULET,Katelyn Power,1,1,19,0,0,5,7,0,0,5,3,8,2,0,5,1,2,10
2023-24,WBB,Saint Mary's,W20231015SMULET,Marlo Steenbakkers,1,0,16,1,1,2,3,0,0,1,3,4,1,0,0,0,1,7
2023-24,WBB,Saint Mary's,W20231015SMULET,team-saint marys,1,0,0,0,0,0,0,0,0,2,7,9,0,0,0,0,0,0
2023-24,WBB,Saint Mary's,W20231015SMULET,Chloe Wilson,1,0,22,1,3,3,8,1,1,3,6,9,1,1,0,0,0,10
2023-24,WBB,Saint Mary's,W20231020CARSMU,Lucina Beaumont,1,1,32,2,3,2,6,0,1,3,4,7,3,0,2,2,0,10
2023-24,WBB,Saint Mary's,W20231020CARSMU,Courtney Donaldson,1,1,30,2,7,5,10,0,0,0,4,4,1,2,4,0,0,16
2023-24,WBB,Saint Mary's,W20231020CARSMU,Aliyah Fraser,1,0,11,0,3,0,1,0,0,0,2,2,1,0,1,0,0,0
2023-24,WBB,Saint Mary's,W20231020CARSMU,Clara Gascoigne,1,1,35,1,3,2,6,2,4,0,6,6,2,3,3,0,2,9
2023-24,WBB,Saint Mary's,W20231020CARSMU,Aki Kobayashi,1,0,18,1,2,1,4,0,1,1,1,2,0,0,1,0,0,5
2023-24,WBB,Saint Mary's,W20231020CARSMU,Alaina McMillan,1,1,30,1,5,1,2,2,2,1,5,6,3,1,5,1,1,7
2023-24,WBB,Saint Mary's,W20231020CARSMU,Katelyn Power,1,1,24,0,0,1,5,0,2,1,2,3,4,1,1,0,1,2
2023-24,WBB,Saint Mary's,W20231020CARSMU,Marlo Steenbakkers,1,0,10,1,2,0,1,0,0,0,3,3,0,0,0,1,0,3
2023-24,WBB,Saint Mary's,W20231020CARSMU,Chloe Wilson,1,0,10,0,1,2,5,0,0,0,3,3,2,0,1,0,0,4
2023-24,WBB,Saint Mary's,W20231021OTTSMU,Lucina Beaumont,1,1,18,1,2,2,5,6,7,6,2,8,5,1,2,1,0,13
2023-24,WBB,Saint Mary's,W20231021OTTSMU,Courtney Donaldson,1,1,32,1,3,4,8,4,4,2,8,10,1,2,3,0,1,15
2023-24,WBB,Saint Mary's,W20231021OTTSMU,Aliyah Fraser,1,0,10,1,1,0,3,2,2,3,0,3,2,0,4,1,1,5
2023-24,WBB,Saint Mary's,W20231021OTTSMU,Clara Gascoigne,1,1,34,0,3,0,6,2,4,0,5,5,1,3,0,1,1,2
2023-24,WBB,Saint Mary's,W20231021OTTSMU,Aki Kobayashi,1,0,25,2,3,2,6,2,2,0,2,2,2,1,3,0,1,12
2023-24,WBB,Saint Mary's,W20231021OTTSMU,Alaina McMillan,1,1,20,0,5,2,5,2,2,1,1,2,4,1,6,0,2,6
2023-24,WBB,Saint Mary's,W20231021OTTSMU,Katelyn Power,1,1,18,0,0,1,2,0,0,2,4,6,0,0,1,0,1,2
2023-24,WBB,Saint Mary's,W20231021OTTSMU,Marlo Steenbakkers,1,0,19,0,2,2,5,0,0,1,5,6,3,0,1,0,0,4
2023-24,WBB,Saint Mary's,W20231021OTTSMU,team-saint marys,1,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0
2023-24,WBB,Saint Mary's,W20231021OTTSMU,Chloe Wilson,1,0,26,0,0,2,6,1,2,1,5,6,2,2,1,0,0,5
2023-24,WBB,Saint Mary's,W20231022LAUSMU,Lucina Beaumont,1,1,26,0,2,3,7,6,6,3,4,7,0,0,4,0,2,12
2023-24,WBB,Saint Mary's,W20231022LAUSMU,Georgia Bell,1,0,9,0,2,0,1,0,0,1,1,2,4,0,0,0,0,0
2023-24,WBB,Saint Mary's,W20231022LAUSMU,Julia Black,1,0,14,0,2,0,0,0,0,0,2,2,1,0,2,0,1,0
2023-24,WBB,Saint Mary's,W20231022LAUSMU,Courtney Donaldson,1,1,26,4,7,4,5,3,3,0,4,4,3,0,0,0,1,23
2023-24,WBB,Saint Mary's,W20231022LAUSMU,Aliyah Fraser,1,0,8,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0
2023-24,WBB,Saint Mary's,W20231022LAUSMU,Clara Gascoigne,1,1,17,0,3,0,2,0,0,0,5,5,1,1,0,0,0,0
2023-24,WBB,Saint Mary's,W20231022LAUSMU,Aki Kobayashi,1,0,16,1,3,2,2,0,0,0,2,2,1,4,2,0,4,7
2023-24,WBB,Saint Mary's,W20231022LAUSMU,Alaina McMillan,1,1,32,0,4,3,6,2,3,0,4,4,3,2,3,0,2,8
2023-24,WBB,Saint Mary's,W20231022LAUSMU,Katelyn Power,1,1,16,0,0,0,2,0,0,0,1,1,3,1,2,0,2,0
2023-24,WBB,Saint Mary's,W20231022LAUSMU,Marlo Steenbakkers,1,0,17,0,0,2,4,1,2,2,3,5,1,1,0,0,1,5
2023-24,WBB,Saint Mary's,W20231022LAUSMU,team-saint marys,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Saint Mary's,W20231022LAUSMU,Chloe Wilson,1,0,20,0,0,3,7,5,7,3,5,8,1,0,0,1,0,11
2023-24,WBB,Saint Mary's,W20231026SMUACA,Lucina Beaumont,1,1,33,1,4,4,7,2,2,2,9,11,2,1,1,1,0,13
