Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Saskatchewan,W20230929PEISSK,Carly Ahlstrom,1,1,23,0,3,1,3,2,4,2,5,7,4,1,2,0,1,4
2023-24,WBB,Saskatchewan,W20230929PEISSK,Tea DeMong,1,1,28,2,3,6,9,1,1,1,3,4,1,3,1,1,3,19
2023-24,WBB,Saskatchewan,W20230929PEISSK,Andrea Dodig,1,1,31,1,2,1,4,0,0,2,4,6,2,1,8,0,2,5
2023-24,WBB,Saskatchewan,W20230929PEISSK,Rose Fall,1,0,8,0,0,1,2,0,0,2,5,7,0,0,2,0,0,2
2023-24,WBB,Saskatchewan,W20230929PEISSK,Maya Flindall,1,0,19,0,0,4,10,0,1,1,2,3,0,1,2,0,2,8
2023-24,WBB,Saskatchewan,W20230929PEISSK,Gage Grassick,1,1,20,1,3,8,10,2,4,1,1,2,2,2,3,1,4,21
2023-24,WBB,Saskatchewan,W20230929PEISSK,Anna Maelde,1,0,7,0,0,1,2,0,0,2,1,3,1,0,0,0,1,2
2023-24,WBB,Saskatchewan,W20230929PEISSK,Courtney Primeau,1,0,29,0,0,5,6,2,3,8,5,13,3,3,2,1,0,12
2023-24,WBB,Saskatchewan,W20230929PEISSK,Logan Reider,1,1,25,1,4,0,5,1,2,0,0,0,2,1,1,0,2,4
2023-24,WBB,Saskatchewan,W20230929PEISSK,team-saskatchewan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Saskatchewan,W20230929PEISSK,Lucia Zilinska,1,0,11,0,0,4,9,0,0,5,3,8,1,0,1,0,0,8
2023-24,WBB,Saskatchewan,W20230930ACASSK,Carly Ahlstrom,1,1,26,1,8,4,6,0,1,2,1,3,3,0,5,0,1,11
2023-24,WBB,Saskatchewan,W20230930ACASSK,Tea DeMong,1,1,32,2,3,2,6,2,7,3,3,6,1,2,1,1,1,12
2023-24,WBB,Saskatchewan,W20230930ACASSK,Andrea Dodig,1,1,31,1,2,1,3,0,2,1,6,7,2,2,2,0,1,5
2023-24,WBB,Saskatchewan,W20230930ACASSK,Rose Fall,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Saskatchewan,W20230930ACASSK,Maya Flindall,1,0,11,0,0,2,2,0,0,0,0,0,0,0,0,0,1,4
2023-24,WBB,Saskatchewan,W20230930ACASSK,Gage Grassick,1,1,36,4,10,6,11,2,4,3,6,9,1,5,4,0,3,26
2023-24,WBB,Saskatchewan,W20230930ACASSK,Courtney Primeau,1,1,29,0,0,3,7,0,2,2,1,3,3,5,0,0,2,6
2023-24,WBB,Saskatchewan,W20230930ACASSK,Logan Reider,1,0,20,2,3,0,0,2,4,0,1,1,1,0,1,0,1,8
2023-24,WBB,Saskatchewan,W20230930ACASSK,team-saskatchewan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2023-24,WBB,Saskatchewan,W20230930ACASSK,Ella Murphy Wiebe,1,0,11,0,0,2,3,0,0,1,1,2,4,0,0,0,1,4
2023-24,WBB,Saskatchewan,W20230930ACASSK,Lucia Zilinska,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2023-24,WBB,Saskatchewan,W20231001WATSSK,Carly Ahlstrom,1,1,32,6,11,0,5,2,2,0,3,3,2,1,1,5,1,20
2023-24,WBB,Saskatchewan,W20231001WATSSK,Tea DeMong,1,1,16,2,2,3,3,4,5,0,1,1,1,0,2,0,2,16
2023-24,WBB,Saskatchewan,W20231001WATSSK,Andrea Dodig,1,1,30,0,3,1,2,3,4,1,5,6,3,4,3,2,4,5
