Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Toronto,W20230922TORWAT,Thuraya Adbul Hamid,1,1,25,1,5,2,5,0,0,2,2,4,2,1,2,1,0,7
2023-24,WBB,Toronto,W20230922TORWAT,Sienna Caesar,1,0,10,0,0,1,3,4,4,1,2,3,1,0,1,1,0,6
2023-24,WBB,Toronto,W20230922TORWAT,Ella Charles,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Toronto,W20230922TORWAT,Charlotte Church,1,1,9,0,1,0,0,0,0,1,0,1,2,1,0,0,0,0
2023-24,WBB,Toronto,W20230922TORWAT,Kiara Graham,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2023-24,WBB,Toronto,W20230922TORWAT,Raya Hafez,1,0,21,1,5,0,0,0,0,1,1,2,2,2,4,0,1,3
2023-24,WBB,Toronto,W20230922TORWAT,Alexandra Jaglall,1,0,17,1,2,0,2,0,0,1,3,4,2,0,2,0,2,3
2023-24,WBB,Toronto,W20230922TORWAT,Sabrina Nero,1,1,30,0,0,2,8,0,0,3,5,8,4,0,3,4,0,4
2023-24,WBB,Toronto,W20230922TORWAT,Ellen Ougrinov,1,1,37,4,12,1,5,2,2,0,3,3,1,4,7,0,3,16
2023-24,WBB,Toronto,W20230922TORWAT,Gabrielle Reed,1,1,27,0,0,0,2,0,0,1,3,4,1,1,5,0,2,0
2023-24,WBB,Toronto,W20230922TORWAT,team-toronto,1,0,0,0,0,0,0,0,0,2,3,5,0,0,1,0,0,0
2023-24,WBB,Toronto,W20230922TORWAT,Kaylee Williams,1,0,18,3,6,0,0,0,0,0,0,0,1,0,2,0,0,9
2023-24,WBB,Toronto,W20231005CONTOR,Thuraya Adbul Hamid,1,1,26,0,4,1,5,0,2,2,5,7,3,1,1,0,3,2
2023-24,WBB,Toronto,W20231005CONTOR,Sienna Caesar,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2023-24,WBB,Toronto,W20231005CONTOR,Charlotte Church,1,0,6,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0
2023-24,WBB,Toronto,W20231005CONTOR,Raya Hafez,1,0,23,1,7,0,3,3,3,1,2,3,1,1,0,1,1,6
2023-24,WBB,Toronto,W20231005CONTOR,Alexandra Jaglall,1,0,20,1,4,0,2,4,4,2,3,5,0,1,1,0,1,7
2023-24,WBB,Toronto,W20231005CONTOR,Sabrina Nero,1,1,28,0,0,3,10,0,2,3,6,9,6,1,0,2,1,6
