Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Trinity Western,W20231013TWUMRU,Shemaiah Abatayo,1,0,26,1,6,0,5,0,0,0,0,0,0,1,4,0,2,3
2023-24,WBB,Trinity Western,W20231013TWUMRU,Jazmin Avila,1,0,14,0,0,0,3,0,0,3,1,4,0,0,1,1,1,0
2023-24,WBB,Trinity Western,W20231013TWUMRU,Sydney Bradshaw,1,1,14,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0
2023-24,WBB,Trinity Western,W20231013TWUMRU,Cassidy Buchanan,1,0,8,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2023-24,WBB,Trinity Western,W20231013TWUMRU,Gracie Corneau,1,1,17,0,0,0,3,0,0,1,4,5,1,0,2,0,2,0
2023-24,WBB,Trinity Western,W20231013TWUMRU,Jayden Gill,1,1,29,1,6,3,14,6,8,1,1,2,0,3,5,1,0,15
2023-24,WBB,Trinity Western,W20231013TWUMRU,Jenna Gill,1,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Trinity Western,W20231013TWUMRU,Blessing Ibekwe,1,0,12,0,0,0,1,0,0,0,3,3,2,0,1,0,0,0
2023-24,WBB,Trinity Western,W20231013TWUMRU,Ryann Lee,1,0,19,2,6,2,4,0,0,1,0,1,0,1,5,0,2,10
2023-24,WBB,Trinity Western,W20231013TWUMRU,Ella Parker,1,0,10,0,0,0,2,0,0,1,0,1,1,0,1,0,0,0
2023-24,WBB,Trinity Western,W20231013TWUMRU,Kailey Reimer,1,1,26,2,5,2,2,1,2,4,0,4,1,0,3,0,2,11
2023-24,WBB,Trinity Western,W20231013TWUMRU,team-trinity western,1,0,0,0,0,0,0,0,0,9,4,13,0,0,1,0,0,0
2023-24,WBB,Trinity Western,W20231013TWUMRU,Hailey Van Roekel,1,1,18,0,5,0,4,0,0,2,7,9,3,3,1,0,2,0
2023-24,WBB,Trinity Western,W20231014TWUBIS,Shemaiah Abatayo,1,0,20,3,8,1,3,0,0,0,0,0,4,2,5,0,2,11
2023-24,WBB,Trinity Western,W20231014TWUBIS,Jazmin Avila,1,0,12,0,0,1,1,0,0,0,1,1,0,1,2,0,1,2
2023-24,WBB,Trinity Western,W20231014TWUBIS,Sydney Bradshaw,1,1,21,0,1,3,6,3,3,0,0,0,1,1,1,0,3,9
2023-24,WBB,Trinity Western,W20231014TWUBIS,Cassidy Buchanan,1,0,22,0,0,1,1,0,0,3,4,7,1,1,0,0,2,2
2023-24,WBB,Trinity Western,W20231014TWUBIS,Gracie Corneau,1,1,25,0,0,3,6,1,4,2,6,8,3,1,1,1,0,7
2023-24,WBB,Trinity Western,W20231014TWUBIS,Jayden Gill,1,1,36,0,5,4,11,7,10,1,4,5,2,6,6,1,2,15
2023-24,WBB,Trinity Western,W20231014TWUBIS,Jenna Gill,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,Trinity Western,W20231014TWUBIS,Blessing Ibekwe,1,0,10,0,0,2,2,1,2,0,3,3,1,0,0,0,0,5
2023-24,WBB,Trinity Western,W20231014TWUBIS,Ryann Lee,1,0,13,3,4,0,0,0,0,0,2,2,3,2,2,0,0,9
2023-24,WBB,Trinity Western,W20231014TWUBIS,Ella Parker,1,0,5,0,0,1,1,1,2,1,0,1,0,0,1,0,0,3
2023-24,WBB,Trinity Western,W20231014TWUBIS,Kailey Reimer,1,1,20,1,2,3,3,0,0,2,5,7,0,1,4,0,1,9
2023-24,WBB,Trinity Western,W20231014TWUBIS,team-trinity western,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0
2023-24,WBB,Trinity Western,W20231014TWUBIS,Hailey Van Roekel,1,1,12,0,1,1,2,0,0,0,3,3,1,1,1,0,1,2
2023-24,WBB,Trinity Western,W20231021YRKTWU,Shemaiah Abatayo,1,0,23,3,6,1,5,0,0,1,1,2,1,4,4,0,3,11
2023-24,WBB,Trinity Western,W20231021YRKTWU,Jazmin Avila,1,0,10,0,0,1,1,0,0,1,0,1,1,0,2,0,1,2
2023-24,WBB,Trinity Western,W20231021YRKTWU,Sydney Bradshaw,1,1,17,0,0,2,3,0,1,0,2,2,0,1,0,0,0,4
2023-24,WBB,Trinity Western,W20231021YRKTWU,Cassidy Buchanan,1,0,22,0,0,2,3,0,0,1,2,3,1,0,1,0,0,4
2023-24,WBB,Trinity Western,W20231021YRKTWU,Gracie Corneau,1,1,16,0,0,1,3,0,0,2,2,4,0,0,0,0,0,2
2023-24,WBB,Trinity Western,W20231021YRKTWU,Jayden Gill,1,1,32,5,10,5,14,3,6,0,5,5,3,1,0,1,1,28
2023-24,WBB,Trinity Western,W20231021YRKTWU,Jenna Gill,1,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
2023-24,WBB,Trinity Western,W20231021YRKTWU,Blessing Ibekwe,1,0,12,0,0,1,3,1,2,1,5,6,2,0,3,1,0,3
2023-24,WBB,Trinity Western,W20231021YRKTWU,Ryann Lee,1,0,12,0,1,2,3,0,0,3,1,4,0,0,2,0,0,4
2023-24,WBB,Trinity Western,W20231021YRKTWU,Ella Parker,1,0,12,0,0,0,0,0,0,1,3,4,1,1,1,0,0,0
2023-24,WBB,Trinity Western,W20231021YRKTWU,Kailey Reimer,1,1,23,0,1,1,7,2,2,0,2,2,0,0,1,0,2,4
2023-24,WBB,Trinity Western,W20231021YRKTWU,Hailey Van Roekel,1,1,20,0,0,2,6,1,1,0,3,3,2,3,2,0,2,5
2023-24,WBB,Trinity Western,W20231028VICTWU,Shemaiah Abatayo,1,1,33,2,6,4,8,2,2,0,4,4,2,2,5,0,1,16
2023-24,WBB,Trinity Western,W20231028VICTWU,Jazmin Avila,1,0,7,0,0,0,0,0,0,1,1,2,2,1,1,0,0,0
2023-24,WBB,Trinity Western,W20231028VICTWU,Cassidy Buchanan,1,0,24,0,0,3,4,2,3,3,3,6,3,1,0,1,1,8
2023-24,WBB,Trinity Western,W20231028VICTWU,Gracie Corneau,1,1,14,0,0,2,4,0,0,2,0,2,3,0,2,1,0,4
2023-24,WBB,Trinity Western,W20231028VICTWU,Jayden Gill,1,1,35,1,7,5,9,2,2,1,1,2,1,3,2,0,2,15
2023-24,WBB,Trinity Western,W20231028VICTWU,Jenna Gill,1,0,7,0,0,0,1,0,0,2,1,3,2,3,1,0,2,0
2023-24,WBB,Trinity Western,W20231028VICTWU,Blessing Ibekwe,1,0,21,0,0,0,0,0,0,2,1,3,2,0,0,0,1,0
2023-24,WBB,Trinity Western,W20231028VICTWU,Ryann Lee,1,0,8,2,4,1,4,0,0,0,3,3,1,0,1,0,1,8
2023-24,WBB,Trinity Western,W20231028VICTWU,Ella Parker,1,0,5,0,0,1,2,0,0,1,1,2,0,0,0,0,0,2
2023-24,WBB,Trinity Western,W20231028VICTWU,Kailey Reimer,1,1,28,0,1,2,2,0,0,0,2,2,1,3,2,0,1,4
2023-24,WBB,Trinity Western,W20231028VICTWU,team-trinity western,1,0,0,0,0,0,0,0,0,3,2,5,0,0,3,0,0,0
2023-24,WBB,Trinity Western,W20231028VICTWU,Hailey Van Roekel,1,1,18,0,3,3,6,2,3,2,0,2,4,1,1,0,0,8
2023-24,WBB,Trinity Western,W20231028VICTWU,Rainy Wilson,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
2023-24,WBB,Trinity Western,W20231103TRUTWU,Shemaiah Abatayo,1,1,21,2,4,0,2,0,0,0,1,1,4,1,1,0,0,6
2023-24,WBB,Trinity Western,W20231103TRUTWU,Jazmin Avila,1,0,9,0,0,1,4,0,0,1,1,2,0,1,0,0,0,2
2023-24,WBB,Trinity Western,W20231103TRUTWU,Cassidy Buchanan,1,0,12,0,0,2,3,0,0,4,3,7,0,0,0,0,0,4
2023-24,WBB,Trinity Western,W20231103TRUTWU,Gracie Corneau,1,1,22,0,0,4,6,0,0,3,2,5,1,0,2,0,2,8
2023-24,WBB,Trinity Western,W20231103TRUTWU,Jayden Gill,1,1,36,1,8,4,14,2,4,0,1,1,1,3,4,1,2,13
2023-24,WBB,Trinity Western,W20231103TRUTWU,Jenna Gill,1,0,19,0,2,0,4,0,0,3,2,5,3,1,2,0,0,0
2023-24,WBB,Trinity Western,W20231103TRUTWU,Blessing Ibekwe,1,0,9,0,0,1,1,3,7,3,4,7,2,0,1,0,0,5
2023-24,WBB,Trinity Western,W20231103TRUTWU,Ryann Lee,1,0,12,0,2,0,2,0,0,2,1,3,2,0,2,0,0,0
2023-24,WBB,Trinity Western,W20231103TRUTWU,Ella Parker,1,0,9,0,0,1,3,0,0,2,1,3,0,1,0,0,0,2
2023-24,WBB,Trinity Western,W20231103TRUTWU,Kailey Reimer,1,1,27,2,2,0,2,0,0,2,6,8,2,3,2,0,5,6
2023-24,WBB,Trinity Western,W20231103TRUTWU,team-trinity western,1,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0
2023-24,WBB,Trinity Western,W20231103TRUTWU,Hailey Van Roekel,1,1,24,3,7,3,7,5,7,2,6,8,0,3,4,2,3,20
2023-24,WBB,Trinity Western,W20231104TRUTWU,Shemaiah Abatayo,1,1,27,0,3,1,3,3,4,2,4,6,2,3,4,2,3,5
2023-24,WBB,Trinity Western,W20231104TRUTWU,Jazmin Avila,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Trinity Western,W20231104TRUTWU,Cassidy Buchanan,1,0,20,0,0,4,11,3,4,5,1,6,1,0,2,0,4,11
2023-24,WBB,Trinity Western,W20231104TRUTWU,Gracie Corneau,1,1,24,0,0,7,11,3,6,6,2,8,1,0,3,2,1,17
2023-24,WBB,Trinity Western,W20231104TRUTWU,Jayden Gill,1,1,33,0,1,4,9,0,0,1,2,3,1,4,5,2,2,8
2023-24,WBB,Trinity Western,W20231104TRUTWU,Jenna Gill,1,0,13,0,0,0,3,0,0,0,2,2,0,0,1,1,0,0
2023-24,WBB,Trinity Western,W20231104TRUTWU,Blessing Ibekwe,1,0,14,0,0,3,7,0,2,2,6,8,1,0,1,0,0,6
2023-24,WBB,Trinity Western,W20231104TRUTWU,Ryann Lee,1,0,11,1,1,0,0,2,2,0,0,0,3,1,1,0,1,5
2023-24,WBB,Trinity Western,W20231104TRUTWU,Ella Parker,1,0,1,0,0,1,2,0,0,0,1,1,2,0,1,0,0,2
2023-24,WBB,Trinity Western,W20231104TRUTWU,Kailey Reimer,1,1,26,0,4,1,3,1,2,1,0,1,1,1,2,1,0,3
2023-24,WBB,Trinity Western,W20231104TRUTWU,team-trinity western,1,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0
2023-24,WBB,Trinity Western,W20231104TRUTWU,Hailey Van Roekel,1,1,25,0,2,3,9,1,1,2,7,9,2,3,4,0,4,7
2023-24,WBB,Trinity Western,W20231104TRUTWU,Rainy Wilson,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Trinity Western,W20231110TWUREG,Shemaiah Abatayo,1,1,32,2,4,3,12,0,0,2,6,8,2,6,3,0,3,12
2023-24,WBB,Trinity Western,W20231110TWUREG,Jazmin Avila,1,0,10,0,0,1,1,0,0,1,2,3,1,0,0,2,1,2
2023-24,WBB,Trinity Western,W20231110TWUREG,Cassidy Buchanan,1,0,10,0,0,1,2,2,2,1,0,1,0,1,1,0,0,4
2023-24,WBB,Trinity Western,W20231110TWUREG,Gracie Corneau,1,1,16,0,0,0,0,1,2,2,2,4,4,0,0,1,0,1
2023-24,WBB,Trinity Western,W20231110TWUREG,Jayden Gill,1,1,38,1,6,5,17,7,8,0,1,1,2,8,2,1,1,20
2023-24,WBB,Trinity Western,W20231110TWUREG,Jenna Gill,1,0,8,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
2023-24,WBB,Trinity Western,W20231110TWUREG,Blessing Ibekwe,1,0,8,0,0,1,1,0,2,5,1,6,4,0,1,0,0,2
2023-24,WBB,Trinity Western,W20231110TWUREG,Ryann Lee,1,0,12,0,1,1,4,0,0,1,2,3,1,0,1,0,0,2
2023-24,WBB,Trinity Western,W20231110TWUREG,Ella Parker,1,0,6,0,0,0,1,1,2,1,1,2,0,1,0,0,0,1
2023-24,WBB,Trinity Western,W20231110TWUREG,Kailey Reimer,1,1,31,0,2,2,5,5,6,2,6,8,0,0,3,1,2,9
2023-24,WBB,Trinity Western,W20231110TWUREG,team-trinity western,1,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0
2023-24,WBB,Trinity Western,W20231110TWUREG,Hailey Van Roekel,1,1,29,2,5,2,5,1,1,1,5,6,3,0,2,2,1,11
2023-24,WBB,Trinity Western,W20231111TWUREG,Shemaiah Abatayo,1,1,30,2,6,3,8,1,1,0,1,1,4,8,4,1,1,13
2023-24,WBB,Trinity Western,W20231111TWUREG,Jazmin Avila,1,0,13,0,0,1,4,0,0,0,4,4,1,0,0,1,1,2
2023-24,WBB,Trinity Western,W20231111TWUREG,Cassidy Buchanan,1,0,17,0,0,1,2,0,0,1,3,4,0,2,2,0,0,2
2023-24,WBB,Trinity Western,W20231111TWUREG,Gracie Corneau,1,1,21,0,0,4,7,0,2,1,6,7,0,0,1,1,1,8
2023-24,WBB,Trinity Western,W20231111TWUREG,Jayden Gill,1,1,33,1,5,6,11,2,2,1,2,3,2,2,3,1,3,17
2023-24,WBB,Trinity Western,W20231111TWUREG,Jenna Gill,1,0,10,0,0,0,3,0,0,0,1,1,1,0,1,0,1,0
2023-24,WBB,Trinity Western,W20231111TWUREG,Blessing Ibekwe,1,0,14,0,0,3,5,0,0,4,3,7,5,0,1,1,1,6
2023-24,WBB,Trinity Western,W20231111TWUREG,Ryann Lee,1,0,10,0,1,1,3,2,2,0,3,3,0,0,1,0,1,4
2023-24,WBB,Trinity Western,W20231111TWUREG,Ella Parker,1,0,5,0,0,0,1,2,2,1,1,2,2,1,1,0,0,2
2023-24,WBB,Trinity Western,W20231111TWUREG,Kailey Reimer,1,1,19,0,0,2,2,2,2,1,2,3,1,3,0,0,0,6
2023-24,WBB,Trinity Western,W20231111TWUREG,team-trinity western,1,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0
2023-24,WBB,Trinity Western,W20231111TWUREG,Hailey Van Roekel,1,1,26,0,1,2,3,2,2,3,4,7,0,2,0,0,1,6
2023-24,WBB,Trinity Western,W20231111TWUREG,Rainy Wilson,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Trinity Western,W20231124BDNTWU,Shemaiah Abatayo,1,1,20,1,2,2,3,0,0,0,2,2,3,7,7,2,0,7
2023-24,WBB,Trinity Western,W20231124BDNTWU,Jazmin Avila,1,0,13,0,0,2,2,1,2,0,5,5,2,1,1,0,1,5
2023-24,WBB,Trinity Western,W20231124BDNTWU,Cassidy Buchanan,1,0,17,0,0,3,3,0,0,1,3,4,3,5,3,0,2,6
2023-24,WBB,Trinity Western,W20231124BDNTWU,Gracie Corneau,1,1,19,0,0,3,7,0,0,3,4,7,1,0,0,0,1,6
2023-24,WBB,Trinity Western,W20231124BDNTWU,Jayden Gill,1,1,29,2,4,10,13,4,5,0,4,4,2,4,1,2,1,30
2023-24,WBB,Trinity Western,W20231124BDNTWU,Jenna Gill,1,0,20,1,1,3,3,2,2,0,2,2,1,10,4,0,0,11
2023-24,WBB,Trinity Western,W20231124BDNTWU,Blessing Ibekwe,1,0,13,0,0,7,9,0,0,0,4,4,2,0,0,0,0,14
2023-24,WBB,Trinity Western,W20231124BDNTWU,Ryann Lee,1,0,16,1,4,2,3,0,0,0,3,3,1,3,1,0,1,7
2023-24,WBB,Trinity Western,W20231124BDNTWU,Ella Parker,1,0,8,0,0,1,3,0,0,0,3,3,1,0,2,0,0,2
2023-24,WBB,Trinity Western,W20231124BDNTWU,Kailey Reimer,1,1,25,0,1,5,5,0,1,2,4,6,1,5,1,0,1,10
2023-24,WBB,Trinity Western,W20231124BDNTWU,team-trinity western,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0
2023-24,WBB,Trinity Western,W20231124BDNTWU,Hailey Van Roekel,1,1,20,3,4,2,3,0,0,1,6,7,1,6,0,0,1,13
2023-24,WBB,Trinity Western,W20231125BDNTWU,Shemaiah Abatayo,1,1,31,1,2,6,11,4,4,1,4,5,1,7,3,1,2,19
2023-24,WBB,Trinity Western,W20231125BDNTWU,Cassidy Buchanan,1,0,15,0,0,0,0,0,0,2,1,3,4,0,1,0,2,0
2023-24,WBB,Trinity Western,W20231125BDNTWU,Gracie Corneau,1,1,24,0,0,5,8,1,4,1,2,3,2,1,1,1,2,11
