Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,UNBC,W20230930NBCCGY,Svetlana Boykova,1,1,34,0,0,2,5,1,1,1,5,6,1,5,3,0,2,5
2023-24,WBB,UNBC,W20230930NBCCGY,Hanna Busic,1,0,12,0,0,1,1,0,0,0,1,1,2,0,6,0,0,2
2023-24,WBB,UNBC,W20230930NBCCGY,Viktoriia Filatova,1,0,22,3,7,1,5,0,0,2,1,3,3,1,5,0,0,11
2023-24,WBB,UNBC,W20230930NBCCGY,Sophia Fuller,1,0,6,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0
2023-24,WBB,UNBC,W20230930NBCCGY,Claire Huang,1,0,11,0,0,0,1,1,4,0,1,1,1,0,5,0,0,1
2023-24,WBB,UNBC,W20230930NBCCGY,Sarah Kuklisin,1,1,26,1,2,1,6,2,2,0,4,4,3,1,5,0,3,7
2023-24,WBB,UNBC,W20230930NBCCGY,Rebecca Landry,1,1,27,1,6,4,6,3,4,0,2,2,0,3,4,0,2,14
2023-24,WBB,UNBC,W20230930NBCCGY,Amrit Manak,1,1,26,2,3,0,0,0,0,0,1,1,2,1,2,0,0,6
2023-24,WBB,UNBC,W20230930NBCCGY,Nyemuon Padhal,1,1,31,0,0,2,5,0,0,2,2,4,2,1,3,1,1,4
2023-24,WBB,UNBC,W20230930NBCCGY,team-unbc,1,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0
2023-24,WBB,UNBC,W20230930NBCCGY,Adaiah Tupas-Singh,1,0,5,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0
2023-24,WBB,UNBC,W20231005ONTNBC,Svetlana Boykova,1,1,31,0,0,5,9,1,1,3,8,11,0,4,1,1,4,11
2023-24,WBB,UNBC,W20231005ONTNBC,Hanna Busic,1,0,9,0,1,1,3,3,3,2,1,3,2,1,1,0,0,5
2023-24,WBB,UNBC,W20231005ONTNBC,Viktoriia Filatova,1,0,3,0,3,1,3,0,0,3,6,9,0,2,0,0,0,2
2023-24,WBB,UNBC,W20231005ONTNBC,Sophia Fuller,1,0,6,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0
2023-24,WBB,UNBC,W20231005ONTNBC,Claire Huang,1,0,5,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0
2023-24,WBB,UNBC,W20231005ONTNBC,Sarah Kuklisin,1,1,29,1,3,2,6,7,10,0,3,3,5,7,3,0,1,14
2023-24,WBB,UNBC,W20231005ONTNBC,Rebecca Landry,1,1,30,3,5,1,7,0,0,1,3,4,1,5,0,0,2,11
2023-24,WBB,UNBC,W20231005ONTNBC,Amrit Manak,1,1,32,4,10,4,5,0,0,0,0,0,0,1,1,1,1,20
2023-24,WBB,UNBC,W20231005ONTNBC,Nyemuon Padhal,1,1,36,0,0,5,9,1,2,6,8,14,3,1,3,2,2,11
2023-24,WBB,UNBC,W20231005ONTNBC,Halle Tiessen,1,0,4,0,0,1,3,0,0,1,2,3,2,2,2,0,0,2
2023-24,WBB,UNBC,W20231005ONTNBC,Adaiah Tupas-Singh,1,0,6,0,2,1,2,0,0,0,4,4,1,0,3,0,0,2
