Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,UPEI,W20230929PEISSK,Deborah Aboagye,1,0,21,0,1,2,5,2,2,0,0,0,1,0,1,0,0,6
2023-24,WBB,UPEI,W20230929PEISSK,Sydney Cummins,1,0,15,0,0,0,3,0,0,0,1,1,2,3,2,0,4,0
2023-24,WBB,UPEI,W20230929PEISSK,Grace Lancaster,1,1,27,1,1,2,7,2,2,1,1,2,3,1,2,0,2,9
2023-24,WBB,UPEI,W20230929PEISSK,Devon Lawlor,1,1,28,2,5,1,6,3,8,3,0,3,1,2,2,0,1,11
2023-24,WBB,UPEI,W20230929PEISSK,Sydney Lawlor,1,1,22,0,1,0,2,1,2,0,1,1,1,0,7,0,1,1
2023-24,WBB,UPEI,W20230929PEISSK,Elise Plaschka,1,0,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2023-24,WBB,UPEI,W20230929PEISSK,Aiden Rainford,1,1,16,0,0,1,3,1,2,0,3,3,3,0,1,0,0,3
2023-24,WBB,UPEI,W20230929PEISSK,Lauren Rainford,1,1,24,0,2,0,6,1,2,0,2,2,0,0,5,1,3,1
2023-24,WBB,UPEI,W20230929PEISSK,team-upei,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023-24,WBB,UPEI,W20230929PEISSK,Lily Vrugteman,1,0,12,1,3,0,2,0,0,0,2,2,2,1,4,0,1,3
2023-24,WBB,UPEI,W20230929PEISSK,Grace Walton,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,UPEI,W20230929PEISSK,Samantha Zoffranieri,1,0,21,0,0,2,4,0,0,0,2,2,1,1,4,0,1,4
2023-24,WBB,UPEI,W20230930PEIWAT,Deborah Aboagye,1,1,24,0,1,1,4,3,3,1,3,4,1,1,0,0,0,5
2023-24,WBB,UPEI,W20230930PEIWAT,Sydney Cummins,1,0,13,0,0,1,1,1,2,3,0,3,0,2,2,0,0,3
2023-24,WBB,UPEI,W20230930PEIWAT,Grace Lancaster,1,1,24,0,2,1,4,2,2,0,4,4,3,0,6,0,1,4
2023-24,WBB,UPEI,W20230930PEIWAT,Devon Lawlor,1,1,30,2,6,2,5,1,2,2,1,3,2,2,3,0,0,11
2023-24,WBB,UPEI,W20230930PEIWAT,Sydney Lawlor,1,0,13,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0
2023-24,WBB,UPEI,W20230930PEIWAT,Elise Plaschka,1,0,6,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
2023-24,WBB,UPEI,W20230930PEIWAT,Aiden Rainford,1,0,20,0,0,2,7,0,0,0,3,3,3,0,1,0,2,4
2023-24,WBB,UPEI,W20230930PEIWAT,Lauren Rainford,1,1,33,2,7,2,9,2,2,1,0,1,5,2,3,3,2,12
2023-24,WBB,UPEI,W20230930PEIWAT,Lily Vrugteman,1,1,28,1,2,4,7,0,0,2,3,5,2,2,3,0,1,11
2023-24,WBB,UPEI,W20230930PEIWAT,Samantha Zoffranieri,1,0,9,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0
2023-24,WBB,UPEI,W20231019LAVPEI,Deborah Aboagye,1,1,35,0,0,0,4,0,0,3,0,3,3,2,3,0,0,0
2023-24,WBB,UPEI,W20231019LAVPEI,Grace Lancaster,1,1,31,0,2,0,2,0,0,1,2,3,1,0,1,0,1,0
2023-24,WBB,UPEI,W20231019LAVPEI,Devon Lawlor,1,1,33,1,5,1,4,0,0,0,3,3,2,0,1,0,0,5
2023-24,WBB,UPEI,W20231019LAVPEI,Sydney Lawlor,1,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
2023-24,WBB,UPEI,W20231019LAVPEI,Elise Plaschka,1,0,8,0,0,0,2,0,0,1,3,4,1,2,2,0,1,0
2023-24,WBB,UPEI,W20231019LAVPEI,Aiden Rainford,1,1,29,0,0,1,9,2,3,1,6,7,2,0,1,0,0,4
2023-24,WBB,UPEI,W20231019LAVPEI,Lauren Rainford,1,1,38,0,1,4,8,3,3,0,4,4,1,1,4,0,1,11
2023-24,WBB,UPEI,W20231019LAVPEI,team-upei,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2023-24,WBB,UPEI,W20231019LAVPEI,Lily Vrugteman,1,0,4,1,2,1,3,0,0,1,3,4,0,0,1,0,0,5
2023-24,WBB,UPEI,W20231019LAVPEI,Grace Walton,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,UPEI,W20231019LAVPEI,Samantha Zoffranieri,1,0,18,2,5,6,10,3,3,1,4,5,1,0,2,0,1,21
2023-24,WBB,UPEI,W20231020PEIWPG,Deborah Aboagye,1,0,13,1,1,1,3,0,0,1,1,2,1,1,1,0,0,5
2023-24,WBB,UPEI,W20231020PEIWPG,Sydney Cummins,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,UPEI,W20231020PEIWPG,Lauren Hainstock,1,0,13,0,0,0,2,0,0,0,1,1,0,1,1,1,0,0
2023-24,WBB,UPEI,W20231020PEIWPG,Grace Lancaster,1,1,17,3,3,3,4,0,0,1,1,2,4,0,1,0,0,15
2023-24,WBB,UPEI,W20231020PEIWPG,Devon Lawlor,1,1,29,2,2,3,6,2,3,3,6,9,0,2,1,0,1,14
2023-24,WBB,UPEI,W20231020PEIWPG,Sydney Lawlor,1,0,18,1,4,0,0,0,0,0,0,0,2,4,2,0,1,3
2023-24,WBB,UPEI,W20231020PEIWPG,Elise Plaschka,1,0,12,0,0,0,1,2,2,2,1,3,0,0,0,0,1,2
2023-24,WBB,UPEI,W20231020PEIWPG,Aiden Rainford,1,1,26,0,0,4,11,0,0,4,6,10,0,1,1,0,1,8
2023-24,WBB,UPEI,W20231020PEIWPG,Lauren Rainford,1,1,29,1,4,2,2,4,4,0,4,4,0,4,1,3,0,11
2023-24,WBB,UPEI,W20231020PEIWPG,team-upei,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,UPEI,W20231020PEIWPG,Lily Vrugteman,1,0,11,1,4,2,3,0,0,1,0,1,2,1,1,0,0,7
2023-24,WBB,UPEI,W20231020PEIWPG,Grace Walton,1,0,9,0,0,1,3,0,0,0,1,1,0,0,0,0,0,2
2023-24,WBB,UPEI,W20231020PEIWPG,Samantha Zoffranieri,1,1,24,1,4,1,1,4,4,1,5,6,0,3,1,0,1,9
2023-24,WBB,UPEI,W20231021PEIOTH,Deborah Aboagye,1,1,27,0,1,1,3,0,0,2,8,10,0,2,3,0,3,2
2023-24,WBB,UPEI,W20231021PEIOTH,Sydney Cummins,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,UPEI,W20231021PEIOTH,Lauren Hainstock,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,UPEI,W20231021PEIOTH,Grace Lancaster,1,1,27,2,3,2,6,2,3,3,1,4,2,2,2,0,3,12
2023-24,WBB,UPEI,W20231021PEIOTH,Devon Lawlor,1,1,26,2,5,1,2,0,0,1,3,4,3,1,3,0,2,8
2023-24,WBB,UPEI,W20231021PEIOTH,Sydney Lawlor,1,0,15,2,4,2,4,3,4,1,0,1,2,2,3,0,1,13
2023-24,WBB,UPEI,W20231021PEIOTH,Elise Plaschka,1,0,7,0,0,1,3,0,0,0,0,0,1,0,2,0,0,2
2023-24,WBB,UPEI,W20231021PEIOTH,Lauren Rainford,1,1,34,5,7,5,8,7,8,3,2,5,1,5,3,0,3,32
2023-24,WBB,UPEI,W20231021PEIOTH,team-upei,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,UPEI,W20231021PEIOTH,Lily Vrugteman,1,0,20,2,3,1,5,0,0,1,1,2,1,0,1,0,0,8
2023-24,WBB,UPEI,W20231021PEIOTH,Grace Walton,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,UPEI,W20231021PEIOTH,Samantha Zoffranieri,1,1,35,0,9,1,4,0,0,0,3,3,0,3,3,0,0,2
2023-24,WBB,UPEI,W20231027MUNPEI,Deborah Aboagye,1,0,17,1,2,3,8,1,2,0,0,0,4,0,0,0,0,10
2023-24,WBB,UPEI,W20231027MUNPEI,Sydney Cummins,1,0,18,0,1,2,4,0,0,0,2,2,2,0,0,0,1,4
2023-24,WBB,UPEI,W20231027MUNPEI,Grace Lancaster,1,1,28,1,4,2,5,1,2,1,1,2,1,0,0,0,0,8
