Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Waterloo,W20230922TORWAT,Carina Fiore,1,1,20,0,0,4,7,1,1,2,0,2,0,1,2,0,1,9
2023-24,WBB,Waterloo,W20230922TORWAT,Anna-Gisele (Gigi) Goulet,1,0,9,1,1,0,0,0,0,0,1,1,0,0,2,0,0,3
2023-24,WBB,Waterloo,W20230922TORWAT,Mya Jickling,1,0,12,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0
2023-24,WBB,Waterloo,W20230922TORWAT,Jemima Lacroix,1,0,11,0,0,0,2,1,2,2,1,3,2,0,3,0,0,1
2023-24,WBB,Waterloo,W20230922TORWAT,Jaime Newell,1,1,24,0,0,1,6,0,2,6,7,13,1,1,5,1,2,2
2023-24,WBB,Waterloo,W20230922TORWAT,Nehita Oko-Oboh,1,0,12,0,0,0,0,1,2,0,1,1,1,0,1,0,0,1
2023-24,WBB,Waterloo,W20230922TORWAT,Yemi Oladipo,1,0,12,1,2,0,1,0,0,0,1,1,4,0,4,0,2,3
2023-24,WBB,Waterloo,W20230922TORWAT,Summer Pahl,1,1,27,3,7,0,4,0,2,2,5,7,2,3,2,0,1,9
2023-24,WBB,Waterloo,W20230922TORWAT,Ghiselle Poblete,1,1,30,1,4,7,13,4,4,2,2,4,1,3,2,0,2,21
2023-24,WBB,Waterloo,W20230922TORWAT,Tamara Popovic,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Waterloo,W20230922TORWAT,Alyssa Renaud,1,0,18,0,1,0,0,2,2,0,1,1,0,1,1,0,1,2
2023-24,WBB,Waterloo,W20230922TORWAT,team-waterloo,1,0,0,0,0,0,0,0,0,5,4,9,0,0,0,0,0,0
2023-24,WBB,Waterloo,W20230922TORWAT,Charissa Virr,1,1,22,2,3,1,7,0,4,2,3,5,2,1,4,2,2,8
