Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Western,W20230929WESMRU,Paris Alexander,1,1,33,0,2,6,13,3,8,7,4,11,0,2,3,0,2,15
2023-24,WBB,Western,W20230929WESMRU,Jordynn Bryan,1,0,13,0,0,1,3,1,2,3,3,6,3,0,2,0,0,3
2023-24,WBB,Western,W20230929WESMRU,Emily Capretta,1,1,36,4,9,1,10,2,3,3,8,11,4,0,3,0,3,16
2023-24,WBB,Western,W20230929WESMRU,Allison Columbus,1,0,20,1,1,0,3,0,0,0,0,0,0,0,0,0,2,3
2023-24,WBB,Western,W20230929WESMRU,Brianne Davis,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Western,W20230929WESMRU,Lauren Marcos,1,0,10,0,1,0,4,0,0,2,0,2,0,1,0,0,2,0
2023-24,WBB,Western,W20230929WESMRU,Morgan Tamminga,1,1,31,0,0,5,13,0,3,5,7,12,2,0,3,1,1,10
2023-24,WBB,Western,W20230929WESMRU,Ashley Truesdale,1,1,22,0,1,0,2,2,2,1,0,1,3,1,1,0,0,2
2023-24,WBB,Western,W20230929WESMRU,Samantha Vidovic,1,1,34,1,3,1,9,4,6,7,2,9,2,0,3,0,1,9
2023-24,WBB,Western,W20230930WESMRU,Paris Alexander,1,1,20,2,5,1,4,0,0,3,0,3,5,2,4,0,2,8
2023-24,WBB,Western,W20230930WESMRU,Jordynn Bryan,1,0,10,0,0,2,2,1,2,1,0,1,3,1,1,0,0,5
2023-24,WBB,Western,W20230930WESMRU,Emily Capretta,1,1,38,3,5,5,19,6,8,3,3,6,0,3,3,0,3,25
2023-24,WBB,Western,W20230930WESMRU,Allison Columbus,1,0,23,1,2,1,5,1,2,1,3,4,1,3,4,1,1,6
2023-24,WBB,Western,W20230930WESMRU,Brianne Davis,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Western,W20230930WESMRU,Lauren Marcos,1,0,16,0,0,1,3,0,0,0,1,1,1,2,0,0,0,2
2023-24,WBB,Western,W20230930WESMRU,Morgan Tamminga,1,1,30,0,0,2,5,1,2,1,4,5,1,1,1,2,1,5
2023-24,WBB,Western,W20230930WESMRU,team-western,1,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0
2023-24,WBB,Western,W20230930WESMRU,Ashley Truesdale,1,1,26,1,2,1,2,0,0,1,3,4,0,1,0,1,0,5
2023-24,WBB,Western,W20230930WESMRU,Samantha Vidovic,1,1,35,1,3,4,7,1,1,2,6,8,1,6,3,0,0,12
2023-24,WBB,Western,W20231005WESOTH,Paris Alexander,1,1,31,0,6,3,10,1,2,2,6,8,2,3,1,1,1,7
2023-24,WBB,Western,W20231005WESOTH,Jordynn Bryan,1,1,25,0,0,4,5,0,5,7,3,10,3,1,0,1,0,8
2023-24,WBB,Western,W20231005WESOTH,Emily Capretta,1,1,31,2,10,5,14,2,2,4,9,13,3,2,2,1,0,18
2023-24,WBB,Western,W20231005WESOTH,Allison Columbus,1,0,15,0,0,1,3,2,2,0,4,4,1,3,1,0,0,4
2023-24,WBB,Western,W20231005WESOTH,Brianne Davis,1,0,6,0,3,0,0,0,0,0,3,3,0,0,1,0,0,0
2023-24,WBB,Western,W20231005WESOTH,Lauren Marcos,1,0,9,2,2,0,0,0,0,0,2,2,2,0,2,0,0,6
2023-24,WBB,Western,W20231005WESOTH,Claire Tamminga,1,0,4,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
2023-24,WBB,Western,W20231005WESOTH,Morgan Tamminga,1,1,26,0,0,3,7,1,4,1,5,6,1,0,0,1,0,7
2023-24,WBB,Western,W20231005WESOTH,Ashley Truesdale,1,0,24,0,2,1,1,0,0,0,2,2,2,1,2,1,0,2
2023-24,WBB,Western,W20231005WESOTH,Samantha Vidovic,1,1,29,0,2,4,7,2,2,0,5,5,2,5,3,0,0,10
2023-24,WBB,Western,W20231008WESOTH,Paris Alexander,1,1,21,0,2,0,5,4,6,2,3,5,2,2,1,0,1,4
2023-24,WBB,Western,W20231008WESOTH,Jordynn Bryan,1,1,32,0,0,8,12,1,4,3,6,9,3,0,0,2,0,17
2023-24,WBB,Western,W20231008WESOTH,Emily Capretta,1,1,27,2,8,10,15,0,0,0,8,8,3,2,5,1,6,26
2023-24,WBB,Western,W20231008WESOTH,Allison Columbus,1,0,25,0,0,1,6,2,2,4,1,5,1,1,0,0,0,4
2023-24,WBB,Western,W20231008WESOTH,Brianne Davis,1,0,22,1,4,4,6,0,0,1,3,4,0,1,1,0,0,11
2023-24,WBB,Western,W20231008WESOTH,Lauren Marcos,1,0,21,0,0,1,5,2,2,0,2,2,2,2,0,0,1,4
2023-24,WBB,Western,W20231008WESOTH,team-western,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Western,W20231008WESOTH,Ashley Truesdale,1,1,31,1,4,3,6,0,0,1,4,5,0,4,0,1,0,9
2023-24,WBB,Western,W20231008WESOTH,Samantha Vidovic,1,1,21,0,1,2,3,4,4,0,1,1,0,6,1,0,1,8
2023-24,WBB,Western,W20231020WESMUN,Paris Alexander,1,1,32,1,6,2,6,1,2,2,6,8,1,1,2,0,2,8
2023-24,WBB,Western,W20231020WESMUN,Jordynn Bryan,1,0,24,1,1,1,3,0,0,3,2,5,5,2,2,1,2,5
2023-24,WBB,Western,W20231020WESMUN,Emily Capretta,1,1,35,2,5,8,20,0,0,3,4,7,2,1,9,1,3,22
2023-24,WBB,Western,W20231020WESMUN,Allison Columbus,1,0,15,0,2,1,2,0,0,1,4,5,2,0,2,0,1,2
2023-24,WBB,Western,W20231020WESMUN,Lauren Marcos,1,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-24,WBB,Western,W20231020WESMUN,Mackeely Shantz,1,1,11,1,2,0,3,0,0,1,2,3,1,0,1,0,2,3
2023-24,WBB,Western,W20231020WESMUN,Morgan Tamminga,1,1,30,0,0,3,5,6,6,1,10,11,0,1,1,1,0,12
2023-24,WBB,Western,W20231020WESMUN,team-western,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
2023-24,WBB,Western,W20231020WESMUN,Ashley Truesdale,1,0,13,3,5,0,0,0,0,0,0,0,1,0,0,0,0,9
2023-24,WBB,Western,W20231020WESMUN,Samantha Vidovic,1,1,33,0,3,4,8,1,1,0,7,7,2,5,4,0,1,9
2023-24,WBB,Western,W20231021WESVIC,Paris Alexander,1,1,31,2,6,3,11,0,0,0,5,5,3,2,5,0,1,12
2023-24,WBB,Western,W20231021WESVIC,Jordynn Bryan,1,0,25,0,0,0,1,0,2,1,4,5,2,3,1,1,1,0
2023-24,WBB,Western,W20231021WESVIC,Emily Capretta,1,1,35,0,5,4,11,4,4,2,6,8,3,1,2,0,2,12
2023-24,WBB,Western,W20231021WESVIC,Allison Columbus,1,0,13,0,0,1,3,0,0,1,3,4,0,0,3,0,0,2
2023-24,WBB,Western,W20231021WESVIC,Lauren Marcos,1,0,19,4,6,2,4,0,0,0,1,1,1,0,1,0,2,16
2023-24,WBB,Western,W20231021WESVIC,Morgan Tamminga,1,1,28,0,0,3,5,1,1,3,2,5,2,2,2,1,0,7
2023-24,WBB,Western,W20231021WESVIC,team-western,1,0,0,0,0,0,0,0,0,6,5,11,0,0,0,0,0,0
2023-24,WBB,Western,W20231021WESVIC,Ashley Truesdale,1,1,15,1,5,1,5,0,0,0,1,1,3,1,0,2,1,5
2023-24,WBB,Western,W20231021WESVIC,Samantha Vidovic,1,1,34,0,0,1,3,2,2,1,1,2,4,7,9,0,1,4
2023-24,WBB,Western,W20231022WESUBC,Paris Alexander,1,1,25,0,4,0,4,2,2,0,2,2,0,3,3,1,4,2
2023-24,WBB,Western,W20231022WESUBC,Jordynn Bryan,1,1,35,0,0,2,6,0,0,1,6,7,3,0,1,0,1,4
2023-24,WBB,Western,W20231022WESUBC,Emily Capretta,1,1,31,2,6,3,10,0,0,2,4,6,1,4,8,0,3,12
