Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Winnipeg,W20230922WPGCGY,Jazmin Birch,1,0,14,0,0,1,1,0,0,1,2,3,0,0,1,0,0,2
2023-24,WBB,Winnipeg,W20230922WPGCGY,Sarah Boitson,1,0,13,0,0,2,4,0,0,0,1,1,0,1,1,0,0,4
2023-24,WBB,Winnipeg,W20230922WPGCGY,Alyssa Doneza,1,0,9,0,0,0,2,0,0,0,2,2,0,0,1,0,0,0
2023-24,WBB,Winnipeg,W20230922WPGCGY,Annika Goodbrandson,1,0,8,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0
2023-24,WBB,Winnipeg,W20230922WPGCGY,Raia Guinto,1,1,25,1,3,1,3,2,2,0,1,1,2,2,6,0,1,7
2023-24,WBB,Winnipeg,W20230922WPGCGY,Jasia Hayden,1,0,9,0,1,0,0,0,0,0,1,1,2,1,1,0,0,0
2023-24,WBB,Winnipeg,W20230922WPGCGY,Carmen Hiebert,1,1,20,0,0,0,3,0,0,5,3,8,3,0,3,0,0,0
2023-24,WBB,Winnipeg,W20230922WPGCGY,Jennifer Kallon,1,1,13,0,1,0,2,0,0,0,2,2,3,0,2,0,1,0
2023-24,WBB,Winnipeg,W20230922WPGCGY,Anna Kernaghan,1,1,22,1,4,1,5,0,0,1,5,6,2,2,5,0,0,5
2023-24,WBB,Winnipeg,W20230922WPGCGY,Tana Layton,1,0,20,1,3,1,2,1,2,0,1,1,1,0,6,0,1,6
2023-24,WBB,Winnipeg,W20230922WPGCGY,Sadie McMillan-Stowards,1,0,11,0,0,1,2,0,0,0,1,1,0,0,0,0,0,2
2023-24,WBB,Winnipeg,W20230922WPGCGY,Tamiya Ness,1,1,21,2,2,0,2,2,2,0,4,4,0,1,2,0,2,8
2023-24,WBB,Winnipeg,W20230922WPGCGY,Priscilla Sanusi,1,0,13,0,1,1,2,1,2,0,2,2,2,1,3,0,1,3
2023-24,WBB,Winnipeg,W20230922WPGCGY,team-winnipeg,1,0,0,0,0,0,0,0,0,1,3,4,0,0,6,0,0,0
2023-24,WBB,Winnipeg,W20230923WPGCGY,Jazmin Birch,1,0,13,0,0,2,7,0,0,1,1,2,2,0,1,0,1,4
2023-24,WBB,Winnipeg,W20230923WPGCGY,Sarah Boitson,1,0,11,0,0,0,0,0,0,1,5,6,1,1,2,0,0,0
