Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,York,W20230929YRKMUN,Tianna Bailey,1,1,31,1,3,1,7,0,0,2,1,3,4,2,3,1,0,5
2023-24,WBB,York,W20230929YRKMUN,Jaz Balan,1,1,33,0,0,6,13,1,2,11,5,16,2,1,5,1,0,13
2023-24,WBB,York,W20230929YRKMUN,Ashanti Christian,1,1,30,0,2,1,13,0,0,2,2,4,1,3,1,0,1,2
2023-24,WBB,York,W20230929YRKMUN,Hannah DeVries,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,York,W20230929YRKMUN,Malak Elghobashy,1,0,11,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
2023-24,WBB,York,W20230929YRKMUN,Alexis Grewal,1,1,27,1,6,4,7,0,3,3,5,8,2,0,1,0,0,11
2023-24,WBB,York,W20230929YRKMUN,Katie Leudy,1,0,29,1,3,1,6,4,4,3,1,4,3,3,0,0,1,9
2023-24,WBB,York,W20230929YRKMUN,Kiara Leveridge,1,1,30,0,1,7,16,6,10,4,7,11,4,1,5,0,2,20
2023-24,WBB,York,W20230929YRKMUN,Joulia Nawar,1,0,8,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0
2023-24,WBB,York,W20231013WATYRK,Tianna Bailey,1,1,20,0,3,0,4,1,2,0,1,1,0,0,2,0,3,1
2023-24,WBB,York,W20231013WATYRK,Jaz Balan,1,1,27,0,0,3,9,0,2,4,1,5,2,1,3,0,1,6
2023-24,WBB,York,W20231013WATYRK,Ashanti Christian,1,1,22,0,1,1,2,2,4,1,2,3,3,0,6,0,1,4
2023-24,WBB,York,W20231013WATYRK,Hannah DeVries,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,York,W20231013WATYRK,Malak Elghobashy,1,0,8,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,York,W20231013WATYRK,Ruqaya Green,1,1,29,0,1,1,5,5,6,0,3,3,2,1,8,0,4,7
2023-24,WBB,York,W20231013WATYRK,Alexis Grewal,1,1,28,0,2,1,4,0,2,2,4,6,0,0,5,1,2,2
2023-24,WBB,York,W20231013WATYRK,Bilan Khadar,1,0,23,0,1,1,3,1,2,1,3,4,0,1,2,0,0,3
2023-24,WBB,York,W20231013WATYRK,Katie Leudy,1,0,23,1,3,0,2,0,2,0,2,2,5,0,3,0,1,3
2023-24,WBB,York,W20231013WATYRK,Ivana Twumasi,1,0,16,0,0,2,7,0,0,0,1,1,1,0,1,0,1,4
2023-24,WBB,York,W20231014YRKMAN,Tianna Bailey,1,1,29,1,4,1,5,4,4,0,0,0,2,2,2,0,4,9
2023-24,WBB,York,W20231014YRKMAN,Jaz Balan,1,1,27,0,0,2,6,5,8,2,6,8,0,1,2,0,1,9
