id,game_id,period,clock_time,time_remaining,utc_time,offense_team,defense_team,is_home_offense,offense_player,offense_player_id,result_player,result_player_id,play_type,play_result,description,tags,play_number,is_home,after_timeout,shot_quality,home_score,away_score,run_team,run_points,home_run,away_run,score_margin,leading_team,score_margin_percent,possession_number,seconds_remaining,game_percent_complete,points_last_minute,possessions_last_minute,lead_changes,largest_lead,bonus,double_bonus,timeouts_remaining_home,timeouts_remaining_away,previous_play_type,time_since_last_score
5a1b362bf93449117509f668,W20171125BISMCG,1,576,576,2017-11-25T00:00:08.760000,McGill,Bishops,False,Gladys Hakizimana,563fb8d4d269224c4b13ff15,Gladys Hakizimana,563fb8d4d269224c4b13ff15,Off Screen,Make 2 Pts,5 Gladys Hakizimana > Off Screen > To Shooter's Left > Straight > To Basket > Make 2 Pts,,64,False,True,0.48189401633771195,0,0,home,0,0,0,0,tie,0,0,2376,1.0,0,0,0,0,False,False,5,5,None,0
5a1b362bf93449117509f669,W20171125BISMCG,1,558,558,2017-11-25T00:00:38.304000,Bishops,McGill,True,Maeva Dinalle,584abaddd95ef3f74c1c8e37,Maeva Dinalle,584abaddd95ef3f74c1c8e37,ISO,Miss 2 Pts,24 Maeva Dinalle > ISO > Right > Drives Left > To Basket > Miss 2 Pts,,38,True,True,0.7871676725590773,0,2,away,2,0,2,-2,away,-100.0,1,2358,1.7500000000000002,2,1,0,2,False,False,5,5,Off Screen,29.544
5a1b362bf93449117509f66a,W20171125BISMCG,1,542,542,2017-11-25T00:00:53.114000,McGill,Bishops,False,Alex Kiss-Rusk,550a5a2f4bc1ea55eb70e367,Frederique Potvin,57f3b8d41b427fb40bed6240,P&R Ball Handler,Miss 2 Pts,4 Frederique Potvin > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Alex Kiss-Rusk > P&R Roll Man > Pick and Pops > Drives Left > To Basket > Miss 2 Pts,,70,False,False,0.5010832862614019,0,2,away,2,0,2,-2,away,-100.0,2,2342,2.4166666666666665,2,1,0,2,False,False,5,5,ISO,44.354
5a1b362bf93449117509f66b,W20171125BISMCG,1,523,523,2017-11-25T00:01:09.581000,Bishops,McGill,True,Edith Noblecilla,5636e96d1e31501db44907a9,Edith Noblecilla,5636e96d1e31501db44907a9,Hand Off,Foul,4 Edith Noblecilla > Hand Off > From Dribble > Left > To Basket > Foul,,36,True,False,,0,2,away,2,0,2,-2,away,-100.0,3,2323,3.208333333333333,2,1,0,2,False,False,5,5,P&R Ball Handler,60.821
5a1b362bf93449117509f66c,W20171125BISMCG,1,523,523,2017-11-25T00:01:49.379000,Bishops,McGill,True,Edith Noblecilla,5636e96d1e31501db44907a9,Edith Noblecilla,5636e96d1e31501db44907a9,Non Possession,Free Throw,4 Edith Noblecilla > Non Possession > Free Throw,,62,True,False,,0,2,away,2,0,2,-2,away,-100.0,4,2323,3.208333333333333,2,1,0,2,False,False,5,5,Hand Off,100.619
5a1b362bf93449117509f66d,W20171125BISMCG,1,523,523,2017-11-25T00:02:14.665000,Bishops,McGill,True,Edith Noblecilla,5636e96d1e31501db44907a9,Edith Noblecilla,5636e96d1e31501db44907a9,Non Possession,Free Throw,4 Edith Noblecilla > Non Possession > Free Throw,,62,True,False,,0,2,away,2,0,2,-2,away,-100.0,4,2323,3.208333333333333,2,1,0,2,False,False,5,5,Non Possession,125.905
5a1b362bf93449117509f66f,W20171125BISMCG,1,510,510,2017-11-25T00:02:24.145000,McGill,Bishops,False,Alex Kiss-Rusk,550a5a2f4bc1ea55eb70e367,Alex Kiss-Rusk,550a5a2f4bc1ea55eb70e367,Post-Up,Turnover,21 Alex Kiss-Rusk > Post-Up > Right Block > Turnover,,73,False,False,,0,2,away,2,0,2,-2,away,-100.0,4,2310,3.75,2,1,0,2,False,False,5,5,Non Possession,135.385
5a1b362bf93449117509f671,W20171125BISMCG,1,505,505,2017-11-25T00:02:33.881000,Bishops,McGill,True,Ashley Milhomme,5636e96d1e31501db44907aa,Ashley Milhomme,5636e96d1e31501db44907aa,Transition,Miss 2 Pts,6 Ashley Milhomme > Transition > Right Wing > Dribble Jumper > Short to < 17' > Miss 2 Pts,,102,True,False,0.6508221056677886,0,2,away,2,0,2,-2,away,-100.0,5,2305,3.958333333333333,2,1,0,2,False,False,5,5,Post-Up,145.121
5a1b362bf93449117509f672,W20171125BISMCG,1,491,491,2017-11-25T00:02:44.462000,McGill,Bishops,False,Frederique Potvin,57f3b8d41b427fb40bed6240,Frederique Potvin,57f3b8d41b427fb40bed6240,P&R Ball Handler,Miss 3 Pts,4 Frederique Potvin > P&R Ball Handler > Left P&R > Side > Takes Early Jump Shot > Long/3pt > Miss 3 Pts,,69,False,False,0.8610955546047445,0,2,away,2,0,2,-2,away,-100.0,6,2291,4.541666666666667,2,1,0,2,False,False,5,5,Transition,155.702
5a1b362bf93449117509f673,W20171125BISMCG,1,482,482,2017-11-25T00:02:57.957000,Bishops,McGill,True,Edith Noblecilla,5636e96d1e31501db44907a9,Edith Noblecilla,5636e96d1e31501db44907a9,Transition,Turnover,4 Edith Noblecilla > Transition > Ballhandler > Turnover,,102,True,False,,0,2,away,2,0,2,-2,away,-100.0,7,2282,4.916666666666666,2,1,0,2,False,False,5,5,P&R Ball Handler,169.197
5a1b362bf93449117509f674,W20171125BISMCG,1,463,463,2017-11-25T00:03:04.488000,McGill,Bishops,False,Alex Kiss-Rusk,550a5a2f4bc1ea55eb70e367,Alex Kiss-Rusk,550a5a2f4bc1ea55eb70e367,Cut,Make 2 Pts,21 Alex Kiss-Rusk > Cut > Screen > Make 2 Pts,,11,False,False,1.1444528777599638,0,2,away,2,0,2,-2,away,-100.0,8,2263,5.708333333333333,2,1,0,2,False,False,5,5,Transition,175.728
5a1b362bf93449117509f676,W20171125BISMCG,1,463,463,2017-11-25T00:03:28.027000,Bishops,McGill,True,Marie-Evrardine Berrouette,59e643fd44b2b8aa7e880b31,Marie-Evrardine Berrouette,59e643fd44b2b8aa7e880b31,Non Possession,No Violation,22 Marie-Evrardine Berrouette > Non Possession > No Violation,,62,True,False,,0,4,away,4,0,4,-4,away,-100.0,9,2263,5.708333333333333,2,1,0,4,False,False,5,5,Cut,23.539
5a1b362bf93449117509f677,W20171125BISMCG,1,441,441,2017-11-25T00:04:00.532000,Bishops,McGill,True,Marie-Evrardine Berrouette,59e643fd44b2b8aa7e880b31,Marie-Evrardine Berrouette,59e643fd44b2b8aa7e880b31,No Play Type,Miss 2 Pts,22 Marie-Evrardine Berrouette > No Play Type > To Basket > Miss 2 Pts,,60,True,False,0.401360365477312,0,4,away,4,0,4,-4,away,-100.0,9,2241,6.625,2,1,0,4,False,False,5,5,Non Possession,56.044
5a1b362bf93449117509f678,W20171125BISMCG,1,431,431,2017-11-25T00:04:09.362000,McGill,Bishops,False,Frederique Potvin,57f3b8d41b427fb40bed6240,Frederique Potvin,57f3b8d41b427fb40bed6240,Cut,Make 2 Pts,4 Frederique Potvin > Cut > Screen > Make 2 Pts,,11,False,False,1.1876091939725872,0,4,away,4,0,4,-4,away,-100.0,9,2231,7.041666666666667,2,1,0,4,False,False,5,5,No Play Type,64.874
5a1b362bf93449117509f679,W20171125BISMCG,1,413,413,2017-11-25T00:04:21.675000,Bishops,McGill,True,Maeva Dinalle,584abaddd95ef3f74c1c8e37,Mara Marchizotti,5636e96d1e31501db44907b0,Post-Up,Miss 2 Pts,15 Mara Marchizotti > Post-Up > Left Block > Defense Commits > Ball Delivered > 24 Maeva Dinalle > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts,,90,True,False,0.6700233387001616,0,6,away,6,0,6,-6,away,-100.0,10,2213,7.791666666666666,2,1,0,6,False,False,5,5,Cut,12.313
5a1b362bf93449117509f67a,W20171125BISMCG,1,401,401,2017-11-25T00:04:38.005000,McGill,Bishops,False,Alex Kiss-Rusk,550a5a2f4bc1ea55eb70e367,Gladys Hakizimana,563fb8d4d269224c4b13ff15,P&R Ball Handler,Miss 2 Pts,5 Gladys Hakizimana > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Alex Kiss-Rusk > Cut > Flash > Miss 2 Pts,,11,False,False,0.7626447876658792,0,6,away,6,0,6,-6,away,-100.0,11,2201,8.291666666666666,2,1,0,6,False,False,5,5,Post-Up,28.643
5a1b362bf93449117509f67b,W20171125BISMCG,1,391,391,2017-11-25T00:04:50.658000,Bishops,McGill,True,Edith Noblecilla,5636e96d1e31501db44907a9,Edith Noblecilla,5636e96d1e31501db44907a9,P&R Ball Handler,Miss 3 Pts,4 Edith Noblecilla > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts,,69,True,False,0.8870528588210641,0,6,away,6,0,6,-6,away,-100.0,12,2191,8.708333333333334,2,1,0,6,False,False,5,5,P&R Ball Handler,41.296
5a1b362bf93449117509f67c,W20171125BISMCG,1,383,383,2017-11-25T00:04:59.954000,McGill,Bishops,False,Frederique Potvin,57f3b8d41b427fb40bed6240,Frederique Potvin,57f3b8d41b427fb40bed6240,Transition,Miss 3 Pts,4 Frederique Potvin > Transition > Ballhandler > Dribble Jumper > Long/3pt > Miss 3 Pts,,102,False,False,0.9001564835276901,0,6,away,6,0,6,-6,away,-100.0,13,2183,9.041666666666668,2,1,0,6,False,False,5,5,P&R Ball Handler,50.592
5a1b362bf93449117509f67d,W20171125BISMCG,1,371,371,2017-11-25T00:05:09.212000,Bishops,McGill,True,Ashley Milhomme,5636e96d1e31501db44907aa,Ashley Milhomme,5636e96d1e31501db44907aa,Transition,Miss 2 Pts,6 Ashley Milhomme > Transition > Ballhandler > To Basket > Miss 2 Pts,,102,True,False,1.099796445262879,0,6,away,6,0,6,-6,away,-100.0,14,2171,9.541666666666666,2,1,0,6,False,False,5,5,Transition,59.85
5a1b362bf93449117509f67e,W20171125BISMCG,1,365,365,2017-11-25T00:05:33.232000,Bishops,McGill,True,Mara Marchizotti,5636e96d1e31501db44907b0,Maeva Dinalle,584abaddd95ef3f74c1c8e37,P&R Ball Handler,Miss 2 Pts,24 Maeva Dinalle > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 15 Mara Marchizotti > P&R Roll Man > Pick and Pops > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts,,70,True,False,0.609951163910363,0,6,away,6,0,6,-6,away,-100.0,15,2165,9.791666666666666,2,1,0,6,False,False,5,5,Transition,83.87
5a1b362bf93449117509f67f,W20171125BISMCG,1,353,353,2017-11-25T00:06:01.948000,McGill,Bishops,False,Frederique Potvin,57f3b8d41b427fb40bed6240,Frederique Potvin,57f3b8d41b427fb40bed6240,Spot-Up,Miss 3 Pts,4 Frederique Potvin > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,90,False,False,1.0662062871431373,0,6,away,6,0,6,-6,away,-100.0,16,2153,10.291666666666668,2,1,0,6,False,False,5,5,P&R Ball Handler,112.586
5a1b362bf93449117509f680,W20171125BISMCG,1,353,353,2017-11-25T00:06:12.796000,McGill,Bishops,False,Frederique Potvin,57f3b8d41b427fb40bed6240,Frederique Potvin,57f3b8d41b427fb40bed6240,Offensive Rebound,Run Offense,4 Frederique Potvin > Offensive Rebound > Long > Run Offense,,65,False,False,,0,6,away,6,0,6,-6,away,-100.0,17,2153,10.291666666666668,2,1,0,6,False,False,5,5,Spot-Up,123.434
5a1b362bf93449117509f681,W20171125BISMCG,1,345,345,2017-11-25T00:06:12.796000,McGill,Bishops,False,Maggy Chabot,59e6430444b2b8aa7e83e243,Maggy Chabot,59e6430444b2b8aa7e83e243,Spot-Up,Miss 2 Pts,10 Maggy Chabot > Spot-Up > Drives Left > To Basket > Miss 2 Pts,,90,False,False,0.5773102234884502,0,6,away,6,0,6,-6,away,-100.0,17,2145,10.625,2,1,0,6,False,False,5,5,Offensive Rebound,123.434
